from	to	score	weight
APAF1	BID	0.61	0.61
APAF1	HSPA5	0.475	0.475
APAF1	CASP9	0.999	0.999
APAF1	HNRNPA1	0.423	0.423
APAF1	HNRNPA2B1	0.466	0.466
APAF1	MAP3K5	0.458	0.458
APAF1	MTOR	0.505	0.505
APAF1	GPX6	0.444	0.444
APAF1	GPX7	0.444	0.444
APAF1	BECN1	0.482	0.482
APAF1	PSMA7	0.646	0.646
APAF1	BCL2L1	0.996	0.996
APAF1	GPX3	0.442	0.442
APAF1	GPX2	0.444	0.444
APAF1	SQSTM1	0.47	0.47
APAF1	BAD	0.434	0.434
APAF1	VDAC1	0.464	0.464
APAF1	BCL2	0.993	0.993
APAF1	GPX5	0.444	0.444
APAF1	TNF	0.694	0.694
APAF1	NDUFA5	0.46	0.46
APAF1	GPX8	0.444	0.444
APAF1	CASP1	0.817	0.817
ACTB	APAF1	0.572	0.572
ATF4	XBP1	0.917	0.917
ATF4	TRAF2	0.403	0.403
ATF4	EIF2S1	0.989	0.989
ATF4	TP53	0.45	0.45
ATF4	BAX	0.417	0.417
ATF4	EIF2AK3	0.992	0.992
ATF4	CYCS	0.453	0.453
ATF4	CASP3	0.602	0.602
ATF4	HSPA5	0.975	0.975
ATF4	ULK1	0.406	0.406
ATF4	CASP9	0.435	0.435
ATF4	TNF	0.405	0.405
ATF4	PINK1	0.434	0.434
ATF4	SQSTM1	0.453	0.453
ATF4	BECN1	0.472	0.472
ATF4	MAP3K5	0.513	0.513
ACTB	ATF4	0.548	0.548
ATF4	MTOR	0.572	0.572
ATF4	BCL2	0.597	0.597
ATF4	ERN1	0.835	0.835
ATF4	ATF6	0.942	0.942
ATF4	DDIT3	0.996	0.996
ATF6	XBP1	0.998	0.998
ATF6	MAPK14	0.513	0.513
ATF6	TRAF2	0.572	0.572
ATF6	EIF2S1	0.923	0.923
ATF6	DERL1	0.511	0.511
ATF6	PIK3C3	0.431	0.431
ATF6	WIPI1	0.422	0.422
ATF6	TP53	0.51	0.51
ATF6	SOD1	0.423	0.423
ATF6	SIGMAR1	0.473	0.473
ATF6	BAX	0.447	0.447
ATF6	EIF2AK3	0.978	0.978
ATF6	CYCS	0.614	0.614
ATF6	CASP3	0.737	0.737
ATF6	HSPA5	0.999	0.999
ATF6	CASP9	0.627	0.627
ATF4	ATF6	0.942	0.942
ATF6	VCP	0.593	0.593
ATF6	MAP3K5	0.712	0.712
ATF6	MTOR	0.523	0.523
ATF6	BECN1	0.645	0.645
ATF6	PINK1	0.409	0.409
ATF6	CASP1	0.467	0.467
ATF6	SQSTM1	0.471	0.471
ATF6	BCL2L1	0.504	0.504
ATF6	TNF	0.523	0.523
ATF6	ITPR3	0.537	0.537
ACTB	ATF6	0.627	0.627
ATF6	BCL2	0.716	0.716
ATF6	ERN1	0.976	0.976
ATF6	VAPB	0.989	0.989
ATF6	DDIT3	0.989	0.989
ATG101	RB1CC1	0.999	0.999
ATG101	GABARAPL2	0.822	0.822
ATG101	ATG14	0.994	0.994
ATG101	PIK3C3	0.989	0.989
ATG101	WIPI1	0.897	0.897
ATG101	NRBF2	0.962	0.962
ATG101	WIPI2	0.849	0.849
ATG101	WDR41	0.785	0.785
ATG101	RAB8A	0.475	0.475
ATG101	GABARAP	0.837	0.837
ATG101	ULK1	0.999	0.999
ATG101	BCL2	0.407	0.407
ATG101	PSMD4	0.408	0.408
ATG101	PINK1	0.479	0.479
ATG101	OPTN	0.505	0.505
ATG101	ATG2B	0.633	0.633
ATG101	SQSTM1	0.715	0.715
ATG101	ATG2A	0.72	0.72
ATG101	GABARAPL1	0.826	0.826
ATG101	SMCR8	0.895	0.895
ATG101	BECN2	0.947	0.947
ATG101	MTOR	0.977	0.977
ATG101	C9orf72	0.979	0.979
ATG101	PIK3R4	0.985	0.985
ATG101	BECN1	0.988	0.988
ATG101	ULK2	0.999	0.999
ATG14	RB1CC1	0.999	0.999
ATG14	GABARAPL2	0.994	0.994
ATG14	CASP3	0.405	0.405
ATG14	PRKN	0.442	0.442
ATG14	PINK1	0.551	0.551
ATG14	OPTN	0.644	0.644
ATG14	MTOR	0.683	0.683
ATG14	BCL2L1	0.691	0.691
ATG14	RAB5A	0.712	0.712
ATG14	ATG2B	0.733	0.733
ATG14	ATG2A	0.736	0.736
ATG14	SQSTM1	0.822	0.822
ATG14	WIPI1	0.889	0.889
ATG14	BCL2	0.929	0.929
ATG14	WIPI2	0.935	0.935
ATG14	ULK2	0.985	0.985
ATG14	GABARAP	0.993	0.993
ATG14	GABARAPL1	0.993	0.993
ATG101	ATG14	0.994	0.994
ATG14	BECN2	0.999	0.999
ATG14	PIK3R4	0.999	0.999
ATG14	NRBF2	0.999	0.999
ATG14	ULK1	0.999	0.999
ATG14	PIK3C3	0.999	0.999
ATG14	BECN1	0.999	0.999
ATG2A	RB1CC1	0.758	0.758
ATG2A	GABARAPL2	0.708	0.708
ATG14	ATG2A	0.736	0.736
ATG2A	PIK3C3	0.668	0.668
ATG2A	WIPI1	0.998	0.998
ATG2A	WIPI2	0.995	0.995
ATG2A	GABARAP	0.892	0.892
ATG2A	ULK1	0.991	0.991
ATG101	ATG2A	0.72	0.72
ATG2A	PIK3R4	0.685	0.685
ATG2A	ATG2B	0.959	0.959
ATG2A	BECN1	0.639	0.639
ATG2A	SQSTM1	0.545	0.545
