Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
IFIT3,-0.0037358751832980153,0.623484202833157,0.568,0.963,0.5717358751832979,ambiguous
TKT,-0.308186785259753,0.62446999928633,-0.0639,0.983,0.244286785259753,ambiguous
SEC13,0.283261660146202,0.62446999928633,-0.312,0.981,-0.595261660146202,ambiguous
HSP90AB1,-0.15211475968317284,0.639009960772034,-0.32,0.949,-0.16788524031682717,ambiguous
KARS,0.1821115962727925,0.756265740724941,0.0593,0.984,-0.1228115962727925,ambiguous
G3BP1,-0.275559795293094,0.625504293793757,0.47,0.975,0.7455597952930939,ambiguous
CUL1,-0.8417625409234053,0.925899182178992,-0.94,0.57,-0.09823745907659465,concordant_down
FXR1,-0.15028115389505803,0.845100486220447,-0.419,0.976,-0.26871884610494196,ambiguous
RPL24,-0.0016228920799515045,0.62818316874765,0.713,0.953,0.7146228920799514,ambiguous
RPL19,0.31186696573252204,0.628790227297793,-1.02,0.959,-1.3318669657325222,ambiguous
CCT4,0.24569084038617728,0.628790227297793,-0.201,0.958,-0.4466908403861773,ambiguous
PSMC3,-0.16605919697330415,0.822136144276097,-0.133,0.98,0.033059196973304145,ambiguous
ITPR1,0.5148002592337554,0.977804821396804,0.017,0.985,-0.49780025923375537,ambiguous
AP3D1,-0.7641158285843717,0.976264741364951,-0.167,0.978,0.5971158285843716,ambiguous
COX7A2,-0.15780260210053,0.630014664512882,-0.805,0.956,-0.6471973978994701,ambiguous
ABR,0.606418131969256,0.630014664512882,0.346,0.902,-0.260418131969256,ambiguous
OXCT1,-0.6644609780720796,0.630014664512882,-0.452,0.956,0.2124609780720796,ambiguous
MAPK3,-0.4143482109755996,0.984177084817103,-0.206,0.97,0.2083482109755996,ambiguous
PTEN,-0.38749921529933085,0.822136144276097,-0.377,0.969,0.010499215299330844,ambiguous
RHOA,0.19830354237443495,0.631022853931655,0.314,0.976,0.11569645762556505,ambiguous
IGBP1,0.3893275395102802,0.822136144276097,-0.609,0.909,-0.9983275395102802,ambiguous
ACTR1B,-0.5689941796248749,0.809492974987475,-0.698,0.964,-0.1290058203751251,concordant_down
PGD,0.9797215881991399,0.764538236957103,1.8,0.762,0.8202784118008601,concordant_up
UBE2N,0.9539757716951965,0.822136144276097,-0.259,0.979,-1.2129757716951965,ambiguous
ME3,0.8987768857579834,0.647038731306546,-0.72,0.947,-1.6187768857579834,discordant_HIGH
GLUL,-0.057669837255347994,0.647949011953548,0.596,0.969,0.653669837255348,ambiguous
KPNB1,-0.7619660365715942,0.897705971965173,0.132,0.979,0.8939660365715942,ambiguous
EIF3I,-0.089386129387438,0.648292940344484,-0.0055,0.986,0.08388612938743799,ambiguous
HSPA5,-0.6031323635622897,0.648292940344484,0.077,0.981,0.6801323635622897,ambiguous
ATP6V1C1,0.2086480472484605,0.90603325615994,0.221,0.976,0.012351952751539497,ambiguous
PDHX,-0.6335592883206,0.651671054876446,-0.111,0.981,0.5225592883206001,ambiguous
EIF5,-0.584441290362135,0.859280921138008,0.262,0.976,0.846441290362135,ambiguous
RPS24,-0.013841488799944984,0.654182924315325,0.169,0.977,0.182841488799945,ambiguous
CAPN1,-0.333632982112313,0.654530752700701,-0.0322,0.985,0.301432982112313,ambiguous
RHOB,0.8434010554299365,0.655731232753254,-0.163,0.984,-1.0064010554299365,ambiguous
ACAT1,0.4245909060494105,0.65669539562966,0.796,0.906,0.3714090939505895,ambiguous
PRKAR2B,0.5771085065647156,0.937061209680949,-0.0418,0.984,-0.6189085065647155,ambiguous
LAMA4,0.4453800146638035,0.661668586995642,1.27,0.932,0.8246199853361965,ambiguous
LPP,-0.30927451969952496,0.661668586995642,1.2,0.482,1.509274519699525,ambiguous
HNRNPA1,-0.16551992026357948,0.662056935965944,0.0573,0.983,0.22281992026357947,ambiguous
SFPQ,-0.538350820052613,0.662686370383593,1.01,0.942,1.548350820052613,discordant_LOW
MPP2,-0.2831766664092965,0.797279127538923,-0.00178,0.986,0.2813966664092965,ambiguous
UQCRB,-0.3452335405653614,0.822136144276097,0.176,0.982,0.5212335405653614,ambiguous
GDI2,0.7149060964182983,0.822136144276097,0.457,0.938,-0.25790609641829826,ambiguous
ENO1,-0.0955517960093845,0.666987608110537,0.293,0.951,0.3885517960093845,ambiguous
MAPK1,0.7758866899871404,0.818863931281039,0.0583,0.982,-0.7175866899871404,ambiguous
ACAA2,-0.39869147207539,0.674245221652067,0.55,0.955,0.9486914720753901,ambiguous
IARS,-0.2960334212817861,0.822136144276097,-0.778,0.923,-0.4819665787182139,ambiguous
CTNNA1,0.39505953612378,0.6787594288711,1.87,0.128,1.4749404638762202,ambiguous
ACO2,0.3352487216840737,0.876693341406181,0.233,0.968,-0.1022487216840737,ambiguous
RPL38,-0.0020934096041549943,0.683193077758219,1.0,0.906,1.002093409604155,ambiguous
KIF2A,-0.7023612447272082,0.860805949353425,-0.371,0.957,0.3313612447272082,ambiguous
SHMT2,0.536569620540253,0.683977630336106,-0.719,0.954,-1.255569620540253,discordant_HIGH
COX6B1,0.18006496075919048,0.696827175083042,-0.51,0.977,-0.6900649607591904,ambiguous
KIAA0196,-0.3215648927472994,0.689945811144765,-0.098,0.984,0.22356489274729938,ambiguous
PTPRS,0.9031507536485976,0.790602444785248,-0.226,0.96,-1.1291507536485976,ambiguous
HNRNPD,-0.09373808893622146,0.691196201007678,0.53,0.949,0.6237380889362215,ambiguous
PSMD4,0.6128476022132877,0.693511953539128,-0.0699,0.984,-0.6827476022132877,ambiguous
RPL8,0.349059874572881,0.693511953539128,0.684,0.63,0.33494012542711904,ambiguous
PTPRZ1,0.6123983809024031,0.700069762312695,0.298,0.967,-0.3143983809024031,ambiguous
DDX1,0.5490115090474434,0.822136144276097,-0.224,0.972,-0.7730115090474434,ambiguous
COX4I1,0.1586764158913497,0.746688388909584,0.233,0.975,0.07432358410865031,ambiguous
PSMD6,-0.2407513356054875,0.704831796408702,-0.222,0.968,0.0187513356054875,ambiguous
PPP1CB,0.28264238512318235,0.704831796408702,-0.212,0.983,-0.49464238512318237,ambiguous
COX5B,-0.2542448957583285,0.706369591537103,-0.179,0.976,0.07524489575832849,ambiguous
CAPNS1,0.1848477753542289,0.75107385633263,-0.00818,0.985,-0.19302777535422888,ambiguous
PRKDC,-0.6708246674166853,0.979670371039557,-0.225,0.978,0.44582466741668536,ambiguous
USP9X,0.3483162966756248,0.713169374276507,-0.288,0.961,-0.6363162966756248,ambiguous
EEF1D,-0.4145989763739074,0.713169374276507,-0.465,0.974,-0.05040102362609261,ambiguous
DLD,-0.2340995053980335,0.713169374276507,-0.0334,0.984,0.2006995053980335,ambiguous
CALB2,-0.24966337140334144,0.956926405996831,-0.701,0.948,-0.4513366285966585,ambiguous
ATP2B2,0.5671947763735986,0.717016545217162,0.0921,0.984,-0.4750947763735986,ambiguous
PSMF1,0.3637260334812862,0.822136144276097,-1.94,0.681,-2.3037260334812864,ambiguous
CIRBP,-0.17426187763427203,0.717016545217162,-0.615,0.964,-0.44073812236572796,ambiguous
ATP6V1A,-0.7176190204707675,0.822136144276097,-0.196,0.964,0.5216190204707676,ambiguous
SUCLG1,0.47366821458707553,0.718587828285883,0.0221,0.985,-0.4515682145870755,ambiguous
GSPT1,0.4719350032199249,0.718587828285883,-0.211,0.979,-0.6829350032199248,ambiguous
GSTM5,1.0466651457909726,0.718661667565577,-0.458,0.977,-1.5046651457909725,ambiguous
ATXN10,0.6220462184270461,0.822136144276097,-0.579,0.917,-1.201046218427046,discordant_HIGH
CTNNA2,0.5761677081424346,0.905900333526039,0.309,0.962,-0.26716770814243457,ambiguous
ALDH7A1,-0.031895733174872015,0.822136144276097,0.754,0.968,0.785895733174872,ambiguous
RPS6KA2,-0.474474905339283,0.729676386651121,-0.149,0.974,0.325474905339283,ambiguous
RPN2,0.2230845964764965,0.730850999232621,-0.194,0.982,-0.41708459647649654,ambiguous
GNAI2,-0.20837902909682798,0.731772121033468,0.0861,0.979,0.294479029096828,ambiguous
HBB,-0.3645630970338435,0.867566790803152,0.38,0.965,0.7445630970338435,ambiguous
KTN1,-0.36575755008232536,0.737323385963666,-0.736,0.953,-0.37024244991767463,ambiguous
OAT,0.5949247632919806,0.822136144276097,-0.112,0.981,-0.7069247632919806,ambiguous
SCN2A,-0.6136754529408176,0.943333209891072,-0.0727,0.985,0.5409754529408176,ambiguous
AKT2,0.6108969559581106,0.737323385963666,-0.0823,0.984,-0.6931969559581106,ambiguous
MTM1,0.55031797711335,0.978253672826506,0.308,0.98,-0.24231797711334996,ambiguous
TSFM,-0.4899976212681747,0.836153911746681,0.217,0.977,0.7069976212681747,ambiguous
UBXN1,0.2976582331010195,0.765083528338677,-0.181,0.98,-0.4786582331010195,ambiguous
ACADVL,0.11143094380469824,0.88071558383976,0.481,0.883,0.3695690561953017,ambiguous
RHEB,0.2157970294052791,0.841365928935467,0.726,0.957,0.5102029705947209,ambiguous
FTL,0.46055316189865847,0.747563537315578,0.501,0.96,0.04044683810134153,ambiguous
CD9,1.89314858176922,0.749261737414736,-0.164,0.983,-2.05714858176922,ambiguous
NAPG,-0.4982933511885669,0.749830934916957,0.0691,0.984,0.5673933511885669,ambiguous
APBA1,-0.1741107073617925,0.753280980969631,0.14,0.98,0.3141107073617925,ambiguous
PYGB,-0.2219692844535382,0.816037752891586,-0.432,0.662,-0.2100307155464618,ambiguous
STIM1,-0.5980927442842098,0.822136144276097,-0.275,0.978,0.32309274428420975,ambiguous
GLO1,0.2734201661370643,0.998134730658464,-0.00425,0.986,-0.2776701661370643,ambiguous
LGALS1,-0.11458102425220591,0.822136144276097,0.653,0.929,0.767581024252206,ambiguous
YES1,-0.06665966814103547,0.757138884934459,0.471,0.96,0.5376596681410355,ambiguous
UBE4A,-0.46061723835676754,0.963281953743701,-0.455,0.969,0.005617238356767529,ambiguous
GANAB,-0.15321709182372048,0.764623668886108,-0.168,0.982,-0.01478290817627953,ambiguous
RAB31,0.40164581039478753,0.764623668886108,0.393,0.975,-0.008645810394787512,ambiguous
PPP1R7,0.14800079029276536,0.822136144276097,-0.423,0.973,-0.5710007902927654,ambiguous
DLST,0.15628394369275672,0.936733181050735,-0.112,0.982,-0.2682839436927567,ambiguous
GUCY1B3,0.42536878732012123,0.764623668886108,-0.651,0.949,-1.0763687873201213,ambiguous
RPS3,0.025161276896737,0.764623668886108,1.41,0.718,1.3848387231032628,ambiguous
RBM39,0.37439287326793896,0.764623668886108,0.682,0.165,0.3076071267320611,ambiguous
AKR1C1,-0.6132962981941487,0.822136144276097,0.333,0.973,0.9462962981941487,ambiguous
CACNA2D1,0.5017008938480034,0.822136144276097,-0.326,0.978,-0.8277008938480035,ambiguous
VCAN,0.13800063850468097,0.764623668886108,0.341,0.969,0.20299936149531905,ambiguous
PSMC2,0.7878669379809844,0.997834667556435,0.349,0.941,-0.4388669379809844,ambiguous
EIF4G1,-0.6569065289155126,0.941712109150229,0.203,0.978,0.8599065289155126,ambiguous
PHYHIP,0.24084100918925191,0.822136144276097,-0.0411,0.984,-0.2819410091892519,ambiguous
CAMK2D,0.3586350239747156,0.970861391100744,0.432,0.749,0.07336497602528441,ambiguous
EIF2AK2,-0.07368109269501401,0.764623668886108,0.248,0.982,0.321681092695014,ambiguous
MAP1A,0.24794068956658072,0.819335243723647,-0.241,0.943,-0.4889406895665807,ambiguous
COX5A,-0.537567793458171,0.943922274965992,-0.0883,0.983,0.44926779345817097,ambiguous
BCKDHB,0.326470098884426,0.764623668886108,0.106,0.984,-0.22047009888442604,ambiguous
GUK1,-0.6909255342052651,0.822136144276097,-0.314,0.931,0.37692553420526514,ambiguous
SRP72,-0.38915821675441054,0.764623668886108,-0.442,0.961,-0.05284178324558947,ambiguous
IFIT1,-0.2025742567805952,0.991513266083272,0.614,0.958,0.8165742567805951,ambiguous
GSTM3,0.5354015181670471,0.764623668886108,0.0065,0.985,-0.5289015181670471,ambiguous
PFKP,0.529073027347319,0.764948601948762,-0.286,0.941,-0.815073027347319,ambiguous
MOG,0.2200887023224355,0.765067162838261,0.239,0.98,0.018911297677564498,ambiguous
VDAC1,-0.12215267103471414,0.822136144276097,-0.28,0.975,-0.1578473289652859,ambiguous
RAP1A,-0.31573601166306897,0.766052237457572,-0.119,0.979,0.19673601166306898,ambiguous
AGL,0.48374168723113053,0.766169867474786,0.575,0.964,0.09125831276886942,ambiguous
MAPRE3,0.21991446779935267,0.806956385244486,-0.472,0.918,-0.6919144677993526,ambiguous
A2M,0.428449797538767,0.766352845466727,0.305,0.981,-0.123449797538767,ambiguous
SLC25A13,0.6146988711069645,0.766497681209466,-0.114,0.984,-0.7286988711069645,ambiguous
EIF2B5,-0.435242954599804,0.766995822427607,-0.425,0.97,0.01024295459980401,ambiguous
YWHAH,-0.21563204821665335,0.766995822427607,-0.00474,0.986,0.21089204821665336,ambiguous
CUL2,-0.4774758417946944,0.822136144276097,-0.668,0.949,-0.19052415820530566,ambiguous
GBE1,0.347729809094042,0.767240390672075,-0.283,0.977,-0.630729809094042,ambiguous
COPB2,-0.39008942889381315,0.767240390672075,-0.255,0.981,0.13508942889381315,ambiguous
ADD3,-0.094241404907284,0.767635396931288,0.484,0.935,0.5782414049072839,ambiguous
PRKAA2,-0.16322528377129147,0.856252838348846,-0.245,0.959,-0.08177471622870852,ambiguous
ALDOC,-0.1163515068556072,0.822136144276097,-0.258,0.967,-0.14164849314439282,ambiguous
ALDH5A1,-0.1518228420692835,0.767635396931288,-1.04,0.961,-0.8881771579307165,ambiguous
UCHL1,-0.26190562291856906,0.822136144276097,-0.163,0.98,0.09890562291856905,ambiguous
RSU1,0.24910976071780477,0.769181613470682,0.304,0.972,0.05489023928219522,ambiguous
HTT,-0.25857696929444,0.769694506959809,-0.641,0.774,-0.38242303070556,ambiguous
PGK1,-0.10303936886891975,0.822136144276097,0.363,0.949,0.4660393688689197,ambiguous
ATP1B2,0.274315090129342,0.770800470451102,0.202,0.981,-0.07231509012934201,ambiguous
CAP1,0.1288166667639172,0.770800470451102,-0.0181,0.985,-0.1469166667639172,ambiguous
EIF5A,0.683811050218933,0.822136144276097,-0.0254,0.985,-0.7092110502189329,ambiguous
DDB1,0.17742157255192198,0.777521743810255,0.481,0.949,0.303578427448078,ambiguous
DNAJB1,-0.06793684862302796,0.797279127538923,-0.528,0.973,-0.46006315137697207,ambiguous
MPP1,-0.23614366913560203,0.782018819103251,-0.363,0.921,-0.12685633086439796,ambiguous
TUBB3,-0.3118709547804605,0.782486343017291,-0.216,0.969,0.09587095478046051,ambiguous
GNL1,-0.36602884394658947,0.785216201582477,-0.0984,0.981,0.2676288439465895,ambiguous
S100A10,0.2720155826316361,0.822136144276097,1.36,0.895,1.087984417368364,ambiguous
CBX3,0.40899829357742107,0.822136144276097,-0.214,0.983,-0.6229982935774211,ambiguous
HSPA2,-0.08925391408013947,0.785475262339636,0.0435,0.984,0.13275391408013948,ambiguous
TRIO,0.1148717541812985,0.822136144276097,-0.437,0.974,-0.5518717541812985,ambiguous
EPHX1,-0.17148222413585296,0.822136144276097,1.09,0.938,1.261482224135853,ambiguous
USP7,-0.2560537469314419,0.788424697195687,-0.506,0.963,-0.2499462530685581,ambiguous
SCRN1,-0.13879115036470535,0.78911782281189,-0.166,0.982,-0.027208849635294657,ambiguous
ECHS1,0.08512520236322525,0.882227217766738,0.169,0.978,0.08387479763677476,ambiguous
HSPA4,-0.4297896353113332,0.822136144276097,-0.338,0.967,0.09178963531133316,ambiguous
CCT7,0.3825230627852075,0.878205581347767,-0.26,0.946,-0.6425230627852074,ambiguous
NDUFA4,-0.11882180884216549,0.822136144276097,0.0964,0.984,0.2152218088421655,ambiguous
MAP2K4,-0.5385011589162916,0.794624784482795,-0.384,0.971,0.15450115891629157,ambiguous
IDH1,0.32575075703107526,0.794869559927031,0.334,0.976,0.008249242968924764,ambiguous
IDH3B,-0.5930372899312457,0.934495377141205,-0.584,0.383,0.009037289931245751,concordant_down
ADD1,-0.12361020463132,0.80138728738567,0.00842,0.985,0.13203020463132,ambiguous
UQCRFS1,-0.2031602036209666,0.956118473070801,0.105,0.983,0.3081602036209666,ambiguous
OGDH,0.13450063599894546,0.957944671137143,-0.186,0.975,-0.32050063599894546,ambiguous
OSTF1,-0.4930104153654854,0.882563614751558,0.00842,0.985,0.5014304153654854,ambiguous
CADPS,-0.380509080578437,0.802365969539019,-0.576,0.808,-0.19549091942156294,ambiguous
DLG2,-0.1708633181426315,0.822136144276097,0.117,0.983,0.2878633181426315,ambiguous
CAPN2,-0.12254952842675436,0.949367625136095,-0.00775,0.985,0.11479952842675437,ambiguous
TBCB,-0.1549886232317338,0.805975715452126,0.613,0.97,0.7679886232317338,ambiguous
TPM1,0.3530445459157223,0.813218653367157,0.458,0.972,0.1049554540842777,ambiguous
SDHB,0.14239772411537074,0.822136144276097,-0.402,0.974,-0.5443977241153708,ambiguous
MX1,-0.5185801058281277,0.881481498401903,1.0,0.861,1.5185801058281276,discordant_LOW
PRKAR1B,0.383354559749397,0.822866861795825,-0.962,0.71,-1.345354559749397,ambiguous
PFN2,0.131397410706643,0.825447452638041,0.58,0.83,0.44860258929335695,ambiguous
NAP1L4,0.400684629839003,0.827003380554208,0.043,0.984,-0.357684629839003,ambiguous
ATP2A2,-0.0872894078445163,0.934524529773803,-0.139,0.979,-0.05171059215548371,ambiguous
STAT3,0.1230058781431329,0.997188882492527,-0.0937,0.979,-0.2167058781431329,ambiguous
ATP2B4,0.5620148041395235,0.830996643378108,-0.243,0.979,-0.8050148041395235,ambiguous
VCL,-0.33202722241842747,0.83311946351414,0.719,0.726,1.0510272224184274,ambiguous
RAC1,0.1913990660671692,0.835098571054499,0.247,0.981,0.055600933932830804,ambiguous
UQCRC2,-0.4892471151018057,0.835661573023044,0.252,0.964,0.7412471151018056,ambiguous
VPS45,0.3659991335107651,0.912438544675182,-0.215,0.979,-0.580999133510765,ambiguous
ATP2B3,-0.3292528590217794,0.841255240136368,-0.974,0.681,-0.6447471409782206,ambiguous
TMOD1,0.18628707805734,0.846914355470107,0.488,0.958,0.30171292194266,ambiguous
TPM3,-0.13221099024090555,0.841727106627812,0.757,0.873,0.8892109902409056,ambiguous
GCLC,0.4337984411994042,0.843941079719761,-0.565,0.973,-0.9987984411994042,ambiguous
MLF2,0.1370864968552403,0.844504491902316,0.409,0.943,0.2719135031447597,ambiguous
GNB1,-0.0808636276117927,0.846146536404131,0.114,0.98,0.1948636276117927,ambiguous
ALDH18A1,0.400995052655902,0.859128865095718,-0.148,0.982,-0.548995052655902,ambiguous
CUL5,-0.3824705502380184,0.940533390490157,-0.182,0.981,0.2004705502380184,ambiguous
UBA1,-0.05554340722083635,0.848926789834737,-0.287,0.966,-0.23145659277916364,ambiguous
PRUNE2,-0.2569206779625175,0.850607141226341,-0.723,0.94,-0.4660793220374825,ambiguous
S100B,0.173780373471238,0.850607141226341,1.29,0.305,1.116219626528762,ambiguous
MAT2A,-0.3169466593404605,0.854512084987047,-0.58,0.954,-0.26305334065953945,ambiguous
SKP1,-0.09053988560108814,0.854556757014861,0.979,0.319,1.069539885601088,ambiguous
MDH1,-0.13022101450939305,0.856417346979265,-0.157,0.981,-0.02677898549060695,ambiguous
RBBP7,-0.25273205353059874,0.857061563307563,-0.543,0.974,-0.2902679464694013,ambiguous
ADSS,-0.35319400779103405,0.857788407481244,-1.26,0.92,-0.906805992208966,ambiguous
INPP4A,0.3653746037094166,0.857875451613546,-0.843,0.921,-1.2083746037094165,ambiguous
SEC23A,-0.1666388927286327,0.861906503274943,0.303,0.902,0.4696388927286327,ambiguous
KPNA4,0.3122770744928288,0.862084942395237,-0.274,0.974,-0.5862770744928288,ambiguous
RBBP4,0.481151224589989,0.862192831555694,0.771,0.952,0.28984877541001103,ambiguous
NT5E,0.639332557778756,0.865344140991512,0.742,0.953,0.10266744222124402,concordant_up
GNAI1,-0.1259633869030936,0.870830487808242,0.156,0.972,0.28196338690309364,ambiguous
RPS21,0.2736331395470575,0.874233100576817,0.456,0.967,0.18236686045294254,ambiguous
ARPC2,-0.02228018704473455,0.874233100576817,0.131,0.976,0.15328018704473456,ambiguous
GALC,0.2114939001995505,0.874233100576817,-0.134,0.983,-0.3454939001995505,ambiguous
PARK7,0.10319293349213245,0.875488241607496,0.491,0.946,0.38780706650786756,ambiguous
AKAP12,0.30726405545615576,0.876180300503618,-0.0899,0.981,-0.39716405545615574,ambiguous
RAB3GAP1,0.1922154129552771,0.876180300503618,-0.0506,0.983,-0.24281541295527712,ambiguous
ALDH9A1,0.16643072113747648,0.877238791069845,-0.127,0.984,-0.2934307211374765,ambiguous
CSNK2B,0.1610204729995435,0.879505051884471,-0.279,0.97,-0.4400204729995435,ambiguous
IPO5,-0.1508536252766738,0.87988715831709,-0.0971,0.983,0.05375362527667378,ambiguous
TJP1,0.015785120921321505,0.880757046124136,0.612,0.964,0.5962148790786785,ambiguous
ARHGEF6,0.440632669068302,0.881989065719684,0.544,0.917,0.10336733093169803,ambiguous
IDH3A,-0.0713619357366939,0.885885517247548,-0.401,0.911,-0.3296380642633061,ambiguous
PTPN1,-0.1493342350983555,0.893575533252913,-0.715,0.977,-0.5656657649016444,ambiguous
ANXA5,0.1778111640098835,0.885885517247548,0.103,0.983,-0.07481116400988351,ambiguous
GJA1,0.357332013912727,0.886141341130261,0.417,0.956,0.05966798608727297,ambiguous
MAOA,0.25318268956562107,0.887871636180454,0.957,0.951,0.7038173104343789,ambiguous
NDUFS1,0.26318616965528874,0.887958796980673,-0.195,0.972,-0.45818616965528874,ambiguous
PIP4K2B,0.3690377676622133,0.935332490338807,-0.339,0.956,-0.7080377676622134,ambiguous
CD59,-0.09569875867504565,0.910663281722298,1.06,0.26,1.1556987586750458,ambiguous
PGAM1,-0.115134779008447,0.889860840926905,-0.233,0.975,-0.11786522099155301,ambiguous
GSK3B,0.12678367785348119,0.892578032331578,-0.282,0.98,-0.40878367785348113,ambiguous
YWHAZ,0.08442377134649155,0.967548792356035,-0.208,0.976,-0.29242377134649156,ambiguous
NPM1,-0.030965604469964506,0.895039062697716,0.398,0.939,0.4289656044699645,ambiguous
ARF5,0.4078314081498402,0.91811907542248,-0.132,0.982,-0.5398314081498402,ambiguous
AP3M2,0.33037260575460015,0.895155566847382,-1.46,0.284,-1.7903726057546,ambiguous
PDE4B,0.052821977463336486,0.899498031014782,-0.122,0.983,-0.1748219774633365,ambiguous
PGRMC1,-0.1691646817481355,0.900234597157009,-0.287,0.976,-0.11783531825186447,ambiguous
SYN2,-0.3032642873089361,0.900579308553314,-0.763,0.752,-0.4597357126910639,ambiguous
ANK2,-0.31859328671422027,0.901219358577164,-0.114,0.98,0.20459328671422028,ambiguous
RPS9,0.3812659571650605,0.902005105209455,0.753,0.498,0.3717340428349395,ambiguous
CKAP4,-0.09317282053269249,0.903164854581815,-0.125,0.983,-0.03182717946730751,ambiguous
GLUD1,-0.037203242017794146,0.903331910671663,0.395,0.936,0.43220324201779414,ambiguous
HIBCH,-0.1265991635259575,0.903755247541593,-0.235,0.98,-0.1084008364740425,ambiguous
ITPKB,0.9132635946368125,0.90651507101608,0.267,0.979,-0.6462635946368125,ambiguous
DLAT,-0.21055050192589875,0.90651507101608,-0.169,0.979,0.041550501925898736,ambiguous
UBE3C,0.12768702308630248,0.910075737343777,-0.861,0.901,-0.9886870230863025,ambiguous
MAPK10,0.2844237979604055,0.910764741457227,-0.462,0.973,-0.7464237979604056,ambiguous
ARF4,-0.0400106289865665,0.91190190161918,0.329,0.973,0.3690106289865665,ambiguous
GOT2,-0.1170484563028356,0.913976054962271,-0.0158,0.986,0.1012484563028356,ambiguous
PMVK,0.5047170846450505,0.913976054962271,0.296,0.934,-0.2087170846450505,ambiguous
MYO1E,0.392961818675987,0.914486214592068,-0.17,0.983,-0.562961818675987,ambiguous
HSD17B4,-0.182924002231638,0.914691663146759,-0.0298,0.984,0.153124002231638,ambiguous
SQSTM1,0.17136555746335386,0.91652792387186,0.178,0.983,0.006634442536646135,ambiguous
SARS,-0.10071908305064844,0.91652792387186,-0.337,0.962,-0.23628091694935158,ambiguous
CAPZA2,-0.11936629905543414,0.91652792387186,0.16,0.979,0.27936629905543414,ambiguous
COX6A1,-0.020026074317015502,0.917375487776438,-0.214,0.982,-0.1939739256829845,ambiguous
LARS2,0.080193929092672,0.917792461701681,0.564,0.969,0.48380607090732797,ambiguous
ADCY8,0.5838804363571051,0.917792461701681,0.655,0.979,0.07111956364289496,concordant_up
CD44,0.04430230192880702,0.919999541603795,1.03,0.717,0.985697698071193,ambiguous
PCCA,-0.1212358770201228,0.920277049247399,1.04,0.636,1.1612358770201228,ambiguous
HNRNPU,-0.16047256140398902,0.920499147055204,0.337,0.957,0.49747256140398904,ambiguous
NAMPT,0.31582354879021046,0.922214474957435,0.56,0.892,0.2441764512097896,ambiguous
KIFAP3,0.13038138962502813,0.922322901949657,-0.357,0.974,-0.4873813896250281,ambiguous
RCN2,0.15358561079880415,0.923724773447826,-0.186,0.983,-0.3395856107988041,ambiguous
CAPZA1,0.120670317894607,0.926149679825782,-0.174,0.983,-0.29467031789460696,ambiguous
LAMC1,0.5400878328774175,0.928162338551663,0.842,0.921,0.3019121671225825,concordant_up
PPP2R5B,-0.180454373290392,0.929054438007751,-0.849,0.925,-0.6685456267096079,ambiguous
AMPH,-0.2865077032676075,0.929054438007751,-0.835,0.915,-0.5484922967323924,ambiguous
HNRNPA0,-0.3248958293659267,0.975561410564717,0.355,0.963,0.6798958293659267,ambiguous
PRDX2,0.13736657306275873,0.931792081031457,0.474,0.946,0.33663342693724124,ambiguous
NDUFA5,0.2620635155929728,0.935018032507947,-0.041,0.984,-0.3030635155929728,ambiguous
HIST2H2BE,-0.233463151472471,0.935277327505198,0.472,0.967,0.705463151472471,ambiguous
PIN1,-0.08675497549107196,0.978005812832856,-0.6,0.507,-0.5132450245089281,ambiguous
SSBP1,-0.09449660031259074,0.937649665663369,-0.0511,0.984,0.043396600312590745,ambiguous
EFTUD2,0.2454283495592527,0.938240819752087,0.227,0.964,-0.018428349559252682,ambiguous
ARHGAP5,0.3089955205762495,0.940900433876091,-0.48,0.974,-0.7889955205762496,ambiguous
AHNAK,0.2192813339644655,0.943106698293269,0.937,0.379,0.7177186660355346,ambiguous
METAP1,-0.07863985347115046,0.943176754062601,0.0338,0.985,0.11243985347115046,ambiguous
HSPA9,-0.12085517730460564,0.998134730658464,-0.251,0.961,-0.13014482269539435,ambiguous
PHKB,-0.1468566353870395,0.945981691973196,0.396,0.967,0.5428566353870395,ambiguous
PARP1,0.052358300090962456,0.946140301193422,0.772,0.78,0.7196416999090376,ambiguous
CPE,-0.030992847302178606,0.94622336937736,-0.379,0.977,-0.3480071526978214,ambiguous
KPNA1,0.06389620279004381,0.946839968065125,0.262,0.976,0.1981037972099562,ambiguous
ALDOA,-0.06358217641766865,0.956198353430383,0.0042,0.986,0.06778217641766865,ambiguous
INA,-0.01774789399330501,0.948077734824688,-0.441,0.909,-0.423252106006695,ambiguous
AP2B1,-0.06242219196094925,0.948532616349725,-0.646,0.876,-0.5835778080390508,ambiguous
KIF5A,0.1553026005451268,0.951850878617063,-0.206,0.965,-0.36130260054512675,ambiguous
DDX17,-0.103341374078603,0.952053837955918,-0.255,0.98,-0.151658625921397,ambiguous
RANBP1,-0.3334264094228775,0.957239598992592,-0.348,0.969,-0.014573590577122486,ambiguous
CKAP5,0.025780179814530298,0.957239598992592,-0.088,0.981,-0.11378017981453029,ambiguous
RAB9A,0.14908494692610802,0.959255965342604,-0.0709,0.985,-0.21998494692610804,ambiguous
SDCBP,0.028971726072643998,0.959686412321418,0.286,0.974,0.257028273927356,ambiguous
ARL1,0.12057394540460364,0.9597082256054,-0.655,0.955,-0.7755739454046037,ambiguous
