Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,mRNA_logFC_833,mRNA_logFC_76220,mRNA_adjPval_833,mRNA_adjPval_76220
CDC37,-0.321389684917838,0.822136144276097,-0.608581312598801,-0.034198057236875,0.510789540279084,0.822136144276097
MYH10,0.9298211786958623,0.510789540279084,1.93327586906367,-0.0736335116719453,0.510789540279084,0.308778720243506
ZNF45,1.3720686520354974,0.511004764113604,1.9382921569656,0.805845147105395,0.511004764113604,0.183978834972496
OXA1L,1.3375880357264742,0.942653848857742,2.66363615497919,0.0115399164737588,0.512396323303609,0.942653848857742
GLA,-0.2744081218986235,0.618274100183469,-0.70005610072622,0.151239856928973,0.513552941789746,0.618274100183469
SERPINB1,1.4678653852262649,0.514432052662429,1.732747355886,1.20298341456653,0.514432052662429,0.377115126868217
LTBR,1.5770312777210784,0.514432052662429,2.29929736954192,0.854765185900237,0.514432052662429,0.34011735370443
ID4,0.972245813212153,0.514432052662429,1.49757168480853,0.446919941615776,0.514432052662429,0.235281500507548
CKB,0.797892527454467,0.515108252150754,1.06490061738104,0.530884437527894,0.515108252150754,0.175503587828069
HSF2,-0.8614941962688619,0.996414772840713,-1.72237791161257,-0.0006104809251539,0.515108252150754,0.996414772840713
STXBP3,0.3824124925107781,0.764538236957103,0.675627689122475,0.0891972958990812,0.516677994386451,0.764538236957103
SPA17,0.6152050428795834,0.56990649943885,1.53217181756789,-0.301761731808723,0.516974559449485,0.56990649943885
STOM,0.683046350434109,0.516974559449485,0.776568836064184,0.589523864804034,0.516974559449485,0.110576396385598
LRRC23,-0.44674108695841064,0.983418449145676,-0.863753192217185,-0.0297289816996362,0.517350144658472,0.983418449145676
CACNB1,-0.32803565817413755,0.942805675707658,-0.674265591890853,0.0181942755425779,0.517800174057401,0.942805675707658
RPS18,1.075797129442378,0.518650511803548,0.723610985340306,1.42798327354445,0.518650511803548,0.0913155962651916
SRPR,0.800245553562101,0.74949664743236,1.73118710607426,-0.130695998950058,0.518650511803548,0.74949664743236
CTAGE5,0.9844164055394865,0.883082036225223,1.88123619689888,0.087596614180093,0.518650511803548,0.883082036225223
TRIM38,-0.23928321909859052,0.625282895568918,-1.34903063025214,0.870464192054959,0.519382622597439,0.625282895568918
NOVA1,-0.5062219641390732,0.910076062101284,-1.02529899800934,0.0128550697311938,0.520577559074897,0.910076062101284
NEFH,-1.39745335755798,0.599596505583369,-2.77458516823486,-0.0203215468811,0.521194340045901,0.599596505583369
IFRD1,-0.13012959737245455,0.521481469842047,-1.02370987690755,0.763450682162641,0.521481469842047,0.127538961853803
NR6A1,1.0545936522335364,0.822136144276097,2.01969931013583,0.0894879943312428,0.52272992699794,0.822136144276097
MAP2K5,-0.8035766508151002,0.822136144276097,-1.66374415585821,0.0565908542280095,0.522889862324776,0.822136144276097
TM9SF2,-0.6816418787299248,0.822136144276097,-1.40267935879119,0.0393956013313406,0.523437227714434,0.822136144276097
TPBG,0.6069560526168545,0.523437227714434,-0.994196684887131,2.20810879012084,0.523437227714434,0.212800120151963
TROVE2,1.2618013984735934,0.523437227714434,2.3696457286565,0.153957068290687,0.523437227714434,0.254524902480723
DAP3,0.8112045959828215,0.993695050311779,1.62387597790905,-0.0014667859434069,0.523437227714434,0.993695050311779
MCC,-1.017942290580578,0.66694315592731,-2.24466912199584,0.208784540834684,0.523437227714434,0.66694315592731
PRPH,-1.607186878198301,0.940487568724256,-3.20882287215391,-0.0055508842426919,0.523437227714434,0.940487568724256
ALAD,0.8924348878368266,0.775444348205677,1.73918210006805,0.0456876756056031,0.523437227714434,0.775444348205677
EYA2,0.85181949041687,0.827193177195251,1.63317849588977,0.0704604849439701,0.523437227714434,0.827193177195251
DNM2,1.8467873490142679,0.723079717543861,3.26047215936863,0.433102538659906,0.523437227714434,0.723079717543861
JUN,0.6170900040777505,0.523672441745049,0.947680821715364,0.286499186440137,0.523672441745049,0.152942765784689
SLC7A1,-1.0951487822409336,0.525121399359419,-2.12204090485044,-0.0682566596314271,0.525121399359419,0.369846386957059
LIMK2,-1.165988509727224,0.526436610205089,-2.83291370741511,0.500936687960662,0.526436610205089,0.485837483691535
ARNT,-1.0663435762886357,0.89521926859087,-2.2070643723186,0.0743772197413285,0.526629881127964,0.89521926859087
H2AFZ,1.0135388685368645,0.526822437979683,1.83894074399357,0.188136993080159,0.526822437979683,0.441807955920247
PKP4,-0.4581821475770185,0.527129027682492,-1.12534405494505,0.208979759791013,0.527129027682492,0.248971668615881
RPL37A,-0.06065716104629251,0.527247499289702,-0.485776963933422,0.364462641840837,0.527247499289702,0.0392540512077995
ERBB4,-0.13185226689346996,0.527247499289702,-1.43204990385262,1.16834537006568,0.527247499289702,0.0954514575906124
RPGR,-0.7378997353075911,0.822136144276097,-1.56937177667851,0.0935723060633278,0.527247499289702,0.822136144276097
ST5,0.8710755606128351,0.865514021455434,1.87612192615265,-0.13397080492698,0.527367781786241,0.865514021455434
ILK,-0.9864346912134614,0.934524529773803,-1.94809369022894,-0.0247756921979827,0.527424312677403,0.934524529773803
PTPRF,1.4214096055835246,0.527473412698379,2.22454253302548,0.618276678141569,0.527473412698379,0.0797418410926729
MNX1,0.967643226455858,0.527473412698379,2.17498327261684,-0.239696819705124,0.527473412698379,0.451633895920899
CDH6,-0.5031359860871375,0.527473412698379,-0.82974079288147,-0.176531179292805,0.527473412698379,0.279106412908933
RAB5B,1.0311934109241945,0.527473412698379,1.95959287448738,0.102793947361009,0.527473412698379,0.238795431461602
RPS29,0.14953439516799105,0.527473412698379,-0.550741823748016,0.849810614083998,0.527473412698379,0.112413704617448
HELZ,1.3472063667050074,0.527473412698379,2.50737143469012,0.187041298719895,0.527473412698379,0.279106412908933
TRIM14,0.7704556852198704,0.980014915734609,1.53309163996598,0.0078197304737608,0.528437759973033,0.980014915734609
JOSD1,0.33668233926875046,0.823323149255648,0.540690577119106,0.132674101418395,0.529112543691021,0.823323149255648
CBX1,-0.21914093207875882,0.530781443617992,-0.529761982601135,0.0914801184436174,0.530781443617992,0.156131679312357
IFI44,-0.272525437166232,0.530824414217528,-0.839053485211108,0.294002610878644,0.530824414217528,0.423177872520795
UBE2L3,0.8884966272725873,0.969347733350333,1.78291259697183,-0.0059193424266554,0.530824414217528,0.969347733350333
RPS15,0.628482451998915,0.530824414217528,0.476210134668145,0.780754769329685,0.530824414217528,0.330518530931757
FERMT2,0.2559832540699535,0.530824414217528,0.381057697969586,0.130908810170321,0.530824414217528,0.345652450228548
EPHA4,0.7584588664339915,0.822136144276097,1.63631121465385,-0.119393481785867,0.530824414217528,0.822136144276097
KIF1A,-1.4331081716806766,0.822136144276097,-2.83099234464925,-0.0352239987121032,0.530824414217528,0.822136144276097
SPTBN1,-0.304270628284836,0.822136144276097,-0.624598371591047,0.0160571150213751,0.530824414217528,0.822136144276097
TRIM22,0.44055234962309786,0.822136144276097,0.791616704914953,0.0894879943312428,0.530824414217528,0.822136144276097
CLEC2B,1.7777860754247699,0.530824414217528,1.74811867291613,1.80745347793341,0.530824414217528,0.292354682654458
GLRB,-0.946092352520553,0.62705585472996,-1.72587075141927,-0.166313953621836,0.530824414217528,0.62705585472996
ARCN1,-0.2071118574500847,0.76043106721438,-0.4433225539786,0.0290988390784306,0.530824414217528,0.76043106721438
PIM1,-1.0919701519825393,0.822136144276097,-2.1358562615007,-0.0480840424643785,0.530824414217528,0.822136144276097
UGT8,-0.36967966546569053,0.531421363956464,-1.16253333625591,0.423174005324529,0.531421363956464,0.503007424473459
RPS25,0.4728897810236775,0.531719451452974,0.68429694813325,0.261482613914105,0.531719451452974,0.145149669448957
CALD1,0.9921604225988371,0.531719451452974,1.78533091254587,0.198989932651804,0.531719451452974,0.164160149842175
LIMK1,-1.2089057897415763,0.998504887713847,-2.41833031551601,0.0005187360328575,0.531719451452974,0.998504887713847
PTPN2,-0.7049525487188861,0.934524529773803,-1.4455267192929,0.0356216218551278,0.53245404821207,0.934524529773803
HPRT1,-0.5616857543294919,0.822136144276097,-1.08134236973521,-0.0420291389237737,0.532670995388953,0.822136144276097
NFX1,0.862551169759979,0.793584149139768,1.58221149807917,0.142890841440788,0.533331574699294,0.793584149139768
UBE2D2,0.8952139020074226,0.665316240473948,1.73584164444142,0.0545861595734252,0.533532624322219,0.665316240473948
SUOX,1.0032953028604,0.534150838993233,1.55434429075622,0.45224631496458,0.534150838993233,0.30662528082915
MYO5A,-0.8616554093455431,0.534801127214867,-1.67036772110349,-0.0529430975875962,0.534801127214867,0.361245237225366
TAF4B,0.5367133489317926,0.535238742962834,1.82490902496966,-0.751482327106075,0.535238742962834,0.4895033501879
LBR,0.7690823970205565,0.535434704805066,1.30818327311125,0.229981520929863,0.535434704805066,0.530067178455008
MRPL19,-0.7248025744260834,0.537202387005909,-1.52161432934598,0.0720091804938132,0.537202387005909,0.474157363851621
KAT5,1.5310552723389315,0.771594040874636,2.88213900121852,0.179971543459343,0.537202387005909,0.771594040874636
GNA13,0.8999906180741635,0.538110105784586,1.65051304851253,0.149468187635797,0.538110105784586,0.220437904997799
NDUFA9,1.353354300170107,0.994911621869132,2.70523885882481,0.0014697415154039,0.538110105784586,0.994911621869132
CALCA,-0.7724412181378525,0.538110105784586,-1.8260117377604,0.281129301484695,0.538110105784586,0.51785747191993
ITGB1,0.5939855881730305,0.720154137085358,1.22015147220766,-0.0321802958615991,0.538240962370508,0.720154137085358
P2RX5,-0.6900652113019096,0.539676790650895,-1.01324777637225,-0.366882646231569,0.539676790650895,0.371365940381826
C7,1.34730407456402,0.539676790650895,1.86859823739078,0.82600991173726,0.539676790650895,0.476571557945889
EPHA5,-0.7266859312153024,0.964612148114593,-1.44526947326937,-0.0081023891612348,0.539676790650895,0.964612148114593
RBP1,0.42066105760199346,0.540233679911293,-0.426949755703623,1.26827187090761,0.540233679911293,0.050208228206155
MFAP3,-0.9874870297766254,0.967873869288382,-1.96403071454114,-0.0109433450121108,0.540732049635059,0.967873869288382
FHL1,-0.11160150186094801,0.540732049635059,-0.432784043147354,0.209581039425458,0.540732049635059,0.302794302254974
ARF6,0.948306921108021,0.540732049635059,1.78665507568131,0.109958766534732,0.540732049635059,0.432778413186212
SAFB,-0.2478664994010102,0.846506869232921,-0.513863679048031,0.0181306802460106,0.540732049635059,0.846506869232921
CREB1,0.9114239496128476,0.809992425543539,1.67897611003613,0.143871789189565,0.540732049635059,0.809992425543539
