#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NUP188	HSPA5	9606.ENSP00000361658	9606.ENSP00000324173	0	0	0	0	0.042	0	0.4	0	0.4
NUP188	SRSF7	9606.ENSP00000361658	9606.ENSP00000325905	0	0	0	0	0.067	0	0.4	0	0.416
NUP188	NUP43	9606.ENSP00000361658	9606.ENSP00000342262	0	0	0	0	0.107	0.8	0.8	0.749	0.989
NUP188	NUP50	9606.ENSP00000361658	9606.ENSP00000345895	0	0	0	0	0.125	0	0.8	0.7	0.943
NUP188	SRSF3	9606.ENSP00000361658	9606.ENSP00000362820	0	0	0	0	0.058	0	0.4	0	0.41
NUP188	ALYREF	9606.ENSP00000361658	9606.ENSP00000421592	0	0	0	0	0.06	0	0.5	0	0.509
NUP188	SEC13	9606.ENSP00000361658	9606.ENSP00000373312	0	0	0	0	0.062	0.8	0.5	0.66	0.963
NUP188	NUP153	9606.ENSP00000361658	9606.ENSP00000444029	0	0	0	0	0.19	0.348	0.8	0.74	0.968
NUP188	NUP62	9606.ENSP00000361658	9606.ENSP00000471191	0	0	0	0	0.074	0.825	0.5	0.82	0.983
NUP188	NUP37	9606.ENSP00000361658	9606.ENSP00000448054	0	0	0	0	0.063	0.8	0.5	0.844	0.983
NUP188	NUP160	9606.ENSP00000361658	9606.ENSP00000367721	0	0	0	0	0.385	0.8	0.5	0.865	0.99
NUP205	NUP107	9606.ENSP00000285968	9606.ENSP00000229179	0	0	0	0	0.48	0.989	0.5	0.954	0.999
NUP205	NUP155	9606.ENSP00000285968	9606.ENSP00000231498	0	0	0	0	0.754	0.995	0.8	0.996	0.999
NUP205	NUP210	9606.ENSP00000285968	9606.ENSP00000254508	0	0	0	0	0.191	0.8	0.8	0.766	0.991
NUP205	HSPA5	9606.ENSP00000285968	9606.ENSP00000324173	0	0	0	0	0.045	0.071	0.4	0	0.421
NUP205	SRSF7	9606.ENSP00000285968	9606.ENSP00000325905	0	0	0	0	0.075	0	0.4	0	0.421
NUP205	SRSF3	9606.ENSP00000285968	9606.ENSP00000362820	0	0	0	0	0.086	0	0.4	0.079	0.451
NUP205	ALYREF	9606.ENSP00000285968	9606.ENSP00000421592	0	0	0	0	0.067	0	0.5	0.168	0.578
NUP205	NUP50	9606.ENSP00000285968	9606.ENSP00000345895	0	0	0	0	0.112	0	0.8	0.776	0.956
NUP205	NUP37	9606.ENSP00000285968	9606.ENSP00000448054	0	0	0	0	0.194	0.826	0.5	0.797	0.983
NUP205	NUP43	9606.ENSP00000285968	9606.ENSP00000342262	0	0	0	0	0.183	0.886	0.8	0.808	0.995
NUP205	NUP153	9606.ENSP00000285968	9606.ENSP00000444029	0	0	0	0	0.48	0.773	0.8	0.837	0.995
NUP205	SEC13	9606.ENSP00000285968	9606.ENSP00000373312	0	0	0	0	0.067	0.954	0.5	0.816	0.995
NUP205	NUP160	9606.ENSP00000285968	9606.ENSP00000367721	0	0	0	0	0.813	0.886	0.5	0.811	0.997
