#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHSG	SERPINA3	9606.ENSP00000273784	9606.ENSP00000450540	0	0	0	0	0.160	0.041	0.400	0.724	0.848
AHSG	HP	9606.ENSP00000273784	9606.ENSP00000348170	0	0	0	0	0.220	0.107	0	0.845	0.882
AHSG	ORM2	9606.ENSP00000273784	9606.ENSP00000394936	0	0	0	0	0.416	0	0	0.849	0.908
B4E1Z4_HUMAN	C3	9606.ENSP00000410815	9606.ENSP00000245907	0	0	0	0	0.103	0.908	0	0.114	0.921
C11orf49	TTLL1	9606.ENSP00000367878	9606.ENSP00000266254	0	0	0	0	0.083	0.830	0	0.245	0.872
C11orf49	NICN1	9606.ENSP00000367878	9606.ENSP00000273598	0	0	0	0	0.050	0.817	0	0	0.818
C11orf49	TPGS1	9606.ENSP00000367878	9606.ENSP00000352265	0	0	0	0	0	0.610	0	0.393	0.753
C11orf49	TPGS2	9606.ENSP00000367878	9606.ENSP00000464780	0	0	0	0	0.085	0.847	0	0	0.854
C1S	C3	9606.ENSP00000385035	9606.ENSP00000245907	0	0	0	0	0.434	0.288	0	0.791	0.908
C1S	CD163	9606.ENSP00000385035	9606.ENSP00000352071	0	0	0	0	0.137	0.113	0	0.644	0.703
C1S	MBL2	9606.ENSP00000385035	9606.ENSP00000363079	0	0	0	0	0.107	0.046	0.400	0.822	0.897
C3	MPO	9606.ENSP00000245907	9606.ENSP00000225275	0	0	0	0	0	0.236	0	0.732	0.786
C3	HRG	9606.ENSP00000245907	9606.ENSP00000232003	0	0	0	0	0.116	0.232	0	0.794	0.848
C3	TTR	9606.ENSP00000245907	9606.ENSP00000237014	0	0	0	0	0.090	0	0	0.771	0.782
C3	ITIH4	9606.ENSP00000245907	9606.ENSP00000266041	0	0	0	0	0.101	0.233	0	0.660	0.745
C3	CP	9606.ENSP00000245907	9606.ENSP00000264613	0	0	0	0	0.262	0	0	0.676	0.751
C3	ORM2	9606.ENSP00000245907	9606.ENSP00000394936	0	0	0	0	0.099	0	0	0.758	0.772
C3	ORM1	9606.ENSP00000245907	9606.ENSP00000259396	0	0	0	0	0.107	0	0	0.759	0.775
C3	HPX	9606.ENSP00000245907	9606.ENSP00000265983	0	0	0	0	0.094	0	0	0.832	0.841
