pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
AZD-8330,BRD-K37687095,HELA,-0.2353,-0.9454,0.0713,0.419123,MEK inhibitor,
AGN-192403,BRD-A79038507,HA1E,-0.2353,-0.9452,0.0713,0.468649,Imidazoline receptor ligand,NISCH
BRD-K31380618,BRD-K31380618,HEPG2,-0.2353,-0.9453,0.0713,0.450233,,
BRD-K89953543,BRD-K89953543,PC3,-0.2352,-0.9449,0.0709,0.318996,,
BRD-K13299110,BRD-K13299110,U2OS,-0.2352,-0.9449,0.0709,0.43329,,
BRD-K57638192,BRD-K57638192,MCF7,-0.2352,-0.9448,0.0708,0.228447,,
cefixime,BRD-K71059170,HCC515,-0.2352,-0.9449,0.0708,0.360583,Bacterial cell wall synthesis inhibitor,
BRD-K87724051,BRD-K87724051,HT29,-0.2352,-0.9448,0.0707,0.439929,,
solanine,BRD-K70881766,A549,-0.2352,-0.9447,0.0705,0.248101,Acetylcholinesterase inhibitor,
ABT-751,BRD-K91623615,HT29,-0.2352,-0.9448,0.0708,0.577253,Tubulin inhibitor,TUBB
CS-2092524,BRD-K63488275,MCF7,-0.2352,-0.945,0.0709,0.265385,,
BRD-K70415218,BRD-K70415218,A375,-0.2352,-0.9451,0.0711,0.218542,,
BRD-K49675259,BRD-K49675259,HT29,-0.2352,-0.9451,0.0711,0.236539,,
BRD-K98156994,BRD-K98156994,U2OS,-0.2352,-0.945,0.0709,0.252897,,
4-AMINOPHENOL,BRD-K54563688,HPTEC,-0.2351,-0.9444,0.0702,0.426212,,
BRD-K03371390,BRD-K03371390,VCAP,-0.2351,-0.9444,0.0702,0.247155,,
YO-2,BRD-A04026261,A375,-0.2351,-0.9446,0.0703,0.417412,,
BRD-K28472299,BRD-K28472299,A549,-0.2351,-0.9447,0.0703,0.206737,,
TWS-119,BRD-K94176593,HS578T,-0.2351,-0.9444,0.0702,0.372233,GSK inhibitor,GSK3B|JUN|MYC
KU-C103654,BRD-A89047717,VCAP,-0.2351,-0.9445,0.0702,0.214695,,
barasertib-HQPA,BRD-K63923597,SKMEL5,-0.2351,-0.9445,0.0702,0.214505,Aurora kinase inhibitor,AURKB|AURKC|AURKA
BRD-K23217072,BRD-K23217072,A549,-0.2351,-0.9447,0.0705,0.221262,,
BRD-K59657378,BRD-K59657378,U2OS,-0.235,-0.944,0.0701,0.285649,,
BRD-K58744164,BRD-K58744164,PC3,-0.235,-0.944,0.0701,0.453063,,
VU-0402604,BRD-K01926222,HEPG2,-0.235,-0.9442,0.0702,0.254971,,
BRD-A04845303,BRD-A04845303,OCILY19,-0.235,-0.944,0.0701,0.233406,,
resiquimod,BRD-K76210423,HT29,-0.235,-0.944,0.0701,0.300219,TLR agonist,TLR7|TLR8
