pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
HG-5-113-01,BRD-U82589721,A375,0.2467,1.0026,0.0844,0.547256,Protein kinase inhibitor,
clonazepam,BRD-K38183498,YAPC,0.2467,1.0027,0.0844,0.472093,GABA receptor agonist,GABRA1|GABRA2|GABRA3|GABRA5|GABRA4|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO
AZD-8330,BRD-K37687095,SKBR3,0.2467,1.0026,0.0843,0.325077,MEK inhibitor,
CNQX,BRD-K19438463,HELA,0.2468,1.0028,0.0846,0.262867,Glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4
tyrphostin-A9,BRD-K40255344,A549,0.2468,1.0029,0.0846,0.340936,Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor,
RG-108,BRD-K89391146,VCAP,0.2469,1.0034,0.0855,0.223195,DNA inhibitor,DNMT1|DNMT3B
AH-11110,BRD-A64808605,MCF7,0.2469,1.0035,0.0855,0.241538,Adrenergic receptor antagonist,ADRA1B
BRD-K25079130,BRD-K25079130,HEPG2,0.2469,1.0034,0.0855,0.626698,Nucleophosmin inhibitor,
pseudopelletierine,BRD-A19053259,HA1E,0.247,1.0039,0.0861,0.202944,Anthelmintic,
RX-821002,BRD-A65597028,PC3,0.247,1.0036,0.0857,0.205049,Adrenergic receptor antagonist,ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D
NVP-TAE684,BRD-K50140147,PC3,0.247,1.0038,0.0858,0.28052,ALK inhibitor,ALK|INSR
BMS-345541,BRD-K13566078,YAPC,0.247,1.0037,0.0858,0.214505,IKK inhibitor,IKBKB|CHUK
KX-2391,BRD-K29968218,HUVEC,0.2471,1.0042,0.0864,0.685309,Src inhibitor|Tubulin inhibitor,SRC
WHI-P154,BRD-K07487750,PC3,0.2471,1.0042,0.0864,0.44545,JAK inhibitor,EGFR|JAK3|ALK|JAK1|JAK2
thiotepa,BRD-K09631521,HA1E,0.2471,1.0041,0.0864,0.250969,Cytochrome P450 inhibitor,CYP2B6|CYP3A4
TAK-733,BRD-K26667523,HUVEC,0.2471,1.0041,0.0864,0.737826,MEK inhibitor,MAP2K1
hydrocortisone-hemisuccinate,BRD-A07000685,HA1E,0.2471,1.0041,0.0863,0.261133,Glucocorticoid receptor agonist,NR3C1
tivozanib,BRD-K53414658,AGS,0.2471,1.0041,0.0863,0.261895,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB
pifithrin-mu,BRD-K96799727,HCC515,0.2472,1.0044,0.0866,0.348219,p53 inhibitor,HSPA1A|TP53
KIN001-244,BRD-K09186807,SKL,0.2472,1.0045,0.0866,0.305627,PDK1 Inhibitor,PDPK1
GW-5074,BRD-K39520573,PC3,0.2472,1.0046,0.0866,0.233888,RAF inhibitor|LRRK inhibitor,RAF1|LRRK1|LRRK2|NTRK1
fluphenazine,BRD-K55127134,MCF7,0.2472,1.0045,0.0866,0.327443,Dopamine receptor antagonist,DRD2|DRD1|CHRNA7|CALM1|DRD5|HRH1|HTR2A|HTR6|HTR7
IOX-1,BRD-K70751730,PC3,0.2472,1.0044,0.0866,0.22656,Histone lysine demethylase inhibitor,KDM4A|EGLN1|KDM3A|KDM4C|KDM6B
RG-4733,BRD-K22024824,HCC515,0.2472,1.0044,0.0866,0.30376,Gamma secretase inhibitor,NOTCH1|PSEN1
vorinostat,BRD-K81418486,HELA,0.2473,1.0051,0.0868,0.757796,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9
