Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
STXBP3,0.32455394,0.067755449,-0.315,1,-0.63955394,ambiguous
OXR1,0.350071378,0.067791311,-0.0506,1,-0.40067137799999997,ambiguous
LAMTOR3,0.271310973,0.067902471,0.226,1,-0.045310973000000004,ambiguous
SNCA,0.293704827,0.067902471,0.00353,1,-0.290174827,ambiguous
OMG,0.317932323,0.067902471,-0.316,1,-0.633932323,ambiguous
EIF4A2,0.369741717,0.067902471,-0.138,1,-0.507741717,ambiguous
KBTBD11,0.164176846,0.068143468,-0.293,1,-0.45717684599999997,ambiguous
CYLD,0.168906995,0.068746939,0.72,1,0.551093005,ambiguous
CEP170,0.17100597,0.069350695,-0.361,1,-0.5320059699999999,ambiguous
CAP1,0.174125138,0.069462845,0.0586,1,-0.11552513800000001,ambiguous
ANKIB1,0.261040365,0.069563936,0.291,1,0.029959634999999984,ambiguous
PPP1R12A,0.191317959,0.070308276,0.306,1,0.11468204099999998,ambiguous
PURB,0.215579853,0.070959845,0.634,1,0.418420147,ambiguous
EIF2S1,0.235271579,0.071097035,0.129,1,-0.106271579,ambiguous
GLO1,0.238053742,0.071202573,-0.217,1,-0.45505374200000004,ambiguous
HSPA4L,0.337089551,0.071296019,-0.534,1,-0.8710895510000001,ambiguous
PABPC1,0.217442003,0.071545477,-0.811,1,-1.028442003,ambiguous
LRSAM1,-0.200523727,0.07155276,-0.745,1,-0.544476273,ambiguous
TXNL1,0.17837509,0.071594688,-1.58,1,-1.7583750900000001,ambiguous
RPL7,0.281411679,0.071979749,0.0389,1,-0.24251167900000004,ambiguous
TPRG1L,0.211748524,0.072040308,-0.652,1,-0.863748524,ambiguous
LANCL1,0.290317127,0.072095182,0.239,1,-0.05131712700000002,ambiguous
VPS16,-0.178723068,0.072187158,-0.126,1,0.05272306800000001,ambiguous
ATAD3A,-0.232203245,0.073619961,-0.519,1,-0.286796755,ambiguous
CAND1,0.240952353,0.074065979,0.491,1,0.250047647,ambiguous
CDS2,0.149853665,0.074265898,1.19,1,1.040146335,ambiguous
ADH5,0.209668292,0.07427436,-0.372,1,-0.581668292,ambiguous
KIF21A,0.201133769,0.074502093,0.0671,1,-0.13403376899999997,ambiguous
RAPGEF2,0.186454705,0.074595321,0.184,1,-0.0024547050000000015,ambiguous
MUT,0.188092518,0.074814089,-0.696,1,-0.8840925179999999,ambiguous
PPP6C,0.193361288,0.074893535,-0.352,1,-0.5453612879999999,ambiguous
PPP2R5C,0.150358433,0.075150264,-0.39,1,-0.540358433,ambiguous
DOCK4,0.110920365,0.075188354,0.0409,1,-0.070020365,ambiguous
VPS35,0.259944845,0.075654238,-0.666,1,-0.9259448450000001,ambiguous
FAM98B,0.236683944,0.075960491,-0.537,1,-0.7736839440000001,ambiguous
RB1CC1,0.201760504,0.076071099,0.961,1,0.759239496,ambiguous
ABCE1,0.207694884,0.076859341,-1.01,1,-1.217694884,ambiguous
CANX,0.179603072,0.077074583,-0.242,1,-0.421603072,ambiguous
CAND2,-0.241975642,0.077074583,-0.255,1,-0.013024358000000014,ambiguous
RDH11,0.147709975,0.07833286,-0.167,1,-0.314709975,ambiguous
SEC14L2,-0.201517143,0.07862865,-0.619,1,-0.417482857,ambiguous
PDK3,0.264865001,0.078796307,-0.228,1,-0.49286500099999997,ambiguous
LYPLAL1,0.203695414,0.078821526,-0.576,1,-0.779695414,ambiguous
RAC1,0.154512913,0.079000316,-0.129,1,-0.28351291300000003,ambiguous
PDE1C,0.466265591,0.07907768,-1.27,1,-1.736265591,ambiguous
OLA1,0.26490053,0.079301074,-0.783,1,-1.0479005300000002,ambiguous
ELMO1,0.22390907,0.079459665,-1.2,1,-1.4239090699999999,ambiguous
UBA5,0.204358858,0.080049044,-0.318,1,-0.522358858,ambiguous
SOGA3,0.204773334,0.080049049,-0.115,1,-0.319773334,ambiguous
RPS8,0.247683229,0.080511092,-0.613,1,-0.8606832289999999,ambiguous
HP1BP3,0.102535051,0.080776752,0.697,1,0.5944649489999999,ambiguous
COG5,0.128358994,0.080822895,-0.368,1,-0.496358994,ambiguous
SLC12A2,0.360935519,0.080987327,0.091,1,-0.269935519,ambiguous
GNAI1,0.324612678,0.081102959,-0.359,1,-0.683612678,ambiguous
HERC4,0.158676545,0.081194926,-0.53,1,-0.6886765450000001,ambiguous
KPNA4,0.153473152,0.081332488,-0.0288,1,-0.182273152,ambiguous
DOCK9,0.20521521,0.081429926,-1.56,1,-1.76521521,ambiguous
