Gene_Symbol,protein_logFC,protein_adjPval
PPP1R7,-0.423,0.973
PSMD11,-0.409,0.973
PTPRA,0.275,0.973
RAB3B,-0.422,0.973
RARS,-0.322,0.973
SPTB,0.323,0.973
TLN2,0.184,0.973
ACOT9,-0.336,0.974
ACSL1,-0.257,0.974
AHNAK2,-0.397,0.974
ARFGEF2,-0.192,0.974
ARHGAP5,-0.48,0.974
BASP1,-0.512,0.974
CIAO1,0.418,0.974
DCTN4,0.397,0.974
DCXR,0.322,0.974
DEPTOR,0.809,0.974
DSP,1.02,0.974
DYNC1LI1,-0.154,0.974
EEF1D,-0.465,0.974
HEATR5B,0.275,0.974
HNRNPR,0.553,0.974
KIAA1598,-0.452,0.974
KIFAP3,-0.357,0.974
KPNA4,-0.274,0.974
MROH1,-0.294,0.974
NIT1,-0.527,0.974
PEX5L,-0.444,0.974
PLD2,0.312,0.974
PLEKHB1,-0.41,0.974
PON2,0.567,0.974
PRKCB,-0.239,0.974
PSMC6,-0.113,0.974
RBBP7,-0.543,0.974
RBM14,0.256,0.974
RDH13,-0.313,0.974
RPN1,0.302,0.974
RPS6KA2,-0.149,0.974
RTKN,-0.45,0.974
SAMM50,-0.304,0.974
SCO1,0.349,0.974
SDCBP,0.286,0.974
SDHB,-0.402,0.974
TRIO,-0.437,0.974
TTC7B,0.204,0.974
UBA6,-0.221,0.974
USP22,-0.238,0.974
WDR11,-0.426,0.974
ADH1B,0.354,0.975
AK4,0.197,0.975
BCR,0.142,0.975
CHD4,0.38,0.975
COPS5,-0.32,0.975
COX4I1,0.233,0.975
DPYSL2,-0.184,0.975
DUSP3,-0.295,0.975
EGFR,-0.402,0.975
EIF3E,-0.314,0.975
FAF2,0.17,0.975
G3BP1,0.47,0.975
GLTP,0.584,0.975
HSPA1B,0.161,0.975
LARS,0.219,0.975
LDHA,0.288,0.975
OGDH,-0.186,0.975
OSBPL3,-0.239,0.975
PGAM1,-0.233,0.975
PRDX3,0.549,0.975
RAB10,0.21,0.975
RAB31,0.393,0.975
ROCK2,0.363,0.975
RPL12,0.442,0.975
SCFD1,0.249,0.975
SLC25A3,-0.352,0.975
SPARCL1,0.391,0.975
SRCIN1,0.175,0.975
TAX1BP3,0.332,0.975
TCP1,-0.142,0.975
TOM1,0.456,0.975
TUBB2A,-0.209,0.975
VDAC1,-0.28,0.975
VPS16,0.143,0.975
ACTR3,0.192,0.976
APOL2,0.204,0.976
ARPC2,0.131,0.976
ATP6V1C1,0.221,0.976
CALR,0.363,0.976
CCT5,-0.121,0.976
CETN2,-0.298,0.976
CISD1,-0.296,0.976
COPS3,-0.289,0.976
CORO1A,0.358,0.976
COX5B,-0.179,0.976
DCLK2,0.18,0.976
EEF1G,-0.256,0.976
EIF4A1,0.143,0.976
EIF5,0.262,0.976
FGD4,0.235,0.976
FXR1,-0.419,0.976
GIT2,0.282,0.976
GLYR1,-0.246,0.976
GMFB,-0.562,0.976
HADHB,0.13,0.976
IDH1,0.334,0.976
INF2,-0.158,0.976
INSR,-0.338,0.976
KIAA1468,-0.172,0.976
KPNA1,0.262,0.976
LANCL1,-0.266,0.976
LDHD,0.358,0.976
MYO1C,0.34,0.976
NCKAP1,0.222,0.976
NSFL1C,-0.277,0.976
OTUD7B,-0.506,0.976
PEX5,-0.411,0.976
PGRMC1,-0.287,0.976
PHGDH,-0.185,0.976
PPME1,-0.395,0.976
PRPS1,-0.252,0.976
PSMD14,-0.152,0.976
PSMD2,-0.104,0.976
RAB5C,-0.533,0.976
RHOA,0.314,0.976
SPHK2,0.214,0.976
VDAC3,-0.28,0.976
YWHAB,-0.182,0.976
YWHAZ,-0.208,0.976
ARHGAP17,-0.282,0.977
ATIC,-0.136,0.977
ATP5F1,0.194,0.977
CCDC132,-0.233,0.977
CDK5RAP3,-0.518,0.977
CEP170,-0.367,0.977
COASY,0.12,0.977
COX6B1,-0.51,0.977
CPE,-0.379,0.977
DCN,0.55,0.977
DPYSL4,0.223,0.977
EEF1A2,-0.156,0.977
GBE1,-0.283,0.977
GSTM5,-0.458,0.977
HMOX2,-0.116,0.977
IPO7,-0.213,0.977
LONP1,0.118,0.977
MT-CO2,-0.519,0.977
MVP,0.357,0.977
NAGK,-0.349,0.977
PA2G4,0.301,0.977
PDIA3,-0.234,0.977
PRDX5,-0.347,0.977
PRKAR2A,0.254,0.977
PSMD10,-0.155,0.977
PTPN1,-0.715,0.977
RAB14,0.306,0.977
RAB3GAP2,-0.158,0.977
RANGAP1,-0.274,0.977
RDH11,-0.114,0.977
RMDN3,0.227,0.977
RPS24,0.169,0.977
RPS8,0.215,0.977
RRAGA,-0.27,0.977
RRM2B,-0.348,0.977
SNAP25,-0.15,0.977
TOLLIP,-0.264,0.977
TSFM,0.217,0.977
TUBB,-0.184,0.977
TXNRD1,0.324,0.977
UBA5,-0.142,0.977
USO1,0.214,0.977
VPS33A,-0.206,0.977
VPS51,0.162,0.977
WNK1,-0.463,0.977
ZW10,-0.151,0.977
ABHD11,-0.232,0.978
ABHD14B,0.252,0.978
ADK,0.161,0.978
AGAP3,0.326,0.978
AKR1A1,-0.265,0.978
AKT3,-0.238,0.978
AP3D1,-0.167,0.978
ARFGEF3,-0.15,0.978
ARHGEF2,-0.3,0.978
ARMC10,0.262,0.978
ATP1A1,0.235,0.978
CACNA2D1,-0.326,0.978
CASK,0.255,0.978
CAV1,0.386,0.978
CDC42EP1,-0.507,0.978
CS,-0.254,0.978
CYC1,0.242,0.978
DCLK1,0.104,0.978
ECHS1,0.169,0.978
EIF4G1,0.203,0.978
EIF4H,0.266,0.978
FER,-0.241,0.978
FLOT2,-0.217,0.978
GALK1,0.12,0.978
GAPVD1,0.105,0.978
GDI1,0.16,0.978
GSTT1,-0.414,0.978
H3F3A,0.433,0.978
HDAC11,0.279,0.978
HIST1H2AC,0.382,0.978
HNRNPM,0.294,0.978
HSPB8,-0.355,0.978
JAK1,0.24,0.978
MAGI2,-0.379,0.978
MRI1,0.347,0.978
NCDN,-0.257,0.978
NDRG1,-0.338,0.978
NDUFAF4,-0.132,0.978
NDUFS2,-0.151,0.978
NFASC,0.256,0.978
NIPSNAP1,-0.257,0.978
NME1,-0.325,0.978
NTM,-0.511,0.978
OCRL,-0.247,0.978
OPA1,-0.26,0.978
PREPL,-0.407,0.978
PRKDC,-0.225,0.978
PSMC4,-0.136,0.978
QARS,-0.257,0.978
RBP1,0.322,0.978
RPL28,0.139,0.978
RPS5,0.502,0.978
SND1,0.35,0.978
SPTBN1,-0.0947,0.978
STIM1,-0.275,0.978
SYK,0.245,0.978
TNPO1,-0.395,0.978
TUBB4B,-0.124,0.978
TWF1,-0.337,0.978
UFC1,-0.257,0.978
UGP2,-0.361,0.978
VPS25,0.211,0.978
ADCY8,0.655,0.979
AGFG1,-0.332,0.979
AIP,-0.124,0.979
ARF6,-0.114,0.979
ATP2A2,-0.139,0.979
ATP2B4,-0.243,0.979
CAND2,0.309,0.979
CAPZA2,0.16,0.979
CCBL1,-0.308,0.979
CHMP6,-0.229,0.979
DDX39B,0.147,0.979
DLAT,-0.169,0.979
DNAJC11,-0.195,0.979
DOCK1,0.221,0.979
ENPP6,-0.271,0.979
EXOC6B,-0.261,0.979
FAM171A1,-0.248,0.979
GABRB1,-0.282,0.979
GNAI2,0.0861,0.979
GPSM1,-0.216,0.979
GSPT1,-0.211,0.979
HADH,-0.334,0.979
HK1,-0.116,0.979
HNRNPA3,0.157,0.979
HNRNPH1,0.189,0.979
ISOC2,-0.369,0.979
ITPKB,0.267,0.979
KIAA0513,-0.216,0.979
KPNB1,0.132,0.979
LTA4H,0.305,0.979
MCU,-0.287,0.979
MPI,-0.177,0.979
MPP5,-0.206,0.979
MTMR2,-0.0991,0.979
NDUFS3,0.202,0.979
PAFAH1B2,-0.245,0.979
PIK3R1,-0.27,0.979
PIP4K2A,0.113,0.979
PIP4K2C,0.111,0.979
PPOX,0.168,0.979
RAB18,-0.333,0.979
RAP1A,-0.119,0.979
RASGRF2,-0.297,0.979
RPS18,0.22,0.979
SACM1L,0.0942,0.979
STAT3,-0.0937,0.979
SYT1,-0.256,0.979
TBC1D17,-0.218,0.979
TBCD,-0.11,0.979
TNS3,0.332,0.979
TPI1,-0.152,0.979
TXNRD2,-0.112,0.979
UBE2N,-0.259,0.979
VAPB,-0.225,0.979
VPS18,-0.147,0.979
VPS45,-0.215,0.979
VSNL1,-0.158,0.979
ANK2,-0.114,0.98
APBA1,0.14,0.98
ARHGAP26,-0.138,0.98
ASMTL,-0.193,0.98
ATP1B1,0.221,0.98
ATP5H,0.293,0.98
ATP6V1B2,-0.123,0.98
BLVRB,-0.217,0.98
CDH2,0.204,0.98
CLPB,-0.152,0.98
CNP,-0.101,0.98
CNTNAP1,0.19,0.98
COPS4,-0.131,0.98
CRAT,-0.279,0.98
CRIP2,0.183,0.98
CSRP1,0.204,0.98
CYFIP1,-0.286,0.98
DDX17,-0.255,0.98
DTNA,0.346,0.98
EEF2,0.112,0.98
EIF3M,-0.151,0.98
ELMO2,0.355,0.98
EPB41L2,-0.0726,0.98
EPB41L5,0.252,0.98
G6PD,-0.22,0.98
GET4,0.178,0.98
GNB1,0.114,0.98
GSK3B,-0.282,0.98
HADHA,-0.091,0.98
HDHD2,0.256,0.98
HERC4,-0.19,0.98
HIBCH,-0.235,0.98
HIP1,-0.377,0.98
HIP1R,-0.109,0.98
HNRNPDL,0.233,0.98
MOG,0.239,0.98
MPZ,0.635,0.98
MTM1,0.308,0.98
NDUFA8,0.151,0.98
NDUFV2,0.288,0.98
NPEPPS,-0.155,0.98
ODR4,0.278,0.98
OPTN,-0.094,0.98
PPIA,-0.129,0.98
PPIL3,0.332,0.98
PRX,0.774,0.98
PSMC3,-0.133,0.98
RABGAP1,0.107,0.98
RAD50,0.211,0.98
RPS15A,0.183,0.98
SBF1,-0.13,0.98
SEC14L2,0.146,0.98
SEPT8,-0.139,0.98
SLC12A2,0.217,0.98
SMS,-0.35,0.98
SNX30,0.249,0.98
TBC1D9B,-0.141,0.98
TUBB8,0.135,0.98
TWF2,-0.216,0.98
UBXN1,-0.181,0.98
UCHL1,-0.163,0.98
UQCRQ,0.233,0.98
VPS11,-0.232,0.98
XRCC5,0.196,0.98
A2M,0.305,0.981
ABAT,0.207,0.981
ACADS,0.241,0.981
ACTN2,-0.328,0.981
AKAP12,-0.0899,0.981
ALDH3A2,0.145,0.981
ARPC4,0.136,0.981
ATP1B2,0.202,0.981
ATP5O,-0.0718,0.981
BSN,-0.363,0.981
CARM1,-0.22,0.981
CHMP4B,-0.386,0.981
CKAP5,-0.088,0.981
COPB2,-0.255,0.981
COPG2,-0.229,0.981
CPNE6,0.0884,0.981
CSDE1,-0.0633,0.981
CUL5,-0.182,0.981
CYFIP2,-0.215,0.981
DMD,-0.24,0.981
DNAJA1,-0.116,0.981
DPH6,0.184,0.981
EIF4G2,0.134,0.981
EPN1,-0.169,0.981
FABP5,-0.223,0.981
FAHD2A,0.354,0.981
FLOT1,0.0941,0.981
GAN,-0.29,0.981
GNL1,-0.0984,0.981
H2AFX,0.286,0.981
HSPA5,0.077,0.981
IKBKB,0.368,0.981
INPPL1,0.312,0.981
KANK1,0.143,0.981
KIF5B,-0.117,0.981
KLC1,-0.139,0.981
LYPLA2,-0.16,0.981
MACF1,-0.0749,0.981
MAGED2,0.368,0.981
MAP1S,0.158,0.981
MDH1,-0.157,0.981
MIF,0.26,0.981
NARS,-0.261,0.981
NDUFA6,0.112,0.981
NF1,-0.102,0.981
OAT,-0.112,0.981
OXSR1,-0.196,0.981
PDHX,-0.111,0.981
PHPT1,-0.138,0.981
PLXNB2,0.239,0.981
PREP,-0.322,0.981
PRKCA,0.0706,0.981
PROSC,-0.114,0.981
PSMD5,0.101,0.981
PTPN23,0.136,0.981
RAB22A,0.246,0.981
RAC1,0.247,0.981
RALGAPB,-0.0886,0.981
RANBP2,-0.164,0.981
RPL21,-0.206,0.981
RPL23A,0.216,0.981
RPL27,-0.294,0.981
RUVBL2,-0.132,0.981
SEC13,-0.312,0.981
SEPT2,-0.0943,0.981
SGK3,-0.0901,0.981
SIRT2,0.173,0.981
SLC25A10,-0.2,0.981
SNX6,0.097,0.981
SNX9,0.0723,0.981
SOD1,0.411,0.981
SRP68,0.174,0.981
STOML2,-0.102,0.981
TRIM28,0.235,0.981
VPS4A,-0.0835,0.981
VPS4B,-0.0857,0.981
VPS53,-0.197,0.981
WDR61,-0.103,0.981
WIPI2,-0.275,0.981
ABHD12,-0.126,0.982
ABLIM1,-0.108,0.982
ADAM10,0.215,0.982
ADCY2,0.094,0.982
AKR7A2,-0.247,0.982
ALDH18A1,-0.148,0.982
ANK1,0.0726,0.982
ARF5,-0.132,0.982
ARHGEF11,-0.147,0.982
ARL8B,-0.0711,0.982
ATL3,0.0803,0.982
ATP6V0A1,-0.225,0.982
CADM3,0.381,0.982
CAMK2A,0.0802,0.982
CAMK2G,0.059,0.982
CAMKK2,-0.199,0.982
CAPZB,0.0885,0.982
CLIC4,0.111,0.982
CNDP2,0.154,0.982
COG6,-0.164,0.982
COX6A1,-0.214,0.982
CSTB,-0.319,0.982
DBNL,0.152,0.982
DDT,0.159,0.982
DDX19A,0.0891,0.982
DLST,-0.112,0.982
DNAJB2,0.237,0.982
DPYSL5,0.209,0.982
EFR3B,-0.182,0.982
EIF2AK2,0.248,0.982
EIF2B2,-0.243,0.982
ENOPH1,0.144,0.982
ETFB,0.234,0.982
FBXO2,0.0707,0.982
FECH,0.233,0.982
FNTA,-0.119,0.982
FSCN1,0.104,0.982
FTH1,-0.0828,0.982
FUK,0.13,0.982
GANAB,-0.168,0.982
GNA11,-0.0907,0.982
GNAO1,0.0525,0.982
GOT1,-0.285,0.982
GRSF1,-0.284,0.982
GSTK1,0.0719,0.982
GSTM2,-0.123,0.982
GTPBP1,-0.127,0.982
HSPD1,-0.0953,0.982
HYOU1,-0.089,0.982
MACROD1,-0.239,0.982
MAG,0.125,0.982
MAP1LC3A,-0.158,0.982
MAP6,-0.0864,0.982
MAPK1,0.0583,0.982
MYO18A,0.0588,0.982
NDUFA11,-0.12,0.982
NDUFS6,0.133,0.982
OSBPL8,0.172,0.982
PANK4,0.0998,0.982
PDK3,-0.101,0.982
PHB2,0.0839,0.982
PHYHD1,-0.207,0.982
PIP5K1C,0.167,0.982
PRODH,0.191,0.982
PRUNE,-0.151,0.982
PTPN11,0.205,0.982
RAN,-0.0662,0.982
RNH1,-0.0643,0.982
ROGDI,0.216,0.982
RPN2,-0.194,0.982
RPS6KA1,-0.149,0.982
RRAGC,-0.133,0.982
SCRN1,-0.166,0.982
SEC22B,0.113,0.982
SEPT9,0.0678,0.982
SLC25A4,0.0754,0.982
SLC27A1,0.101,0.982
STOM,0.0958,0.982
TBCEL,0.224,0.982
TECR,-0.13,0.982
UQCRB,0.176,0.982
VCPIP1,0.0692,0.982
VWA5A,-0.238,0.982
ACADSB,0.143,0.983
ADH5,0.141,0.983
AKR1B1,-0.0889,0.983
ANK3,-0.0591,0.983
ANXA5,0.103,0.983
ATP6V1G2,-0.104,0.983
CAPZA1,-0.174,0.983
CBX3,-0.214,0.983
CCDC127,-0.0604,0.983
CD9,-0.164,0.983
CIT,-0.106,0.983
CKAP4,-0.125,0.983
COPA,0.0477,0.983
COPG1,0.0458,0.983
COX5A,-0.0883,0.983
CYP51A1,-0.101,0.983
DBN1,0.118,0.983
DCAKD,-0.129,0.983
DDX6,0.106,0.983
DLG2,0.117,0.983
DNAJA2,0.0551,0.983
DNM2,-0.0461,0.983
DST,0.0434,0.983
DYNLRB1,0.0919,0.983
EIF4A2,-0.0517,0.983
EPRS,-0.0721,0.983
ERMN,-0.186,0.983
FAM160B1,-0.0761,0.983
FARP1,0.0685,0.983
FRMD5,-0.113,0.983
G3BP2,-0.0667,0.983
GALC,-0.134,0.983
GIMAP1,-0.0952,0.983
GUCY1A2,0.093,0.983
HEATR5A,-0.0924,0.983
HNRNPA1,0.0573,0.983
HNRNPK,0.0725,0.983
HSPA8,-0.0477,0.983
HSPB6,0.0873,0.983
IDH2,-0.0693,0.983
IPO5,-0.0971,0.983
KCTD21,0.164,0.983
LMAN1,-0.116,0.983
LYPLAL1,0.0947,0.983
MAP1LC3B,0.0789,0.983
MTMR1,0.113,0.983
MTX2,-0.0705,0.983
MYH10,0.0403,0.983
MYO1D,-0.0588,0.983
MYO1E,-0.17,0.983
NBEA,-0.072,0.983
NDUFB5,-0.195,0.983
NDUFS5,-0.15,0.983
OPLAH,-0.131,0.983
PCBP1,0.0531,0.983
PDE4B,-0.122,0.983
PHB,0.115,0.983
PPAP2B,0.228,0.983
PPP1CB,-0.212,0.983
PPP3CA,0.0717,0.983
PSAT1,0.0712,0.983
PSMA5,-0.113,0.983
PSMC5,-0.0646,0.983
RAB3GAP1,-0.0506,0.983
RASA2,0.111,0.983
RCN2,-0.186,0.983
RPL14,0.127,0.983
RTKN2,-0.35,0.983
RTN4,0.069,0.983
SCRIB,0.141,0.983
SELO,0.102,0.983
SEPT11,-0.0765,0.983
SFXN5,0.143,0.983
SKIV2L,0.0616,0.983
SLC1A2,0.0676,0.983
SLC25A11,-0.0576,0.983
SNTA1,-0.0546,0.983
SNX18,-0.176,0.983
SPTAN1,-0.0366,0.983
SQSTM1,0.178,0.983
STRAP,-0.0391,0.983
STX4,0.129,0.983
TANC2,0.143,0.983
TCEB1,0.0421,0.983
TKT,-0.0639,0.983
TNPO3,0.097,0.983
TOMM40,-0.155,0.983
TRIM36,-0.105,0.983
UQCRFS1,0.105,0.983
ABCA2,0.071,0.984
ABCD3,0.0328,0.984
AKT2,-0.0823,0.984
ALDH6A1,-0.0871,0.984
ALDH9A1,-0.127,0.984
ARL3,-0.0312,0.984
ATP2B2,0.0921,0.984
ATP6V0D1,-0.0829,0.984
ATP6V1E1,0.0508,0.984
BCKDHB,0.106,0.984
BTN3A3,-0.154,0.984
C14orf159,0.122,0.984
CA1,0.077,0.984
CAMK1D,0.0415,0.984
CAMKV,0.0735,0.984
CCDC88A,-0.0349,0.984
CFL1,-0.047,0.984
CKMT1A,0.0675,0.984
CLASP1,0.0451,0.984
CLVS2,-0.106,0.984
COPS2,-0.106,0.984
CSK,0.0247,0.984
CTSB,-0.096,0.984
DHX15,-0.0465,0.984
DLD,-0.0334,0.984
DMTN,-0.0608,0.984
DOCK9,0.142,0.984
DRG2,0.0236,0.984
DYNC1I2,-0.0477,0.984
EARS2,-0.159,0.984
EPM2AIP1,-0.0667,0.984
ERLIN2,0.0797,0.984
ESYT1,-0.0457,0.984
EXOC1,-0.0439,0.984
EXOC2,-0.0346,0.984
GBAS,0.103,0.984
GCLM,-0.166,0.984
GNA13,-0.0496,0.984
GNB2,0.0389,0.984
GRIA2,-0.107,0.984
HINT1,-0.0483,0.984
HNRNPUL1,-0.119,0.984
HSD17B12,0.0534,0.984
HSD17B4,-0.0298,0.984
HSDL2,-0.0507,0.984
HSPA2,0.0435,0.984
IMMT,0.055,0.984
IQSEC2,-0.0726,0.984
JUP,-0.116,0.984
KARS,0.0593,0.984
KBTBD11,-0.0729,0.984
KIAA0196,-0.098,0.984
LLGL1,-0.0485,0.984
LRRC47,0.0452,0.984
MAP7D1,-0.101,0.984
MFN2,0.0428,0.984
MMS19,0.0266,0.984
MTMR6,0.0853,0.984
NAP1L4,0.043,0.984
NAPG,0.0691,0.984
NDUFA4,0.0964,0.984
NDUFA5,-0.041,0.984
NDUFA7,0.0892,0.984
NDUFA9,-0.0461,0.984
NDUFB8,0.181,0.984
NDUFC2,0.0636,0.984
OGN,0.155,0.984
OGT,0.0455,0.984
PHYHIP,-0.0411,0.984
PLA2G6,-0.0995,0.984
PLCD1,0.059,0.984
POR,0.0302,0.984
PPIL1,0.1,0.984
PPP1CC,-0.0367,0.984
PRKAR2B,-0.0418,0.984
PSMD4,-0.0699,0.984
RHOB,-0.163,0.984
SESTD1,0.0785,0.984
SFXN1,0.142,0.984
SLC25A13,-0.114,0.984
SMG1,0.0777,0.984
SSBP1,-0.0511,0.984
TBK1,-0.177,0.984
TF,0.0572,0.984
THY1,-0.0666,0.984
TMOD2,0.0456,0.984
TSC1,0.0603,0.984
UQCRC1,0.0538,0.984
VAT1,0.0636,0.984
WDR26,0.0972,0.984
YKT6,0.0905,0.984
ACTB,0.0138,0.985
ACTG1,-0.0752,0.985
ADD1,0.00842,0.985
ADRBK1,0.0243,0.985
ALDH1L1,-0.0267,0.985
ANXA6,-0.0191,0.985
ARAP1,-0.0386,0.985
ARHGEF4,-0.0573,0.985
ATAT1,-0.033,0.985
ATP1A3,0.0398,0.985
ATP5L,0.0544,0.985
ATP6V1D,-0.0636,0.985
BRAF,-0.0391,0.985
C2CD2,-0.0177,0.985
CAD,-0.0296,0.985
CANX,0.0246,0.985
CAP1,-0.0181,0.985
CAPN1,-0.0322,0.985
CAPN2,-0.00775,0.985
CAPNS1,-0.00818,0.985
CDC37,-0.0353,0.985
CEP170B,0.0425,0.985
COPZ1,-0.0155,0.985
COQ9,0.0186,0.985
COX6C,-0.0332,0.985
CRYL1,-0.0536,0.985
CYB5R3,-0.0201,0.985
DHX9,-0.0132,0.985
DYNLL1,-0.00667,0.985
DYNLT1,0.0276,0.985
EHD1,-0.0177,0.985
EIF5A,-0.0254,0.985
ENO2,0.014,0.985
ETFA,0.0487,0.985
EXOC3,0.0159,0.985
EXOC4,-0.0194,0.985
FABP7,0.0269,0.985
FAM49A,0.0172,0.985
FAM73A,0.0561,0.985
GAK,0.0138,0.985
GART,-0.00658,0.985
GPS1,0.0331,0.985
GSTM1,0.0587,0.985
GSTM3,0.0065,0.985
IGSF8,0.0349,0.985
ITPR1,0.017,0.985
KIAA1045,-0.0177,0.985
KIAA1279,0.0104,0.985
LEMD2,-0.0204,0.985
LRPPRC,0.0175,0.985
LRSAM1,-0.0192,0.985
MAPRE1,0.0235,0.985
MAPRE2,-0.0218,0.985
MARS,-0.00792,0.985
METAP1,0.0338,0.985
MINK1,-0.0369,0.985
MTOR,0.0402,0.985
NAPA,0.0206,0.985
NCLN,0.0518,0.985
NDUFB9,-0.0184,0.985
NNT,-0.0122,0.985
OSTF1,0.00842,0.985
PCBP2,-0.0119,0.985
PGM1,0.0317,0.985
PITPNM1,0.0124,0.985
PMM1,-0.0385,0.985
PPFIA2,-0.0324,0.985
PRKCG,0.027,0.985
PRKRA,-0.0102,0.985
PSMB1,0.0581,0.985
PTGES2,0.0369,0.985
PTK2B,-0.0592,0.985
PTRHD1,0.0394,0.985
RAB23,0.0422,0.985
RAB2A,-0.0545,0.985
RAB6B,-0.00901,0.985
RAB9A,-0.0709,0.985
RASA3,-0.0306,0.985
RIC8A,0.0253,0.985
RPA3,0.0254,0.985
RPS2,0.0222,0.985
RPS4X,0.0452,0.985
RTCB,-0.0108,0.985
SARM1,-0.0182,0.985
SARS2,0.0138,0.985
SCN2A,-0.0727,0.985
SDHA,-0.0334,0.985
SEC24C,-0.0197,0.985
SEPT7,-0.0173,0.985
SFXN3,-0.0477,0.985
SIRT5,0.066,0.985
SLC25A22,0.0434,0.985
SNCG,-0.0264,0.985
SRGAP2,0.0343,0.985
STRN,-0.0553,0.985
SUCLG1,0.0221,0.985
TGM2,0.0546,0.985
TTC37,-0.00725,0.985
TUBA8,0.0543,0.985
UBA2,-0.0243,0.985
UNC13A,0.0265,0.985
VAC14,0.0443,0.985
WDFY3,0.0196,0.985
WDR1,0.022,0.985
XRCC6,0.0367,0.985
ALDOA,0.0042,0.986
ASAP1,-0.0105,0.986
CRKL,-0.0024,0.986
DDX58,-0.00483,0.986
EIF3I,-0.0055,0.986
GLO1,-0.00425,0.986
GOT2,-0.0158,0.986
IMPDH2,0.00403,0.986
IPO9,0.000834,0.986
MPP2,-0.00178,0.986
NCOA7,0.00138,0.986
NMRAL1,0.000261,0.986
PRKCSH,0.00699,0.986
RPS16,0.00593,0.986
SLC25A1,0.00711,0.986
STIP1,-0.0128,0.986
STXBP6,0.00503,0.986
VPS33B,-0.00402,0.986
YWHAE,0.00665,0.986
YWHAH,-0.00474,0.986
