"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","significant","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_2319000",-0.510463469232908,10.1908097265688,-8.37417327551738,2.77087976360098e-16,1.02422978126663e-14,26.2505160954373,TRUE,4145,"MATK","MATK",-0.510463469232908,2.77087976360098e-16,1.02422978126663e-14,"MATK","MATK","GSE112676"
"ILMN_1807304",0.635653376628323,8.13941498060268,10.3827707198608,1.13650238427829e-23,1.43045848620344e-21,42.948798357138,TRUE,4154,"MBNL1","MBNL1",0.635653376628323,1.13650238427829e-23,1.43045848620344e-21,"MBNL1","MBNL1","GSE112676"
"ILMN_1785852",0.504350210918076,7.96480964960216,9.3486033661397,1.02466059826752e-19,6.64470122746087e-18,33.9997222826098,TRUE,64859,"NABP1","NABP1",0.504350210918076,1.02466059826752e-19,6.64470122746087e-18,"NABP1","NABP1","GSE112676"
"ILMN_1724753",0.554609652515062,7.69289676405985,11.5339488843873,2.01239397854228e-28,5.82812741552585e-26,53.718356272946,TRUE,51199,"NIN","NIN",0.554609652515062,2.01239397854228e-28,5.82812741552585e-26,"NIN","NIN","GSE112676"
"ILMN_1775011",-0.546678530427616,8.65942236202953,-7.044424525088,4.25979129330262e-12,8.23522840435627e-11,16.8315552638935,TRUE,79954,"NOL10","NOL10",-0.546678530427616,4.25979129330262e-12,8.23522840435627e-11,"NOL10","NOL10","GSE112676"
"ILMN_2336982",0.568691293527458,8.86967411665818,9.92801924774627,6.80549703370051e-22,6.15175686409958e-20,38.9252755755048,TRUE,27020,"NPTN","NPTN",0.568691293527458,6.80549703370051e-22,6.15175686409958e-20,"NPTN","NPTN","GSE112676"
"ILMN_1784753",0.765541348534512,8.7539638140837,12.042027145761,1.25286918768507e-30,6.44363583942167e-28,58.722080792973,TRUE,51247,"PAIP2","PAIP2",0.765541348534512,1.25286918768507e-30,6.44363583942167e-28,"PAIP2","PAIP2","GSE112676"
"ILMN_1798354",0.529433225058476,8.30576840814296,8.29275822683379,5.19750890247132e-16,1.84135024418907e-14,25.6345988110187,TRUE,10914,"PAPOLA","PAPOLA",0.529433225058476,5.19750890247132e-16,1.84135024418907e-14,"PAPOLA","PAPOLA","GSE112676"
"ILMN_1807994",0.757219854587211,7.92930232067127,12.8423107052815,3.15065116500805e-34,3.75935697008761e-31,66.8917496749319,TRUE,57092,"PCNP","PCNP",0.757219854587211,3.15065116500805e-34,3.75935697008761e-31,"PCNP","PCNP","GSE112676"
"ILMN_2340259",0.53262721670227,7.76642605571441,11.1150722099393,1.1839442255005e-26,2.52264687476286e-24,49.7059667015605,TRUE,5142,"PDE4B","PDE4B",0.53262721670227,1.1839442255005e-26,2.52264687476286e-24,"PDE4B","PDE4B","GSE112676"
"ILMN_1679268",0.663679351699036,7.9899056096557,11.6621147206668,5.66655512487644e-29,1.8373189062507e-26,54.9666624039208,TRUE,57162,"PELI1","PELI1",0.663679351699036,5.66655512487644e-29,1.8373189062507e-26,"PELI1","PELI1","GSE112676"
"ILMN_1688702",0.755842159542656,8.67068219912083,12.0500055283884,1.15548306128269e-30,6.04702802071277e-28,58.8018168699854,TRUE,9867,"PJA2","PJA2",0.755842159542656,1.15548306128269e-30,6.04702802071277e-28,"PJA2","PJA2","GSE112676"
"ILMN_1716862",0.506010305625719,7.89314288423075,10.9323897463968,6.77326698830651e-26,1.24119757606371e-23,47.9890924179168,TRUE,5495,"PPM1B","PPM1B",0.506010305625719,6.77326698830651e-26,1.24119757606371e-23,"PPM1B","PPM1B","GSE112676"
"ILMN_2405018",0.526315648963591,8.00510314800569,12.7271505556858,1.06032207675957e-33,1.09066922585303e-30,65.6952585326737,TRUE,5500,"PPP1CB","PPP1CB",0.526315648963591,1.06032207675957e-33,1.09066922585303e-30,"PPP1CB","PPP1CB","GSE112676"
"ILMN_1701855",0.501526784055997,8.82271772666885,6.78995560164487,2.30075958595922e-11,3.96944236258899e-10,15.1895454917016,TRUE,5501,"PPP1CC","PPP1CC",0.501526784055997,2.30075958595922e-11,3.96944236258899e-10,"PPP1CC","PPP1CC","GSE112676"
"ILMN_1738632",0.863527636997176,9.36283773492957,13.5478332307606,1.60777806210747e-37,4.36000178115145e-34,74.3675680724419,TRUE,5573,"PRKAR1A","PRKAR1A",0.863527636997176,1.60777806210747e-37,4.36000178115145e-34,"PRKAR1A","PRKAR1A","GSE112676"
"ILMN_1737988",0.583701125888339,8.37676602436364,10.6388455531857,1.06971005091702e-24,1.6280332050436e-22,45.2734556757369,TRUE,5621,"PRNP","PRNP",0.583701125888339,1.06971005091702e-24,1.6280332050436e-22,"PRNP","PRNP","GSE112676"
"ILMN_1775257",0.629963663796097,10.9123775266595,11.3474119642877,1.25125444842619e-27,3.13654791567674e-25,51.9186676564876,TRUE,60675,"PROK2","PROK2",0.629963663796097,1.25125444842619e-27,3.13654791567674e-25,"PROK2","PROK2","GSE112676"
"ILMN_1768197",0.638315950769417,9.43873577931481,11.6918712457223,4.21642557214318e-29,1.44158400553252e-26,55.2578416927226,TRUE,9991,"PTBP3","PTBP3",0.638315950769417,4.21642557214318e-29,1.44158400553252e-26,"PTBP3","PTBP3","GSE112676"
"ILMN_1741727",0.639653007832697,9.92699501375646,14.1121585535821,3.14955856133848e-40,1.56585553141211e-36,80.5187832979901,TRUE,25797,"QPCT","QPCT",0.639653007832697,3.14955856133848e-40,1.56585553141211e-36,"QPCT","QPCT","GSE112676"
"ILMN_2173004",0.736372136374593,8.2923262089793,10.1153277303938,1.28210243619303e-22,1.30529405022656e-20,40.566069895007,TRUE,51762,"RAB8B","RAB8B",0.736372136374593,1.28210243619303e-22,1.30529405022656e-20,"RAB8B","RAB8B","GSE112676"
"ILMN_1758941",0.537048006977388,8.2437031077009,10.4383949467513,6.82619154962224e-24,8.66490612447793e-22,43.4501953278116,TRUE,7905,"REEP5","REEP5",0.537048006977388,6.82619154962224e-24,8.66490612447793e-22,"REEP5","REEP5","GSE112676"
"ILMN_2101278",0.850062196191438,7.98707846016865,13.448460217545,4.74628409572411e-37,1.08908965058039e-33,73.2998320322883,TRUE,64407,"RGS18","RGS18",0.850062196191438,4.74628409572411e-37,1.08908965058039e-33,"RGS18","RGS18","GSE112676"
"ILMN_2197365",0.568469623440059,11.2940387025744,8.39216259678634,2.40973102492878e-16,9.00780406937662e-15,26.3872786101134,TRUE,5997,"RGS2","RGS2",0.568469623440059,2.40973102492878e-16,9.00780406937662e-15,"RGS2","RGS2","GSE112676"
"ILMN_1665877",0.625753100316937,11.1464681400535,10.7359363362471,4.31959833580793e-25,7.00291404114949e-23,46.1657127531585,TRUE,284996,"RNF149","RNF149",0.625753100316937,4.31959833580793e-25,7.00291404114949e-23,"RNF149","RNF149","GSE112676"
"ILMN_1769277",0.769945044818538,9.52665189031882,9.56943147512713,1.55707271167029e-20,1.13010897783759e-18,35.8498347790065,TRUE,6133,"RPL9","RPL9",0.769945044818538,1.55707271167029e-20,1.13010897783759e-18,"RPL9","RPL9","GSE112676"
"ILMN_1706117",0.519501197889255,9.74057308075017,6.66361770303583,5.21290554993585e-11,8.50661775462726e-10,14.3941139013325,TRUE,6210,"RPS15A","RPS15A",0.519501197889255,5.21290554993585e-11,8.50661775462726e-10,"RPS15A","RPS15A","GSE112676"
"ILMN_2175465",0.588528235333146,7.37733343559863,9.69792305527447,5.12288783933947e-21,4.00270919695813e-19,36.941810639551,TRUE,51187,"RSL24D1","RSL24D1",0.588528235333146,5.12288783933947e-21,4.00270919695813e-19,"RSL24D1","RSL24D1","GSE112676"
