"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","condition","comparison"
"O43707;Q08043;P35609","ACTN4",2.19,0.000300365587775985,0.374,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14839","CHD4",-0.781,0.000308986435368244,0.378,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9ULI0","ATAD2B",-1.82,0.000313928737568921,0.38,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q5U5Q3","MEX3C",1.45,0.000319057649218313,0.383,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14974","KPNB1",1.83,0.000339953956551342,0.392,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96T58","SPEN",-1.15,0.000346368957328798,0.395,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P27824","CANX",-0.829,0.000353262031693409,0.398,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P07910;O60812;B2RXH8;P0DMR1;B7ZW38","HNRNPC",-0.925,0.000357080029192018,0.399,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q03701","CEBPZ",1.08,0.000366200194785037,0.403,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96RF0","SNX18",0.901,0.000367808947417797,0.404,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62241","RPS8",1.21,0.0003771865837607,0.407,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O43513","MED7",-1.3,0.000381394687469599,0.409,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14697","GANAB",-1.5,0.000423012438761783,0.424,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O00159","MYO1C",0.962,0.000438169579236058,0.429,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q86UE4","MTDH",-1.94,0.000462814179389197,0.437,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IXM2","BAP18",-1.85,0.000489952321455582,0.446,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y2I8","WDR37",1.56,0.000491485728937889,0.446,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P61978","HNRNPK",-0.765,0.000514775318418389,0.453,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O43795","MYO1B",1.47,0.00054727620571285,0.462,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13561","DCTN2",1.66,0.000564360483647371,0.466,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P02790","HPX",-2.01,0.00058096698692523,0.47,FALSE,"RNase_ARS","C9ALS_vs_Control"
"A6NFI3;Q8N9L1;Q14872","ZNF316",1.8,0.000588485992815957,0.472,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P05976;P08590","MYL1",2.24,0.000591703127653561,0.473,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IXT5","RBM12B",-1.84,0.00059333843344037,0.473,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q5QJE6","DNTTIP2",-0.947,0.000600669914506523,0.475,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q86YP4","GATAD2A",-0.941,0.000615513560085442,0.478,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8WWQ0","PHIP",-1.91,0.000618395262367627,0.479,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q5SNT2","TMEM201",-1.35,0.000676632014672499,0.491,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9H0B6","KLC2",1.12,0.000699866560942394,0.496,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q00839","HNRNPU",-1.05,0.000714035927842571,0.499,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P41250","GARS",1.37,0.000741280823700471,0.504,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P60660","MYL6",1.64,0.000759824069933711,0.507,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P52272","HNRNPM",-0.773,0.000784399478690549,0.512,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O43290","SART1",-1.05,0.000789870891170435,0.513,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y625","GPC6",-1.19,0.00086056535435563,0.524,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NZM5","GLTSCR2",0.997,0.000903052286383807,0.531,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y3T9","NOC2L",0.85,0.000912918626329341,0.532,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P14649","MYL6B",1.57,0.000948570417084353,0.537,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P46781","RPS9",1.09,0.000993197061316649,0.543,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P07437","TUBB",1.02,0.000990798138527838,0.543,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O43818","RRP9",-1.14,0.0010018904736876,0.544,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P25398","RPS12",-1.28,0.00105298662480901,0.55,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NZN8","CNOT2",1,0.00114520655921064,0.561,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14126","DSG2",-1.59,0.0011396643998661,0.561,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IWZ3","ANKHD1",0.937,0.00117297037992573,0.564,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O75683","SURF6",0.751,0.00118809740639562,0.566,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P68032;P63267;P62736;P68133","ACTC1",1.74,0.00124383553200842,0.571,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q08AN1;Q6ZN19","ZNF616",1.37,0.00124723721415804,0.572,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BUJ2","HNRNPUL1",-0.792,0.0013023221858914,0.577,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q01484","ANK2",0.876,0.00134012177784915,0.581,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9HC52","CBX8",-1.5,0.00134044046337432,0.581,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y3U8","RPL36",0.962,0.00134890369604435,0.581,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8WVV9","HNRNPLL",-0.889,0.00141893915302407,0.587,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9C0C2","TNKS1BP1",0.969,0.00143814781053312,0.589,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q09028","RBBP4",-0.613,0.00156275967594438,0.599,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BZJ0","CRNKL1",2.12,0.0015926940112232,0.601,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9UJS0","SLC25A13",1.04,0.00162208022519032,0.603,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9H2P0","ADNP",-0.729,0.00162990543733132,0.604,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P48681","NES",0.734,0.00162701982306496,0.604,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P55265","ADAR",-0.86,0.0016759592889072,0.607,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q99848","EBNA1BP2",0.78,0.00170985197379126,0.609,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NYL9","TMOD3",2.24,0.00171823802526394,0.61,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62195;Q8NB90","PSMC5",1.53,0.00173729188352443,0.611,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9H7B2","RPF2",0.664,0.00176002673649489,0.613,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BRS2","RIOK1",-2.02,0.00180238845930113,0.615,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P04350","TUBB4A",1.03,0.00184002831736088,0.618,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P23246","SFPQ",-1.5,0.00189089803311272,0.621,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O75083","WDR1",1.02,0.00189315644267146,0.621,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O60841;Q9H2L5","EIF5B",-1.56,0.0019720692537894,0.625,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IY81","FTSJ3",0.6,0.00197089108167595,0.625,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P35637","FUS",-2.23,0.00196040557287951,0.625,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9P2I0","CPSF2",-1.02,0.00201366745521714,0.628,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BVA1","TUBB2B",0.914,0.00207484589524724,0.631,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q07866","KLC1",0.9,0.0021416030413931,0.634,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13509","TUBB3",0.949,0.00213827039520225,0.634,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O60282;Q86Y91","KIF5C",1.01,0.00216377842547219,0.635,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P83731","RPL24",0.9,0.0022042716048562,0.637,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13885;A6NNZ2","TUBB2A",1.07,0.00219410316573208,0.637,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P35580","MYH10",1.58,0.00223200708638296,0.639,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q01130","SRSF2",-0.981,0.00223854709345733,0.639,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96K17","BTF3L4",-1.4,0.0022505205225694,0.64,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NWB6","ARGLU1",1.31,0.0023018607164103,0.642,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O14744","PRMT5",-1.05,0.00229650860032379,0.642,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q7L2J0","MEPCE",-2.82,0.00241732298863732,0.647,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y608","LRRFIP2",2.44,0.00243270543280772,0.648,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13185","CBX3",-0.665,0.00246365632999823,0.649,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P33176","KIF5B",0.799,0.00249602044720343,0.65,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P27635;Q96L21","RPL10",1.01,0.00250932732175745,0.651,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P47756","CAPZB",1.83,0.00253218297553043,0.652,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q92499","DDX1",0.777,0.00259719322106747,0.654,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q53GS9","USP39",1.07,0.00266290445693608,0.657,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P52209","PGD",-1.28,0.00271709219853166,0.659,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96AY4","TTC28",-0.839,0.00276007566107583,0.661,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q96E39","RBMXL1",-1.46,0.00281998929329266,0.663,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9P258","RCC2",-0.834,0.00281511336598201,0.663,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9UHR5","SAP30BP",-0.65,0.00293449505585397,0.667,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P52907","CAPZA1",0.794,0.00299416777932607,0.669,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P30050","RPL12",-0.99,0.00299294411277825,0.669,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9Y2R9","MRPS7",1.2,0.00302105068441486,0.67,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14204","DYNC1H1",0.649,0.00328660025403977,0.678,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9H7N4","SCAF1",-0.831,0.00339084542027095,0.681,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9ULV0","MYO5B",-1.33,0.00357706733179697,0.686,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P61962","DCAF7",0.754,0.00369862542346267,0.689,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P68371","TUBB4B",0.875,0.00374678567459862,0.69,FALSE,"RNase_ARS","C9ALS_vs_Control"
"O75955","FLOT1",0.67,0.00378209517173088,0.691,FALSE,"RNase_ARS","C9ALS_vs_Control"
"P62851","RPS25",-0.854,0.00379085527004085,0.691,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q13547;O15379","HDAC1",-0.871,0.00381511372884838,0.692,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8IX01","SUGP2",-0.725,0.00383903391714927,0.692,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9BY77","POLDIP3",-0.736,0.00396594567852325,0.695,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q9NZR1","TMOD2",1.06,0.00397984627329762,0.695,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q8N9T8","KRI1",0.593,0.00410839773142899,0.698,FALSE,"RNase_ARS","C9ALS_vs_Control"
"Q14966","ZNF638",-1.31,0.00409645384249261,0.698,FALSE,"RNase_ARS","C9ALS_vs_Control"
