Gene_Symbol,protein_logFC,protein_adjPval,protein_significant
TNFSF13,0.951603749971445,0.0377873195640533,True
HSDL2,-0.393397122619811,0.0380413672627571,False
ASTN2,-0.492031669515718,0.038057206808706,False
KIF13B,0.767188178810217,0.038057206808706,True
APOB,1.9768668275939,0.038057206808706,True
NT5DC3,-0.724157761863948,0.038057206808706,True
NDRG1,0.793955957278026,0.038128319491367,True
ZNF326,0.56384310366305,0.038128319491367,False
NDUFS3,-0.550004801405395,0.038128319491367,False
MRPL55,-0.438401290043253,0.0382617916946796,False
PRUNE1,0.356517354175917,0.0385178351930415,False
RANGAP1,0.410801030051575,0.0386196990382693,False
STAB1,1.15208495486755,0.0387836249380782,True
SERF2,0.745910703404577,0.0391527890246399,True
USP11,-0.506542249532707,0.0391527890246399,False
MROH1,-0.479269433427602,0.0391527890246399,False
EXD2,0.339087156681765,0.0391527890246399,False
BUB3,0.341503333641462,0.0391527890246399,False
OCIAD2,-0.916435975726797,0.0391527890246399,True
SDHC,-0.472132191448695,0.0393914494651651,False
ADCYAP1R1,-0.722435430048455,0.0397585854817898,True
MSRB2,-0.508622402360146,0.0399572969369251,False
CCDC25,0.423543263580697,0.0400959099674725,False
GABARAP,0.41394913132965,0.0401610305882179,False
MFN2,-0.383048380952225,0.0402159542257202,False
NUTF2,0.530255032413846,0.0407280777081653,False
ENPP6,0.811756392728491,0.0407280777081653,True
PLXDC2,0.802627327163531,0.0409150159012854,True
NDE1,0.615455736050946,0.0409519641661855,True
SNX18,0.503694689980295,0.0409710598620118,False
PHKB,-0.708639450050924,0.0415315424979142,True
BPGM,1.13545643585067,0.0415315424979142,True
GRIA4,-0.634815266071224,0.0419758305276998,True
MYBBP1A,0.376358979507097,0.0421858261010684,False
YLPM1,0.397515062602617,0.0422860618247942,False
SUOX,-0.422288315350018,0.0422860618247942,False
PEPD,-0.449501309481423,0.0423046470069832,False
ACSM5,-0.925368767749803,0.0425948160771698,True
SLC30A1,-0.368139774200381,0.0425948160771698,False
TUFM,-0.393503052052825,0.0426070335813618,False
CASKIN2,0.32447366956522,0.0428549373067913,False
VPS35,-0.235107761040242,0.0428779017260724,False
NECAP2,0.41331500646468,0.043479201514065,False
HIBCH,-0.861119773108818,0.043479201514065,True
RNF34,-0.336818612664974,0.043479201514065,False
C2CD2,0.51062766526465,0.0436164046412781,False
RNF181,-0.375252820713022,0.0436164046412781,False
DAGLB,-0.361771049364221,0.0436164046412781,False
MTDH,0.450849546583985,0.0439949745657354,False
ACSL1,0.585127109565498,0.0439949745657354,True
AKR1C3,-0.761677184956527,0.0442187813708092,True
