"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","tissue","comparison"
"P78371","CCT2",-0.296,0.0297876579665052,0.83,FALSE,"SPC","TP7_vs_TP1"
"Q9UPQ0","LIMCH1",-0.774,0.029766165230634,0.83,FALSE,"SPC","TP7_vs_TP1"
"P17568","NDUFB7",0.884,0.0298447450606428,0.83,FALSE,"SPC","TP7_vs_TP1"
"P35080","PFN2",0.58,0.0297205013655282,0.83,FALSE,"SPC","TP7_vs_TP1"
"P17600","SYN1",-0.429,0.0301809079565335,0.831,FALSE,"SPC","TP7_vs_TP1"
"P10412;Q02539;P22492","HIST1H1E",0.821,0.0304347105533605,0.832,FALSE,"SPC","TP7_vs_TP1"
"Q5T447","HECTD3",-1.01,0.0307314904705011,0.833,FALSE,"SPC","TP7_vs_TP1"
"P07197","NEFM",-0.523,0.0306315729344966,0.833,FALSE,"SPC","TP7_vs_TP1"
"Q12931","TRAP1",-0.538,0.0304999732590596,0.833,FALSE,"SPC","TP7_vs_TP1"
"Q14112","NID2",1.06,0.0317101372800168,0.837,FALSE,"SPC","TP7_vs_TP1"
"Q86WG5","SBF2",0.935,0.0322081328120942,0.839,FALSE,"SPC","TP7_vs_TP1"
"Q00796","SORD",1.7,0.0323648398759674,0.839,FALSE,"SPC","TP7_vs_TP1"
"Q9H6U6","BCAS3",0.831,0.0327456822342192,0.84,FALSE,"SPC","TP7_vs_TP1"
"P62805","HIST1H4A",0.879,0.0327654155276808,0.84,FALSE,"SPC","TP7_vs_TP1"
"P53602","MVD",-1.63,0.0329327261801682,0.841,FALSE,"SPC","TP7_vs_TP1"
"Q9BXW6","OSBPL1A",-1.05,0.0332219005587966,0.842,FALSE,"SPC","TP7_vs_TP1"
"Q8TCU6","PREX1",0.971,0.0335184556587896,0.843,FALSE,"SPC","TP7_vs_TP1"
"Q6VY07","PACS1",0.703,0.0340052543877091,0.844,FALSE,"SPC","TP7_vs_TP1"
"O14994","SYN3",-0.883,0.0338064330940171,0.844,FALSE,"SPC","TP7_vs_TP1"
"O14775","GNB5",-0.627,0.0342050912866955,0.845,FALSE,"SPC","TP7_vs_TP1"
"P55265","ADAR",1.03,0.0345655478959512,0.846,FALSE,"SPC","TP7_vs_TP1"
"O43242","PSMD3",-0.586,0.034505192660452,0.846,FALSE,"SPC","TP7_vs_TP1"
"Q9Y2Q0","ATP8A1",-1.05,0.0346997868931332,0.847,FALSE,"SPC","TP7_vs_TP1"
"P12110","COL6A2",1.54,0.0352844647645249,0.848,FALSE,"SPC","TP7_vs_TP1"
"Q9NRV9","HEBP1",1.36,0.0354747986559916,0.849,FALSE,"SPC","TP7_vs_TP1"
"P19338","NCL",0.955,0.0356096681150442,0.849,FALSE,"SPC","TP7_vs_TP1"
"P43243","MATR3",0.463,0.0360139996100935,0.85,FALSE,"SPC","TP7_vs_TP1"
"P05387","RPLP2",0.813,0.0360114393987414,0.85,FALSE,"SPC","TP7_vs_TP1"
"P58107","EPPK1",-1.89,0.0361945737759108,0.851,FALSE,"SPC","TP7_vs_TP1"
"Q03169","TNFAIP2",1.23,0.0362496632414017,0.851,FALSE,"SPC","TP7_vs_TP1"
"P46459","NSF",-0.408,0.0368873090463888,0.853,FALSE,"SPC","TP7_vs_TP1"
"Q9UJC5","SH3BGRL2",1.01,0.0373870191009181,0.854,FALSE,"SPC","TP7_vs_TP1"
"Q96CM8","ACSF2",0.695,0.0382605828600028,0.856,FALSE,"SPC","TP7_vs_TP1"
"Q99719;Q8WYJ6","SEPT5",-0.453,0.0379854121512174,0.856,FALSE,"SPC","TP7_vs_TP1"
"Q02156;P24723","PRKCE",-0.607,0.0387763863295582,0.858,FALSE,"SPC","TP7_vs_TP1"
"P62820","RAB1A",1.24,0.0390030198693017,0.858,FALSE,"SPC","TP7_vs_TP1"
"Q8TB36","GDAP1",-0.426,0.0393879123785501,0.859,FALSE,"SPC","TP7_vs_TP1"
"P50995","ANXA11",1,0.0401302660510014,0.861,FALSE,"SPC","TP7_vs_TP1"
"P21964","COMT",0.459,0.0399481262760714,0.861,FALSE,"SPC","TP7_vs_TP1"
"O43432","EIF4G3",-0.727,0.0400002732686995,0.861,FALSE,"SPC","TP7_vs_TP1"
"P15311","EZR",-0.633,0.0401332999486837,0.861,FALSE,"SPC","TP7_vs_TP1"
"P20591;P20592","MX1",1,0.0401034198315519,0.861,FALSE,"SPC","TP7_vs_TP1"
"O43741","PRKAB2",-1.51,0.0405968469669948,0.862,FALSE,"SPC","TP7_vs_TP1"
"Q9GZT4","SRR",0.435,0.0406554336118267,0.862,FALSE,"SPC","TP7_vs_TP1"
"Q96GR2","ACSBG1",1.14,0.0429555441046285,0.867,FALSE,"SPC","TP7_vs_TP1"
"Q9ULC4","MCTS1",-0.823,0.0434411646961368,0.868,FALSE,"SPC","TP7_vs_TP1"
"Q9Y697","NFS1",-2.02,0.0430526863486813,0.868,FALSE,"SPC","TP7_vs_TP1"
"P23381","WARS",1,0.0446043453913467,0.871,FALSE,"SPC","TP7_vs_TP1"
"Q5JSH3","WDR44",-0.97,0.0454901141058408,0.872,FALSE,"SPC","TP7_vs_TP1"
"P06753","TPM3",0.757,0.0456045592699048,0.873,FALSE,"SPC","TP7_vs_TP1"
"O94979","SEC31A",-1.01,0.0463049976558376,0.874,FALSE,"SPC","TP7_vs_TP1"
"P63010","AP2B1",-0.646,0.0474169515052876,0.876,FALSE,"SPC","TP7_vs_TP1"
"Q13363","CTBP1",-0.805,0.0472157402165422,0.876,FALSE,"SPC","TP7_vs_TP1"
"P61163","ACTR1A",-0.319,0.0481835774205387,0.877,FALSE,"SPC","TP7_vs_TP1"
"Q9BVC4","MLST8",-0.946,0.0477246718489903,0.877,FALSE,"SPC","TP7_vs_TP1"
"Q9Y281","CFL2",1.18,0.0487485914871381,0.878,FALSE,"SPC","TP7_vs_TP1"
"Q14980","NUMA1",0.671,0.049052471855685,0.879,FALSE,"SPC","TP7_vs_TP1"
"Q9Y496;Q9P2E2","KIF3A",-0.393,0.0499493678732955,0.88,FALSE,"SPC","TP7_vs_TP1"
"Q9Y2J8","PADI2",0.655,0.0502162207878551,0.881,FALSE,"SPC","TP7_vs_TP1"
"O00232","PSMD12",-0.931,0.0504209828613697,0.881,FALSE,"SPC","TP7_vs_TP1"
"Q9NRZ7","AGPAT3",0.771,0.05075332448872,0.882,FALSE,"SPC","TP7_vs_TP1"
"O75110","ATP9A",2.39,0.0506572506747129,0.882,FALSE,"SPC","TP7_vs_TP1"
"P48553","TRAPPC10",0.459,0.051004379794143,0.882,FALSE,"SPC","TP7_vs_TP1"
"P49748","ACADVL",0.481,0.051348880072576,0.883,FALSE,"SPC","TP7_vs_TP1"
"Q15843","NEDD8",0.574,0.0517173395476573,0.883,FALSE,"SPC","TP7_vs_TP1"
"Q96GA7","SDSL",-0.453,0.0518342036786306,0.883,FALSE,"SPC","TP7_vs_TP1"
"P0DN76;Q01081;Q8WU68","U2AF1",0.869,0.0513864725936516,0.883,FALSE,"SPC","TP7_vs_TP1"
"P68036;A0A1B0GUS4","UBE2L3",1.14,0.0516445463722422,0.883,FALSE,"SPC","TP7_vs_TP1"
"P21333","FLNA",0.582,0.0521368967617373,0.884,FALSE,"SPC","TP7_vs_TP1"
"Q4G176","ACSF3",0.766,0.0526714131912796,0.885,FALSE,"SPC","TP7_vs_TP1"
"O95782","AP2A1",-0.292,0.0528953998224581,0.885,FALSE,"SPC","TP7_vs_TP1"
"Q8N3V7","SYNPO",-0.836,0.0531660094765583,0.885,FALSE,"SPC","TP7_vs_TP1"
"Q7LDG7","RASGRP2",-1.32,0.0532481020187443,0.886,FALSE,"SPC","TP7_vs_TP1"
"Q99962","SH3GL2",-0.698,0.0535993670225374,0.886,FALSE,"SPC","TP7_vs_TP1"
"Q5VYK3","ECM29",-0.716,0.0539213427185576,0.887,FALSE,"SPC","TP7_vs_TP1"
"P40227","CCT6A",-0.399,0.0552250645804886,0.888,FALSE,"SPC","TP7_vs_TP1"
"P12277","CKB",-0.504,0.0552319145956118,0.888,FALSE,"SPC","TP7_vs_TP1"
"A0FGR8","ESYT2",-1.08,0.0548822201567923,0.888,FALSE,"SPC","TP7_vs_TP1"
"Q14444","CAPRIN1",0.533,0.0554442098455007,0.889,FALSE,"SPC","TP7_vs_TP1"
"Q6PHR2","ULK3",-0.823,0.0556163104342254,0.889,FALSE,"SPC","TP7_vs_TP1"
"Q6P2E9","EDC4",0.43,0.0566867090336048,0.89,FALSE,"SPC","TP7_vs_TP1"
"Q8IWW6","ARHGAP12",-1.08,0.0576440618371129,0.892,FALSE,"SPC","TP7_vs_TP1"
"Q53HC0","CCDC92",-0.65,0.05779305792645,0.892,FALSE,"SPC","TP7_vs_TP1"
"Q9Y2B0","CNPY2",-1.2,0.0578550091484431,0.892,FALSE,"SPC","TP7_vs_TP1"
"P43490","NAMPT",0.56,0.0580227691545081,0.892,FALSE,"SPC","TP7_vs_TP1"
"P46020","PHKA1",0.641,0.0580936717831273,0.892,FALSE,"SPC","TP7_vs_TP1"
"O15143","ARPC1B",0.733,0.0589157395443887,0.893,FALSE,"SPC","TP7_vs_TP1"
"P62829","RPL23",0.46,0.0595466455237388,0.894,FALSE,"SPC","TP7_vs_TP1"
"Q8TC07","TBC1D15",0.717,0.0592334824727686,0.894,FALSE,"SPC","TP7_vs_TP1"
"Q96FJ2","DYNLL2",-0.391,0.0601410643337308,0.895,FALSE,"SPC","TP7_vs_TP1"
"Q9NVH0","EXD2",-1.14,0.0599762109986179,0.895,FALSE,"SPC","TP7_vs_TP1"
"P22234","PAICS",0.762,0.0602970505338096,0.895,FALSE,"SPC","TP7_vs_TP1"
"O15211","RGL2",0.789,0.0601615200622486,0.895,FALSE,"SPC","TP7_vs_TP1"
"Q7L099","RUFY3",-0.345,0.059998723013037,0.895,FALSE,"SPC","TP7_vs_TP1"
"P60903","S100A10",1.36,0.0606085996900836,0.895,FALSE,"SPC","TP7_vs_TP1"
"Q7KZI7","MARK2",-0.416,0.0607753476161913,0.896,FALSE,"SPC","TP7_vs_TP1"
"Q99447","PCYT2",-0.934,0.061455929078897,0.896,FALSE,"SPC","TP7_vs_TP1"
"P20336","RAB3A",-1.55,0.0623365898249879,0.897,FALSE,"SPC","TP7_vs_TP1"
"Q92900","UPF1",0.302,0.0625451345002176,0.898,FALSE,"SPC","TP7_vs_TP1"
"P61313","RPL15",0.98,0.0640362341912836,0.899,FALSE,"SPC","TP7_vs_TP1"
"P63092;Q5JWF2","GNAS",0.268,0.0648667380389886,0.9,FALSE,"SPC","TP7_vs_TP1"
"P48059;Q7Z4I7","LIMS1",0.411,0.0646391206024973,0.9,FALSE,"SPC","TP7_vs_TP1"
"P05388;Q8NHW5","RPLP0",0.488,0.0644173096047591,0.9,FALSE,"SPC","TP7_vs_TP1"
"O95865","DDAH2",0.667,0.065472877525173,0.901,FALSE,"SPC","TP7_vs_TP1"
"Q96I24","FUBP3",0.798,0.0652621961988965,0.901,FALSE,"SPC","TP7_vs_TP1"
"O00764","PDXK",-0.385,0.0654908128998707,0.901,FALSE,"SPC","TP7_vs_TP1"
"Q15386","UBE3C",-0.861,0.0659711185001697,0.901,FALSE,"SPC","TP7_vs_TP1"
"A0JNW5","UHRF1BP1L",-0.976,0.0658140846691742,0.901,FALSE,"SPC","TP7_vs_TP1"
"Q12979","ABR",0.346,0.0663919970683444,0.902,FALSE,"SPC","TP7_vs_TP1"
"P35555","FBN1",1.91,0.066256817349727,0.902,FALSE,"SPC","TP7_vs_TP1"
"Q15436","SEC23A",0.303,0.0662588744691499,0.902,FALSE,"SPC","TP7_vs_TP1"
"Q96L92","SNX27",-0.702,0.0662507026120577,0.902,FALSE,"SPC","TP7_vs_TP1"
"Q9UHQ9","CYB5R1",-0.963,0.0676004179432703,0.903,FALSE,"SPC","TP7_vs_TP1"
"P10768","ESD",0.735,0.0675403707795956,0.903,FALSE,"SPC","TP7_vs_TP1"
"Q58FF8","HSP90AB2P",-0.386,0.0675678849213445,0.903,FALSE,"SPC","TP7_vs_TP1"
"O43301","HSPA12A",-0.407,0.0672303103412927,0.903,FALSE,"SPC","TP7_vs_TP1"
"O95219","SNX4",0.369,0.0679477927580386,0.903,FALSE,"SPC","TP7_vs_TP1"
"P41250","GARS",-0.602,0.0682907987829606,0.904,FALSE,"SPC","TP7_vs_TP1"
"P06744;CON__Q3ZBD7","GPI",-0.556,0.06908153971756,0.904,FALSE,"SPC","TP7_vs_TP1"
"Q92598","HSPH1",-0.481,0.0684228723957304,0.904,FALSE,"SPC","TP7_vs_TP1"
"Q9P2K5","MYEF2",1.01,0.0686988150504723,0.904,FALSE,"SPC","TP7_vs_TP1"
"P08865","RPSA",1.3,0.0689143423841164,0.904,FALSE,"SPC","TP7_vs_TP1"
"Q96AC1","FERMT2",-1.08,0.0700579245837672,0.905,FALSE,"SPC","TP7_vs_TP1"
"O75369","FLNB",1.09,0.0694156469228263,0.905,FALSE,"SPC","TP7_vs_TP1"
"Q9BXM9","FSD1L",-0.568,0.069303099602981,0.905,FALSE,"SPC","TP7_vs_TP1"
"O14773","TPP1",0.571,0.0697743441175938,0.905,FALSE,"SPC","TP7_vs_TP1"
"P24752","ACAT1",0.796,0.070884225151181,0.906,FALSE,"SPC","TP7_vs_TP1"
"Q9UDT6","CLIP2",-0.898,0.0704445683267853,0.906,FALSE,"SPC","TP7_vs_TP1"
