SYMBOL	ORIGINAL_ID
LAMP3	LAMP3
PSMD11	PSMD11
GSTT2;GSTT2B	GSTT2;GSTT2B
PIGN	PIGN
LOC100233156;MAFIP;TEKT4P2	LOC100233156;MAFIP;TEKT4P2
IL1RAPL2	IL1RAPL2
ARHGEF38	ARHGEF38
WWC3	WWC3
RNA5SP247	RNA5SP247
SNORA74A	SNORA74A
BBX	BBX
GREM1	GREM1
RNA5SP404	RNA5SP404
HTATIP2	HTATIP2
UBE3B	UBE3B
DIAPH2	DIAPH2
TM7SF3	TM7SF3
RNU2-6P	RNU2-6P
GNL3L	GNL3L
EXOSC1	EXOSC1
JAKMIP2-AS1	JAKMIP2-AS1
HTR3A	HTR3A
INPP5B	INPP5B
TAOK1	TAOK1
RNA5SP356	RNA5SP356
ARSD-AS1	ARSD-AS1
MIR3615;SLC9A3R1	MIR3615;SLC9A3R1
PANX3	PANX3
TCTN3	TCTN3
LINC00645	LINC00645
ZSCAN23	ZSCAN23
KIF18A	KIF18A
RBBP7	RBBP7
PTPRF	PTPRF
ZDHHC9	ZDHHC9
OTTHUMG00000160727;RP11-130F10.1	OTTHUMG00000160727;RP11-130F10.1
PNPLA3	PNPLA3
OTTHUMG00000021210;RP3-410B11.1	OTTHUMG00000021210;RP3-410B11.1
PTPN20A;PTPN20B	PTPN20A;PTPN20B
ULK4	ULK4
RALGDS	RALGDS
PIM2	PIM2
GSTT2;GSTT2B	GSTT2;GSTT2B
LY6G5C	LY6G5C
GPI	GPI
CISD2	CISD2
DHX8	DHX8
OTTHUMG00000035848;PLEKHO1;RP11-458I7.4	OTTHUMG00000035848;PLEKHO1;RP11-458I7.4
RAC1	RAC1
FLVCR2	FLVCR2
RTN1	RTN1
KRT19	KRT19
MIR205;MIR205HG	MIR205;MIR205HG
GPR143	GPR143
ATP6AP2	ATP6AP2
VSIG1	VSIG1
IFITM4P	IFITM4P
IFITM4P	IFITM4P
IFITM4P	IFITM4P
PARVA	PARVA
PSAT1	PSAT1
GOLGA7	GOLGA7
DDR1	DDR1
AL109761.5;CHODL;OTTHUMG00000074504	AL109761.5;CHODL;OTTHUMG00000074504
MELK	MELK
IFITM3	IFITM3
PEPD	PEPD
EBF1	EBF1
AAAS	AAAS
AKT3	AKT3
ATP11A	ATP11A
CLCN5	CLCN5
LY6G5C	LY6G5C
LY6G5C	LY6G5C
RASGRF2	RASGRF2
OTTHUMG00000022349;RP11-13E5.2	OTTHUMG00000022349;RP11-13E5.2
ABI1	ABI1
LINC00888	LINC00888
ARHGAP10	ARHGAP10
TRIL	TRIL
WDR44	WDR44
RSF1	RSF1
ZFX	ZFX
IQUB	IQUB
FAM66A	FAM66A
TBX5	TBX5
OTTHUMG00000057529;XX-FW81657B9.5	OTTHUMG00000057529;XX-FW81657B9.5
DKFZp686K1684;RCN1	DKFZp686K1684;RCN1
KATNAL2	KATNAL2
ETV6	ETV6
IFITM4P	IFITM4P
GANAB	GANAB
CCDC88A	CCDC88A
PODXL	PODXL
INADL	INADL
NSFP1	NSFP1
MIR222	MIR222
PODXL2	PODXL2
RFPL2	RFPL2
CDK4	CDK4
SCML2	SCML2
RNU4-1	RNU4-1
TTC18	TTC18
IRAK1;MIR718	IRAK1;MIR718
TMBIM6	TMBIM6
EPCAM	EPCAM
TOX4	TOX4
ZNF426	ZNF426
ALG10	ALG10
CSNK1G3	CSNK1G3
GTF2H3	GTF2H3
ZDHHC4	ZDHHC4
MACROD2	MACROD2
LINC00266-3	LINC00266-3
POU6F2	POU6F2
DPF1	DPF1
PTPN20A;PTPN20B	PTPN20A;PTPN20B
PPP1R9B	PPP1R9B
C5orf34	C5orf34
ZNF674	ZNF674
TYRO3	TYRO3
C1orf112	C1orf112
CMTM8	CMTM8
GEMIN8	GEMIN8
BRP44L;MPC1	BRP44L;MPC1
LOC100996920;OTTHUMG00000085413;RP11-423O2.5	LOC100996920;OTTHUMG00000085413;RP11-423O2.5
