SYMBOL	ORIGINAL_ID
LOC100287934;OTTHUMG00000002404;RP11-206L10.9	LOC100287934;OTTHUMG00000002404;RP11-206L10.9
DHX9	DHX9
SLC25A21	SLC25A21
RHOQ	RHOQ
HIST1H2BK	HIST1H2BK
LYPLA1	LYPLA1
GPR125	GPR125
SRPR	SRPR
EDEM3	EDEM3
CD68	CD68
ALX1	ALX1
CRELD1	CRELD1
MARCH6	MARCH6
TMX4	TMX4
ATP8A2	ATP8A2
SLX4IP	SLX4IP
TP53I3	TP53I3
IQCH	IQCH
PDE4D	PDE4D
AKAP9	AKAP9
ADH5	ADH5
EFEMP1	EFEMP1
MYO3A	MYO3A
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
C21orf91	C21orf91
ZBTB16	ZBTB16
ZNF619	ZNF619
MAD2L2	MAD2L2
OR8A1	OR8A1
FREM2	FREM2
MIR3117	MIR3117
MDK	MDK
SNORD114-1	SNORD114-1
GALNT5	GALNT5
ZMYM4	ZMYM4
DNALI1	DNALI1
C11orf24	C11orf24
LMBRD2	LMBRD2
TACC1	TACC1
ENG	ENG
OTTHUMG00000008421;RP4-668G5.1	OTTHUMG00000008421;RP4-668G5.1
FAM73A;RNA5SP21	FAM73A;RNA5SP21
ZNF681	ZNF681
DFFA	DFFA
ERLEC1	ERLEC1
LONRF2	LONRF2
SLC16A9	SLC16A9
SNORD115-28	SNORD115-28
TMEM108	TMEM108
ESCO2	ESCO2
HMBOX1	HMBOX1
PLAT	PLAT
SEC61A1	SEC61A1
CFB	CFB
ZNF724P	ZNF724P
C1orf144;SZRD1	C1orf144;SZRD1
AGTR1	AGTR1
POP1	POP1
PITPNM2	PITPNM2
LRP4	LRP4
YKT6	YKT6
DHX40	DHX40
UBTF	UBTF
BRD7	BRD7
HNRNPA2B1	HNRNPA2B1
FBXL21	FBXL21
RCBTB2	RCBTB2
ZNF625	ZNF625
EIF2AK3	EIF2AK3
DBF4B	DBF4B
STAMBPL1	STAMBPL1
HIST1H2BO	HIST1H2BO
CDK14	CDK14
C4A;C4B;C4B_2	C4A;C4B;C4B_2
MIR4785;RBMS1	MIR4785;RBMS1
FRAS1	FRAS1
ATIC	ATIC
C4A;C4B;C4B_2	C4A;C4B;C4B_2
MIR4741;RBBP8	MIR4741;RBBP8
MPZL2	MPZL2
SRSF6	SRSF6
GJA5;LOC101060613	GJA5;LOC101060613
KIF18A	KIF18A
PRMT3	PRMT3
PANX3	PANX3
LOC79015;OTTHUMG00000032542;OTTHUMG00000032545;RP11-445H22.3;RP11-445H22.4	LOC79015;OTTHUMG00000032542;OTTHUMG00000032545;RP11-445H22.3;RP11-445H22.4
C4A;C4B;C4B_2	C4A;C4B;C4B_2
C4A;C4B;C4B_2	C4A;C4B;C4B_2
C4A;C4B;C4B_2;DASS-307J8.7;OTTHUMG00000137669	C4A;C4B;C4B_2;DASS-307J8.7;OTTHUMG00000137669
HIST1H2BE	HIST1H2BE
C4A;C4B;C4B_2	C4A;C4B;C4B_2
ADAMTS19	ADAMTS19
TBRG1	TBRG1
C4A;C4B;C4B_2	C4A;C4B;C4B_2
PTPRZ1	PTPRZ1
C4A;C4B;C4B_2	C4A;C4B;C4B_2
ACOT9	ACOT9
RYR2	RYR2
CREBBP	CREBBP
FAM134B	FAM134B
NT5C	NT5C
LTN1	LTN1
ATG13	ATG13
