PROBEID	SYMBOL	ORIGINAL_ID
ILMN_1752935	TMEM30B	ILMN_1752935
ILMN_1694168	MIR2052HG	ILMN_1694168
ILMN_1661194	CLDN14	ILMN_1661194
ILMN_1722642	REEP3	ILMN_1722642
ILMN_1741491	ZNHIT1	ILMN_1741491
ILMN_2182531	TIMM21	ILMN_2182531
ILMN_1795678	POLR3C	ILMN_1795678
ILMN_1771320	LOC401261	ILMN_1771320
ILMN_1746968	PHF1	ILMN_1746968
ILMN_1803476	KCTD20	ILMN_1803476
ILMN_1764098	TRNT1	ILMN_1764098
ILMN_1788457	ABCC4	ILMN_1788457
ILMN_1680714	LIG4	ILMN_1680714
ILMN_2186319	TSPAN2	ILMN_2186319
ILMN_1707475	UBE2E2	ILMN_1707475
ILMN_1734608	ZNF77	ILMN_1734608
ILMN_1717063	FBXO9	ILMN_1717063
ILMN_1680652	SELENBP1	ILMN_1680652
ILMN_2112915	DRD4	ILMN_2112915
ILMN_1675266	NAGPA	ILMN_1675266
ILMN_2153495	WNT7B	ILMN_2153495
ILMN_1666372	ATP5PD	ILMN_1666372
ILMN_1751395	KRI1	ILMN_1751395
ILMN_1703316	INAFM1	ILMN_1703316
ILMN_1668748	MED15	ILMN_1668748
ILMN_1656404	ZNF251	ILMN_1656404
ILMN_1656045	CELF6	ILMN_1656045
ILMN_1703984	TIGD6	ILMN_1703984
ILMN_2172221	SUMO1P3	ILMN_2172221
ILMN_1748476	NOP58	ILMN_1748476
ILMN_2342835	P2RY14	ILMN_2342835
ILMN_1801121	SENP2	ILMN_1801121
ILMN_1661735	NATD1	ILMN_1661735
ILMN_1788887	LINC01089	ILMN_1788887
ILMN_1791376	TERB2	ILMN_1791376
ILMN_1737912	GLRX2	ILMN_1737912
ILMN_2066348	HERPUD2	ILMN_2066348
ILMN_1727271	WARS1	ILMN_1727271
ILMN_2269564	ARID4B	ILMN_2269564
ILMN_2153466	FAM50B	ILMN_2153466
ILMN_1717745	TIAL1	ILMN_1717745
ILMN_1796177	GIPC1	ILMN_1796177
ILMN_1728353	EYA3	ILMN_1728353
ILMN_1678831	GCC2	ILMN_1678831
ILMN_1773620	SMARCC2	ILMN_1773620
ILMN_1769876	TBC1D2	ILMN_1769876
ILMN_2328224	MADD	ILMN_2328224
ILMN_1701558	MAP1A	ILMN_1701558
ILMN_1789733	CLIP3	ILMN_1789733
ILMN_1665696	EFNA4	ILMN_1665696
ILMN_2409290	CCPG1	ILMN_2409290
ILMN_2409290	DNAAF4-CCPG1	ILMN_2409290
ILMN_1726273	ATP6V1G3	ILMN_1726273
ILMN_1665066	NOA1	ILMN_1665066
ILMN_1676626	ARID4A	ILMN_1676626
ILMN_2095597	CDH16	ILMN_2095597
ILMN_1677534	SCAP	ILMN_1677534
ILMN_1793934	PISD	ILMN_1793934
ILMN_2137084	LIN9	ILMN_2137084
ILMN_1729533	NAXE	ILMN_1729533
ILMN_1803609	XKR3	ILMN_1803609
ILMN_2075189	SLC35F2	ILMN_2075189
ILMN_1716384	ATL2	ILMN_1716384
ILMN_1750321	TRANK1	ILMN_1750321
ILMN_1718712	FAM217B	ILMN_1718712
ILMN_1763198	STAT6	ILMN_1763198
ILMN_1696675	CES2	ILMN_1696675
ILMN_1729987	SRC	ILMN_1729987
ILMN_1667079	SPTBN2	ILMN_1667079
ILMN_1814464	RAMP2	ILMN_1814464
ILMN_1727458	HDAC1	ILMN_1727458
ILMN_1682339	BRME1	ILMN_1682339
ILMN_1690761	SURF4	ILMN_1690761
ILMN_1725640	DEFB119	ILMN_1725640
ILMN_1682449	ZNF518B	ILMN_1682449
ILMN_1778709	PICALM	ILMN_1778709
ILMN_1890614	INKA2	ILMN_1890614
ILMN_1733421	PRKCQ	ILMN_1733421
ILMN_2041222	KRT18P55	ILMN_2041222
ILMN_2396020	DUSP6	ILMN_2396020
ILMN_1756873	USP48	ILMN_1756873
ILMN_1726591	CARD16	ILMN_1726591
ILMN_2342841	AFTPH	ILMN_2342841
ILMN_1748109	PEX1	ILMN_1748109
ILMN_2112524	RNF149	ILMN_2112524
ILMN_1654323	UBE3A	ILMN_1654323
ILMN_1651316	CD69	ILMN_1651316
ILMN_1733947	FKBP8	ILMN_1733947
ILMN_1677466	DUSP6	ILMN_1677466
ILMN_1798360	ACKR3	ILMN_1798360
ILMN_1689968	PLEKHO2	ILMN_1689968
ILMN_1799030	CMTM2	ILMN_1799030
ILMN_1795166	PTH1R	ILMN_1795166
ILMN_1678143	ARHGDIB	ILMN_1678143
ILMN_1807807	SKA2	ILMN_1807807
ILMN_1773313	ATP5MK	ILMN_1773313
ILMN_1773313	MIR1307	ILMN_1773313
ILMN_2342084	BCAP29	ILMN_2342084
ILMN_1770048	DPH5	ILMN_1770048
ILMN_1700955	DYNLT2B	ILMN_1700955
ILMN_1793770	DNAJB6	ILMN_1793770
ILMN_1703327	PSTPIP1	ILMN_1703327
ILMN_1781057	IFNW1	ILMN_1781057
ILMN_1791884	SNHG11	ILMN_1791884
ILMN_2133205	GPX2	ILMN_2133205
ILMN_1711102	B3GNT2	ILMN_1711102
ILMN_1706261	SLCO3A1	ILMN_1706261
ILMN_1732452	MAPKAPK3	ILMN_1732452
ILMN_1680399	KAZN	ILMN_1680399
ILMN_1795285	JADE2	ILMN_1795285
ILMN_1742324	SUCO	ILMN_1742324
ILMN_1768732	SPAG16	ILMN_1768732
ILMN_1771627	ZMIZ1	ILMN_1771627
ILMN_1664622	EFR3B	ILMN_1664622
