SYMBOL	ORIGINAL_ID
L3HYPDH	L3HYPDH
URM1	URM1
RABEP2	RABEP2
TMEM86B	TMEM86B
MEPCE	MEPCE
SNORA49	SNORA49
DERL2	DERL2
SERPIND1	SERPIND1
RFNG	RFNG
SNORD114-18	SNORD114-18
LMAN1	LMAN1
GCDH	GCDH
LYSMD3	LYSMD3
MOB1B	MOB1B
PCNX3	PCNX3
DAXX	DAXX
PAGR1	PAGR1
TCF3	TCF3
IPW	IPW
BORCS8-MEF2B	BORCS8-MEF2B
RPS5	RPS5
HPGD	HPGD
BRAT1	BRAT1
AGAP3	AGAP3
ATP6V1E2	ATP6V1E2
OGG1	OGG1
TCF4	TCF4
GNG11	GNG11
B3GAT1	B3GAT1
SSSCA1	SSSCA1
CPNE8	CPNE8
SLC25A45	SLC25A45
ZDHHC8	ZDHHC8
UBALD1	UBALD1
ALKBH7	ALKBH7
MGST2	MGST2
LRIF1	LRIF1
CA11	CA11
E2F1	E2F1
CDR1	CDR1
LZTR1	LZTR1
FAM19A5	FAM19A5
HIST1H2AL	HIST1H2AL
ABTB1	ABTB1
PRSS23	PRSS23
PPM1K	PPM1K
SMIM32	SMIM32
RAB14	RAB14
FBXL16	FBXL16
VCPKMT	VCPKMT
IVD	IVD
BORCS6	BORCS6
SERPINH1	SERPINH1
TSC2	TSC2
ADGRG2	ADGRG2
KRI1	KRI1
PRMT7	PRMT7
PSD	PSD
TIMM44	TIMM44
ZNF593	ZNF593
FAM76B	FAM76B
MTA1	MTA1
MED28	MED28
SREK1	SREK1
PGRMC2	PGRMC2
TMEM68	TMEM68
PDIA3	PDIA3
COMMD10	COMMD10
ZNF491	ZNF491
CACNG7	CACNG7
METTL27	METTL27
ZNF598	ZNF598
NDOR1	NDOR1
ANO8	ANO8
RGMA	RGMA
HSPA1B	HSPA1B
EID1	EID1
MIR3198-2	MIR3198-2
DMPK	DMPK
EHMT1	EHMT1
IRF2BP1	IRF2BP1
AMZ1	AMZ1
COL14A1	COL14A1
TNIP1	TNIP1
RPE	RPE
HTRA3	HTRA3
DACT3	DACT3
DGKZ	DGKZ
LOC105372582	LOC105372582
NATD1	NATD1
FAM228A	FAM228A
MIR3610	MIR3610
PRMT1	PRMT1
ACD	ACD
NCAPG	NCAPG
RNPEPL1	RNPEPL1
GSATII:centr:Satellite	GSATII:centr:Satellite
WDR90	WDR90
HNRNPA0	HNRNPA0
HMX1	HMX1
NCLN	NCLN
ZNHIT2	ZNHIT2
ZNF8	ZNF8
SNORD6	SNORD6
SIRT6	SIRT6
KIF14	KIF14
SARAF	SARAF
RP9	RP9
SOHLH1	SOHLH1
TMEM167B	TMEM167B
SH3GLB2	SH3GLB2
C19orf48	C19orf48
CXorf40A	CXorf40A
PPP6C	PPP6C
C2orf69	C2orf69
MIR548F3	MIR548F3
RASSF7	RASSF7
CIZ1	CIZ1
CPSF4	CPSF4
ACAP2	ACAP2
ZNF316	ZNF316
ZNF775	ZNF775
DIAPH2	DIAPH2
KLRA1P	KLRA1P
C19orf24	C19orf24
TTYH1	TTYH1
RNF115	RNF115
TIMM17B	TIMM17B
PIAS2	PIAS2
TCIM	TCIM
CCDC106	CCDC106
CALHM6	CALHM6
MARK4	MARK4
DNPEP	DNPEP
BICRA	BICRA
PKD1P1	PKD1P1
PRRC1	PRRC1
EIF3G	EIF3G
LINC01547	LINC01547
NBDY	NBDY
IPMK	IPMK
ARMC6	ARMC6
POLD2	POLD2
SH2B1	SH2B1
MIR4664	MIR4664
RBM26	RBM26
RFXAP	RFXAP
ZC3H3	ZC3H3
PUSL1	PUSL1
RGS11	RGS11
FRS3	FRS3
SNORD87	SNORD87
TMEM134	TMEM134
SNORD114-8	SNORD114-8
DECR2	DECR2
ATP2C1	ATP2C1
ELOF1	ELOF1
WASH7P	WASH7P
MTX2	MTX2
TMEM121	TMEM121
CD69	CD69
ATP5IF1	ATP5IF1
MIR6755	MIR6755
ATAD3A	ATAD3A
OAF	OAF
TMEM30A	TMEM30A
NCOR2	NCOR2
ARHGAP33	ARHGAP33
OLFML1	OLFML1
SMPDL3A	SMPDL3A
MIR4751	MIR4751
BROX	BROX
MAIP1	MAIP1
NUDT4	NUDT4
ZNF529	ZNF529
ZRANB2	ZRANB2
CEP57L1	CEP57L1
IQCE	IQCE
Eulor9B:DNA:DNA	Eulor9B:DNA:DNA
RNF217	RNF217
TMEM219	TMEM219
STUB1	STUB1
