drug_name,repurposing_score,avg_degree,avg_betweenness,hub_target_ratio,num_targets,is_approved,is_anti_neoplastic,rank,confidence
ROBUSTIC ACID,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
RS-39604,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
SULANEMADLIN,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
TOPICAL CORTICOSTEROID,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
TRIFLOXYSTROBIN,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
FENOFIBRATE MICRONIZED,0.19407523444784333,92,0.10150708577025484,0.038461538461538464,26,TRUE,FALSE,217,low
PERPHENAZINE,0.19407523444784333,92,0.10150708577025484,0.038461538461538464,26,TRUE,FALSE,217,low
"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.19361878661071155,92,0.10150708577025484,0.04,25,TRUE,FALSE,219,low
BITHIONOL,0.19317794427300697,92,0.10150708577025484,0.041666666666666664,24,TRUE,FALSE,220,low
TRIFLUPROMAZINE,0.1930220976165714,92,0.10150708577025484,0.125,8,TRUE,FALSE,221,low
FLUPHENAZINE HYDROCHLORIDE,0.19275474293465494,92,0.10150708577025484,0.043478260869565216,23,TRUE,FALSE,222,low
THIMEROSAL,0.19275474293465494,92,0.10150708577025484,0.043478260869565216,23,TRUE,FALSE,222,low
MITOXANTRONE,0.19264177119445555,80,0.07968954679202946,0.045454545454545456,44,TRUE,TRUE,224,low
IODOQUINOL,0.1919752156755463,92,0.10150708577025484,0.1111111111111111,9,TRUE,FALSE,225,low
METHIMAZOLE,0.19197134382706704,92,0.10150708577025484,0.047619047619047616,21,TRUE,FALSE,226,low
ALK INHIBITOR TAE684,0.19191362599763237,92,0.10150708577025484,0.2,5,FALSE,TRUE,227,low
AZD7762,0.19191362599763237,92,0.10150708577025484,0.2,5,FALSE,TRUE,227,low
OXALIPLATIN,0.19161781300478778,80,0.07968954679202946,0.047619047619047616,42,TRUE,TRUE,229,low
HYDRALAZINE,0.19161744641474276,92,0.10150708577025484,0.05,20,TRUE,FALSE,230,low
PROPYLTHIOURACIL,0.19161744641474276,92,0.10150708577025484,0.05,20,TRUE,FALSE,230,low
SERTRALINE HYDROCHLORIDE,0.19161744641474276,92,0.10150708577025484,0.05,20,TRUE,FALSE,230,low
ENALAPRIL MALEATE,0.19129405599378002,92,0.10150708577025484,0.05263157894736842,19,TRUE,FALSE,233,low
PYRITHIONE ZINC,0.19129405599378002,92,0.10150708577025484,0.05263157894736842,19,TRUE,FALSE,233,low
TAMOXIFEN CITRATE,0.19129405599378002,92,0.10150708577025484,0.05263157894736842,19,TRUE,FALSE,233,low
TRIAMTERENE,0.19129405599378002,92,0.10150708577025484,0.05263157894736842,19,TRUE,FALSE,233,low
CHLOROXINE,0.19126645288877797,92,0.10150708577025484,0.1,10,TRUE,FALSE,237,low
CLEMASTINE,0.19126645288877797,92,0.10150708577025484,0.1,10,TRUE,FALSE,237,low
THIOTEPA,0.19126645288877797,92,0.10150708577025484,0.1,10,TRUE,FALSE,237,low
CLIOQUINOL,0.19100625706273902,92,0.10150708577025484,0.05555555555555555,18,TRUE,FALSE,240,low
CINNARIZINE,0.1908035949414691,92,0.10150708577025484,0.09090909090909091,11,TRUE,FALSE,241,low
ASTEMIZOLE,0.19056412728786365,92,0.10150708577025484,0.0625,16,TRUE,FALSE,242,low
CLOFIBRATE,0.19056412728786365,92,0.10150708577025484,0.0625,16,TRUE,FALSE,242,low
INOSITOL,0.19056412728786365,92,0.10150708577025484,0.0625,16,TRUE,FALSE,242,low
INDOPROFEN,0.1905251656237548,92,0.10150708577025484,0.08333333333333333,12,TRUE,FALSE,245,low
LOPERAMIDE,0.1905251656237548,92,0.10150708577025484,0.08333333333333333,12,TRUE,FALSE,245,low
AMOXAPINE,0.19042759218899016,92,0.10150708577025484,0.06666666666666667,15,TRUE,FALSE,247,low
CLADRIBINE,0.19042759218899016,92,0.10150708577025484,0.06666666666666667,15,TRUE,FALSE,247,low
ECONAZOLE NITRATE,0.19042759218899016,92,0.10150708577025484,0.06666666666666667,15,TRUE,FALSE,247,low
MAPROTILINE,0.19038860448265166,92,0.10150708577025484,0.07692307692307693,13,TRUE,FALSE,250,low
NITAZOXANIDE,0.19038860448265166,92,0.10150708577025484,0.07692307692307693,13,TRUE,FALSE,250,low
