drug_name,is_approved,is_anti_neoplastic,is_immunotherapy,avg_degree,max_degree,avg_betweenness,max_betweenness,avg_closeness,avg_eigenvector,avg_page_rank,avg_clustering_coef,num_communities,avg_edge_score,avg_neighbor_connectivity,num_targets,hub_target_ratio,bottleneck_target_ratio,avg_interaction_score,avg_interaction_type,drug_id
MILREBRUTINIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.009762908,-1,12163
MILRINONE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,7,0,0,0.989951552775939,-0.5714285714285714,12164
MILRINONE LACTATE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.386712328895204,-1,12165
MILTEFOSINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,6,0,0,0.22909596977504826,-0.16666666666666666,12166
MILTIRONE,FALSE,FALSE,FALSE,22,22,0.007624021255798252,0.007624021255798252,0.4664179104477612,0.1380580235174104,0.0067293917877515215,0.4727272727272728,2,0.7666363636363637,50.36363636363637,5,0,0,0.5657037417499913,0,12167
MILVETEROL,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.8140724222588294,0.5,12168
MILVEXIAN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,2.90749714627475,-1,12169
MIMOPEZIL,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.7721716358190367,0,12170
MIMOSINE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.061269161,0,12171
MINAPRINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,9,0,0,0.23495981935802185,-0.14285714285714285,12172
MINAPRINE HYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,9,0,0,0.07846893827562458,-0.2222222222222222,12173
MINI-TYRRS,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,5.834185692854944,1,12174
MINIMISED INSL5 ANALOGUE 7,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.8751278539282416,1,12175
MINIMISED RELAXIN-3 ANALOGUE 2,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.6876004566579041,1,12176
MINIMISED RELAXIN-3 ANALOGUE 3,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.6876004566579041,-1,12177
MINNELIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,13.12691780892362,0,12178
MINOCYCLINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,9,0,0,0.214168681868199,0,12179
MINOCYCLINE HYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,5,0,0,0.11216270993510184,-0.6,12180
MINODRONIC ACID,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,1.8492285009585552,-0.75,12181
MINOPAFANT,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,4.404875166641208,-0.5,12182
MINOXIDIL,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,12,0,0,0.5063003265353032,0.16666666666666666,12183
MIPICOLEDINE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0,0,12184
MIPOMERSEN,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,0.6758896886728665,0,12185
MIPSAGARGIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,0.865879824070908,-0.75,12186
MIRABEGRON,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,5,0,0,0.4273200816673118,0.6666666666666666,12187
MIRANSERTIB,FALSE,TRUE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,9,0,0,0.6521058605031514,-0.42857142857142855,12188
MIRAVIRSEN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0,0,12189
MIRDAMETINIB,FALSE,TRUE,FALSE,49,92,0.05075354288512742,0.10150708577025484,0.48652911216575995,0.24348570420184387,0.012687651168966887,0.6309178743961352,2,0.7159456521739129,43.92028985507246,22,0.045454545454545456,0.045454545454545456,0.34856227925388245,-0.3125,12190
MIRICORILANT,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.221108633388244,-1,12191
MIRIDESAP,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,13.12691780892362,-0.3333333333333333,12192
MIRIKIZUMAB,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,1.729419330382001,-0.6666666666666666,12193
MIRIPIRIUM,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.1506561324850661,0,12194
MIRIPIRIUM CHLORIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.058471794,0,12195
MIRISTALKONIUM CHLORIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.058471794,0,12196
MIROCOCEPT,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,13.12691780892362,-1,12197
MIROGABALIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.500365296937833,0,12198
MIROGABALIN BESYLATE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.5627283105861456,0,12199
MIRTAZAPINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,20,0,0,0.142903778255889,-0.391304347826087,12200
MIRVETUXIMAB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.917092846427472,0,12201
MIRVETUXIMAB SORAVTANSINE,TRUE,FALSE,FALSE,9,16,0.0037792811573543242,0.0075585623147086485,0.4193286320629587,0.07807469154653099,0.0031870448043410608,0.21428571428571427,2,0.522625,73.625,17,0,0,3.0105493713947107,-0.8333333333333334,12202
MISONIDAZOLE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,1.0240423838507626,0,12203
MISOPROSTOL,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,8,0,0,0.7972710875060529,0.4444444444444444,12204
MISTLETOE EXTRACT,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.6955839599837246,0,12205
MIT1,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.8834273378020845,1,12206
MITAPIVAT,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,8.647096651910003,0.25,12207
MITAPIVAT SULFATE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,17.50255707856483,1,12208
MITEMCINAL,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,10.50153424713889,0,12209
MITEMCINAL FUMARATE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,21.00306849427779,0.5,12210
MITIGLINIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,1.683004503318155,0,12211
MITIGLINIDE CALCIUM DIHYDRATE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.1089982286849267,0,12212
MITIPERSTAT,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,3.11156570285597,-0.6666666666666666,12213
MITOBRONITOL,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.058471794,0,12214
MITOFLAXONE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.7361369594808149,0,12215
MITOGEN-ACTIVATED PROTEIN KINASE INHIBITOR,FALSE,FALSE,FALSE,42,42,0.051584923327986115,0.051584923327986115,0.5122950819672131,0.4296539811315042,0.00986646855651209,0.4619047619047619,2,0.6802857142857143,47.42857142857143,7,0,0.14285714285714285,0.7034431804732307,0,12216
MITOGEN-ACTIVATED PROTEIN KINASE KINASE INHIBITOR,FALSE,TRUE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,6,0,0,0.10649483108208285,0,12217
MITOGLITAZONE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,3.0471118418682392,0,12218
MITOGUAZONE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.500219178,0,12219
MITOMYCIN,TRUE,TRUE,FALSE,92,92,0.10150708577025484,0.10150708577025484,0.589622641509434,0.44949666261067367,0.022796106189732285,0.2618357487922705,2,0.634891304347826,35.17391304347826,25,0.04,0.04,0.40608179059687327,0,12220
