#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
COMPARTMENTS	GOCC:0034774	Secretory granule lumen	11	241	1.15	1.51	1.84e-07	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000394936,9606.ENSP00000450540	MPO,HRG,TTR,C3,ORM1,ITIH4,AHSG,A2M,HP,ORM2,SERPINA3
COMPARTMENTS	GOCC:1903561	Extracellular vesicle	14	500	0.94	1.25	1.84e-07	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000450540,9606.ENSP00000496959	MPO,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,A2M,HP,CR2,HLA-C,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0070062	Extracellular exosome	13	428	0.98	1.27	2.77e-07	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000496959	MPO,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,A2M,HP,CR2,HLA-C,ITGAM
COMPARTMENTS	GOCC:0030141	Secretory granule	14	719	0.78	0.89	1.19e-05	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000394936,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,ORM1,ITIH4,AHSG,A2M,HP,CYBB,GP2,ORM2,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0031093	Platelet alpha granule lumen	6	66	1.45	1.34	2.09e-05	9606.ENSP00000232003,9606.ENSP00000259396,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000394936,9606.ENSP00000450540	HRG,ORM1,AHSG,A2M,ORM2,SERPINA3
COMPARTMENTS	GOCC:0043020	NADPH oxidase complex	4	16	1.89	1.32	7.19e-05	9606.ENSP00000159060,9606.ENSP00000342848,9606.ENSP00000367851,9606.ENSP00000380450	NOX3,NOXA1,CYBB,NOXO1
COMPARTMENTS	GOCC:0031410	Cytoplasmic vesicle	18	1738	0.51	0.51	0.00083	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000394936,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,ORM1,HPX,ITIH4,AHSG,A2M,HP,CD163,ABCA1,HLA-C,CYBB,GP2,ORM2,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0031982	Vesicle	20	2125	0.47	0.49	0.00083	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000394936,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,A2M,HP,CD163,CR2,ABCA1,HLA-C,CYBB,GP2,ORM2,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0062167	Complement component C1q complex	3	10	1.97	0.98	0.0010	9606.ENSP00000245907,9606.ENSP00000363079,9606.ENSP00000385035	C3,MBL2,C1S
COMPARTMENTS	GOCC:0035578	Azurophil granule lumen	5	91	1.24	0.8	0.0016	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000394936,9606.ENSP00000450540	MPO,TTR,C3,ORM2,SERPINA3
