Gene_Symbol,logFC,adjPval,tissue,omic,direction
DECR2,-0.883532287168781,0.0252017499979474,spinal_cord,protein,DOWN
PYCARD,0.80586159821331,0.0252306427760858,spinal_cord,protein,UP
HSPD1,-0.425205987048757,0.0252416566683943,spinal_cord,protein,DOWN
C8A,2.1322174675195,0.0257019987961915,spinal_cord,protein,UP
ATIC,0.701821423469951,0.0257019987961915,spinal_cord,protein,UP
CCS,0.754164233449107,0.0257019987961915,spinal_cord,protein,UP
C8orf82,-0.441137467274396,0.0257019987961915,spinal_cord,protein,DOWN
MRPL11,-0.573295351621074,0.0257019987961915,spinal_cord,protein,DOWN
GCLM,0.457871672209976,0.0257019987961915,spinal_cord,protein,UP
GPX1,0.627086624701766,0.0257019987961915,spinal_cord,protein,UP
MRPL23,-0.489055675045917,0.0257019987961915,spinal_cord,protein,DOWN
MAN2A2,0.392796238284682,0.0257019987961915,spinal_cord,protein,UP
IFI30,1.4698873540917,0.0257019987961915,spinal_cord,protein,UP
ECI1,-0.555230358257592,0.0258952720145834,spinal_cord,protein,DOWN
NAA10,0.351908544068801,0.0264834605611339,spinal_cord,protein,UP
TMX2,-0.418249641071249,0.0264834605611339,spinal_cord,protein,DOWN
LYZ,3.2491397328097,0.0264834605611339,spinal_cord,protein,UP
FBXL17,-0.386338088878159,0.0264834605611339,spinal_cord,protein,DOWN
THRA,-0.460094082730264,0.0264834605611339,spinal_cord,protein,DOWN
APCS,4.23982577451193,0.0269535462050828,spinal_cord,protein,UP
SCO1,-0.383721506044841,0.0270776712705524,spinal_cord,protein,DOWN
ITGB8,-0.646171423796133,0.0270776712705524,spinal_cord,protein,DOWN
QNG1,-0.510489404856502,0.0270776712705524,spinal_cord,protein,DOWN
HSD17B10,-0.403477832239249,0.0271378555772148,spinal_cord,protein,DOWN
PRUNE1,0.399031703479723,0.0272356329760419,spinal_cord,protein,UP
BRINP1,-0.57990566978736,0.0272356329760419,spinal_cord,protein,DOWN
ARPC1B,0.901248124511246,0.0272356329760419,spinal_cord,protein,UP
RHBDD2,-0.626962533215695,0.027328777997485,spinal_cord,protein,DOWN
THEM6,-0.396214408599137,0.027328777997485,spinal_cord,protein,DOWN
IGHA1,3.41407888370268,0.027328777997485,spinal_cord,protein,UP
OPA1,-0.577704488221883,0.027328777997485,spinal_cord,protein,DOWN
MRPL15,-0.44182040982129,0.027328777997485,spinal_cord,protein,DOWN
MAOA,-0.547731431220518,0.0279064181059534,spinal_cord,protein,DOWN
NAAA,0.812691513135007,0.0280018910545559,spinal_cord,protein,UP
ISCU,-0.849979055734382,0.0280018910545559,spinal_cord,protein,DOWN
IDH2,-0.598241223948717,0.0284004740641886,spinal_cord,protein,DOWN
EPM2AIP1,-0.37123241837573,0.0284125728172484,spinal_cord,protein,DOWN
ARPC5,0.505625774048896,0.0284125728172484,spinal_cord,protein,UP
MRPL58,-0.430935700089542,0.0284125728172484,spinal_cord,protein,DOWN
MECR,-0.53136862501788,0.0285659408907767,spinal_cord,protein,DOWN
HSD17B8,-0.442805012536139,0.0287026633513182,spinal_cord,protein,DOWN
PRTN3,2.61002823241919,0.0287026633513182,spinal_cord,protein,UP
ABAT,-0.81515169649669,0.0287026633513182,spinal_cord,protein,DOWN
IGKC,2.26796935287568,0.0292432500326729,spinal_cord,protein,UP
PBLD,0.891299162961587,0.0292432500326729,spinal_cord,protein,UP
NAT8L,-0.564757209438485,0.0292432500326729,spinal_cord,protein,DOWN
TMEM160,-0.646486299198075,0.029559536342645,spinal_cord,protein,DOWN
VDAC3,-0.657241271990086,0.0296492552867392,spinal_cord,protein,DOWN
UBAC2,-0.400264827727502,0.0299009500940069,spinal_cord,protein,DOWN
NDUFS8,-0.584293708314069,0.0299009500940069,spinal_cord,protein,DOWN
M6PR,0.576682012719965,0.0301046991430989,spinal_cord,protein,UP
PSMB9,0.406577609958008,0.0301046991430989,spinal_cord,protein,UP
TARS2,-0.359400184395451,0.0301046991430989,spinal_cord,protein,DOWN
MRPL37,-0.485049707230893,0.0301637750765134,spinal_cord,protein,DOWN
LAMTOR3,0.431212651547946,0.0302683262314134,spinal_cord,protein,UP
MAP1S,-0.58161672466,0.0303527161448528,spinal_cord,protein,DOWN
PSME1,0.603599742827852,0.0308429218406238,spinal_cord,protein,UP
