Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
TSPAN8,DOWN,GEO_merged,-0.7468963236306163,
MBOAT7,DOWN,GEO_merged,-0.138299801256048,
ETV6,DOWN,GEO_merged,-1.0748351663737576,
SLC39A6,DOWN,GEO_merged,-0.4105442987375924,
RGS7,DOWN,GEO_merged,-0.5403597851026644,
ATRX,DOWN,GEO_merged,-1.1341692437843518,
KIF5B,DOWN,GEO_merged,-1.343718473270445,
MYL6,DOWN,GEO_merged,-1.3408547068531969,
COPA,DOWN,GEO_merged,-0.3016711455970822,
EFEMP1,UP,GEO_merged,1.621308654791405,
HLA-DPB1,UP,GEO_merged,2.01240489065346,
FEZ1,DOWN,GEO_merged,-0.3785557153328385,
PRKAA1,DOWN,GEO_merged,-0.9655621593465824,
ATP7A,DOWN,GEO_merged,-1.0349395473444167,
CRABP1,DOWN,GEO_merged,-0.1002401880643434,
ARPC1B,UP,GEO_merged,0.4827084897551379,
NHLH2,DOWN,GEO_merged,-0.8344065652952135,
FNTA,DOWN,GEO_merged,-0.5042641773269795,
HES1,UP,GEO_merged,0.04285459513454,
APBA2,DOWN,GEO_merged,-1.5684797720531083,
HADHB,UP,GEO_merged,0.5049101668972199,
PPP2R1B,DOWN,GEO_merged,-0.310096354405207,
POLB,DOWN,GEO_merged,-1.4582788570612517,
CCDC6,DOWN,GEO_merged,-1.3038085120513043,
APEX1,UP,GEO_merged,0.876117036888212,
STMN1,DOWN,GEO_merged,-0.210036689108229,
PHKG2,UP,GEO_merged,1.1235994306895325,
SEPP1,DOWN,GEO_merged,-0.7826759424308266,
DKK3,DOWN,GEO_merged,-1.0409154855807434,
SEMA4D,UP,GEO_merged,2.042159486593242,
ELF1,UP,GEO_merged,0.067318593274035,
TUBG1,UP,GEO_merged,1.1503589870777036,
ANXA6,DOWN,GEO_merged,-0.5001995463085004,
FAM175B,DOWN,GEO_merged,-1.1920963465924754,
ATP5D,DOWN,GEO_merged,-0.3067028959812088,
RCAN2,DOWN,GEO_merged,-0.4172163455237784,
MERTK,DOWN,GEO_merged,-0.544185334008048,
NCOA6,UP,GEO_merged,1.5408809424884906,
BCL2,UP,GEO_merged,0.1534047367897364,
FYN,DOWN,GEO_merged,-0.1661068137504894,
NPC2,UP,GEO_merged,0.5359157662407145,
ZNF160,UP,GEO_merged,1.351219562853009,
CLCN4,DOWN,GEO_merged,-0.4911325695499275,
YWHAE,DOWN,GEO_merged,-0.4969298554148054,
PTP4A1,DOWN,GEO_merged,-1.070792394947633,
DNMT1,UP,GEO_merged,1.546540642507544,
MAPT,UP,GEO_merged,1.4844582250165974,
PDXK,UP,GEO_merged,1.5895404451253303,
GEM,DOWN,GEO_merged,-0.828476113387934,
RBM42,UP,GEO_merged,1.1519533035686855,
HRH1,DOWN,GEO_merged,-1.078270647986592,
ADCYAP1,DOWN,GEO_merged,-0.6984915970732575,
TUBGCP3,DOWN,GEO_merged,-0.842618084219561,
YWHAB,DOWN,GEO_merged,-0.3266239958128477,
TMEM97,DOWN,GEO_merged,-0.3747985599775901,
GSK3A,DOWN,GEO_merged,-0.2208244499145868,
PLA2R1,DOWN,GEO_merged,-0.8694532944154952,
CSTF1,UP,GEO_merged,1.0670525274734284,
SMG1,DOWN,GEO_merged,-1.0696820506953035,
ERP29,DOWN,GEO_merged,-1.2204334563092825,
LMAN1,DOWN,GEO_merged,-0.5625192151471154,
TUFM,UP,GEO_merged,1.4461905552696517,
ABCC1,DOWN,GEO_merged,-0.3183935705679179,
ALDH2,UP,GEO_merged,0.4050915147051688,
SPINT2,DOWN,GEO_merged,-1.4994211961240291,
GOLGA4,DOWN,GEO_merged,-0.9856170916468284,
SNAPC3,DOWN,GEO_merged,-0.7012647850537255,
CYFIP1,UP,GEO_merged,0.7870338154049765,
UBE2H,UP,GEO_merged,1.0726638410468483,
EBP,DOWN,GEO_merged,-0.5166975664042256,
ZFX,UP,GEO_merged,1.2193357453246585,
HSPH1,DOWN,GEO_merged,-1.403287426680829,
EXOSC7,UP,GEO_merged,1.0805634348438244,
ATF3,DOWN,GEO_merged,-0.886440031837812,
PGM1,UP,GEO_merged,0.3158689704163442,
MXI1,DOWN,GEO_merged,-0.9348082589374505,
INSR,DOWN,GEO_merged,-1.0375643744585694,
PRKCB,DOWN,GEO_merged,-0.5709972304075894,
ABL2,DOWN,GEO_merged,-0.7782598903865503,
PFDN4,DOWN,GEO_merged,-0.98904051604047,
TIMM17A,DOWN,GEO_merged,-0.6416319675222918,
SALL1,UP,GEO_merged,0.7216871623272652,
DCTN2,DOWN,GEO_merged,-0.2430921310589054,
FGFR1,DOWN,GEO_merged,-1.154232355683431,
TUB,DOWN,GEO_merged,-0.3484601214103905,
S100A11,UP,GEO_merged,2.3698515157653466,
CNTN1,DOWN,GEO_merged,-1.2225724219613034,
ACOX1,DOWN,GEO_merged,-0.819112638734875,
TWF1,UP,GEO_merged,0.9382105212412464,
CDH12,DOWN,GEO_merged,-1.402860948091488,
CALCB,DOWN,GEO_merged,-0.9424552872711784,
AGFG1,DOWN,GEO_merged,-0.262887131977361,
NFIB,DOWN,GEO_merged,-0.3061418552537139,
HTRA1,DOWN,GEO_merged,-0.2765873285724203,
CDR2L,UP,GEO_merged,1.3890872630611966,
SLC35B1,UP,GEO_merged,0.5828442911867052,
KANK1,UP,GEO_merged,0.5786272192548756,
NUP98,UP,GEO_merged,0.769048025485999,
OAZ1,UP,GEO_merged,0.2905260595976918,
SMPD1,DOWN,GEO_merged,-0.5647079589798827,
TRIM32,DOWN,GEO_merged,-0.975096800033384,
GRIA2,DOWN,GEO_merged,-0.4979113431062995,
NFATC3,DOWN,GEO_merged,-0.7591415612220644,
EEF1A2,DOWN,GEO_merged,-0.5935303522509998,
KIAA0513,DOWN,GEO_merged,-0.4258886995332091,
SORL1,UP,GEO_merged,0.4316913912676257,
RPS6KB1,UP,GEO_merged,0.9212935120575771,
AUH,DOWN,GEO_merged,-1.2851859328099184,
ATF1,DOWN,GEO_merged,-0.30646462287699,
RPL12,UP,GEO_merged,0.8915215639762425,
RRS1,UP,GEO_merged,0.454595730517116,
RFC3,UP,GEO_merged,1.772281965344873,
FYB,UP,GEO_merged,1.3901461844485965,
ZKSCAN1,DOWN,GEO_merged,-0.3146534869243335,
ATXN2,DOWN,GEO_merged,-0.5083043262539685,
MBTPS1,UP,GEO_merged,1.7471319127106353,
RPS23,UP,GEO_merged,0.1325747729928675,
PPP6C,DOWN,GEO_merged,-0.7506707554028589,
MAX,DOWN,GEO_merged,-1.511252181672685,
CAMLG,DOWN,GEO_merged,-0.5191391164907396,
GDI1,DOWN,GEO_merged,-0.4736971999173155,
MAP2,UP,GEO_merged,0.9224458270079156,
USP8,UP,GEO_merged,0.5348871535287962,
KIAA0226,DOWN,GEO_merged,-0.2338227222237953,
HTR2A,DOWN,GEO_merged,-0.965117936342601,
SERPING1,UP,GEO_merged,1.019985199283128,
HSPB1,UP,GEO_merged,0.48260006610134,
CD164,UP,GEO_merged,0.4631322478512708,
C21orf33,DOWN,GEO_merged,-1.0473045738785542,
NFRKB,DOWN,GEO_merged,-0.9300143998533176,
GCN1L1,DOWN,GEO_merged,-1.2153902614825516,
TRO,DOWN,GEO_merged,-0.4807896487674217,
CX3CL1,UP,GEO_merged,1.4109738019269529,
SLC35F2,UP,GEO_merged,0.7195047718691719,
APLP1,DOWN,GEO_merged,-0.2967223523561827,
PABPC1,UP,GEO_merged,0.830342470827532,
NHLH1,DOWN,GEO_merged,-0.2943862468483245,
PCDH1,UP,GEO_merged,0.06493659391296,
NDRG1,DOWN,GEO_merged,-0.244885510909793,
SMAD4,DOWN,GEO_merged,-0.7862169582594045,
SNRNP27,UP,GEO_merged,0.4849090216610458,
HERC1,DOWN,GEO_merged,-0.88338948861865,
ABCB1,UP,GEO_merged,0.3731868827779985,
PMP2,UP,GEO_merged,0.7735245485142559,
LAPTM5,UP,GEO_merged,1.598624255140515,
NFIL3,UP,GEO_merged,1.3083695046189732,
CASP2,DOWN,GEO_merged,-0.9838940736493188,
ANXA1,UP,GEO_merged,1.5068155654906985,
CDC123,DOWN,GEO_merged,-0.2844146896007091,
