"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UNQ514",-0.260552649140874,1.77013003028158,-4.0230614660759,0.000461182823607531,0.0577288715550887,-0.00196584589096105
"SRF",0.298610264289395,1.58470256298706,3.99645509159354,0.000493916970649663,0.0585267961475345,-0.0638646610146898
"ASAH1",0.214781551264711,1.9675766314003,3.99644307539581,0.000493932260657955,0.0585267961475345,-0.0638926018585311
"ITGA6",0.527706548430152,1.47277405054247,3.99019580992489,0.00050194519735297,0.0585267961475345,-0.0784173480683377
"CSRP2",1.71559387657854,0.0770652563656855,4.05058500852762,0.000525113172229439,0.0585267961475345,-0.0934506887269801
"FOXN3",0.381265988247568,1.41986879817409,3.98013011538194,0.00051512650274093,0.0585267961475345,-0.101812209126483
"RPL27",0.326584742093071,1.59235871805159,3.97340759621812,0.000524119492892184,0.0585267961475345,-0.117431473880084
"ANXA5",0.193856470556627,1.95367735956746,3.96881505019818,0.000530352017710078,0.0585267961475345,-0.12809941989988
"SLC25A26",0.608869419039129,0.948111739421763,3.96544789442575,0.000534967975146008,0.0585267961475345,-0.135919633495392
"PHF10",0.85319165444214,1.10381164410867,3.95930130616367,0.000543496629764181,0.0585267961475345,-0.150192225289471
"CD74",1.45721272774048,0.971112848429171,3.97543091320201,0.000553536657453721,0.0585267961475345,-0.153397792872842
"RPL27A",0.222465981244868,1.84538237111116,3.95696341597326,0.000546775641600481,0.0585267961475345,-0.155619914209756
"MYCBP2",-0.10359007407732,2.32664689121903,-3.94747786228393,0.000560280984555231,0.0585267961475345,-0.177636186148538
"DCN",2.34780131030062,0.396695126187706,4.03487891743277,0.000588233909175069,0.0585267961475345,-0.179359040065836
"CORO2A",-0.289357711191189,1.42671571799452,-3.94425523082233,0.000564943753388422,0.0585267961475345,-0.185113965979886
"TPM2",2.2433017212558,0.23723333190404,3.9592003382138,0.000576769056276899,0.0585267961475345,-0.190239138021936
"CR601100",0.175642463066392,2.44909276872954,3.93732015237227,0.000575108150191129,0.0585267961475345,-0.201202523020235
"AQP1",0.760316788382585,1.73883422080094,3.93600710194058,0.000577052822516894,0.0585267961475345,-0.204248091469317
"EGR1",1.31993503415551,0.739347518736427,3.93517760036741,0.000578284682291422,0.0585267961475345,-0.20617199637079
"SP1",0.776826116512946,1.14212320700835,3.92676025536128,0.000590932489886454,0.0585267961475345,-0.225690753974847
"MAL",0.675817782457649,1.2687018957358,3.94114424910027,0.000603747726610823,0.0585267961475345,-0.231199176873971
"HOPX",0.883091582319562,0.978524776721127,3.9145080913707,0.000609831112197593,0.0585267961475345,-0.254088739797735
"PADI2",0.51110428167288,2.02426072797189,3.91182368404447,0.0006140506046021,0.0585267961475345,-0.26030851817372
"WBSCR5",2.73010035793254,-0.060242811075585,4.10525006545003,0.000650789161523918,0.0585267961475345,-0.276271040884114
"THBS2",1.26118172198747,0.278432858991906,3.90328261234787,0.000627668177552136,0.0585267961475345,-0.280093055979604
"WASF2",0.722396869799304,1.05683533842522,3.9014835317891,0.000630574272596905,0.0585267961475345,-0.284259440100915
"RPL36",0.466984755961676,1.29774453343916,3.8979241054288,0.000636362997626257,0.0585267961475345,-0.292501465292816
"PABPC3",0.344878953606306,1.44387254781709,3.89696205948534,0.00063793654559875,0.0585267961475345,-0.294728891636525
"GLDN",0.641459439267872,1.10564807064809,3.91378350330278,0.000647021207377281,0.0585267961475345,-0.295764184318997
"YBX1",0.53393598710204,1.18893362017391,3.89551418954289,0.000640311946511685,0.0585267961475345,-0.298080955488811
"NOTCH2NL",0.984553279181468,0.765078144383693,3.88215854910999,0.000662638255281542,0.058815041236241,-0.328990576041647
"ELK4",1.47217146470076,0.75110460364824,3.87615410852458,0.000672923835132846,0.058815041236241,-0.342880439578771
"SLK",0.151473314274785,2.07561716257298,3.8760852578126,0.000673042682828624,0.058815041236241,-0.343039685863629
"RPL36AL",0.355641621865083,1.49105806587646,3.87179034384253,0.00068049740114121,0.0589107236146825,-0.352972417225608
"LAMC1",0.595413578762167,1.05965446785366,3.86443620125013,0.00069345121200337,0.0589280272218629,-0.369975235157771
"SNX5",0.391217026780934,1.43329023106964,3.85794765226311,0.000705081637527886,0.0589280272218629,-0.384971598584067
"ARHGAP29",0.23396328167599,1.64385932182749,3.85736748850277,0.000706130854375975,0.0589280272218629,-0.386312236506916
"STMN1",0.245822799839739,1.90635689562899,3.85610215412274,0.000708424523046531,0.0589280272218629,-0.389236024602562
"PTPRZ1",0.856012684726232,1.3087166498791,3.85386072396222,0.000712505565027383,0.0589280272218629,-0.39441480031461
"FIBL-5",1.70295213723208,0.602193752147887,3.86008485356893,0.000741038519108363,0.0590524880548704,-0.414729654026623
"BBX",0.323153632886771,1.52951032630633,3.84184783608132,0.000734775109520003,0.0590524880548704,-0.422160180988611
"CTNNA1",0.50205926689686,1.38514558941251,3.84061862383611,0.000737092076630729,0.0590524880548704,-0.424998240599957
"IFITM3",1.92011856851219,0.44175831144896,3.92017515504027,0.000774522295275168,0.0590524880548704,-0.425527359427361
"APLNR",1.07323971943865,1.63165040905314,3.83534831372344,0.000747107906452293,0.0590524880548704,-0.437164501413378
"IFITM1",1.71426281815628,0.795951264361559,3.93638064130689,0.000803261739707834,0.0590524880548704,-0.449432575811763
"RPL11",0.280750912234735,1.99475746684733,3.8230737833932,0.000770956422151901,0.0590524880548704,-0.465486565965387
"NEK3",1.52876993714064,-0.0241606460985543,3.85403161641964,0.000797756280166729,0.0590524880548704,-0.467463795692522
"FAM36A",0.195647152531557,2.03274363308025,3.81974946379912,0.00077754310731215,0.0590524880548704,-0.473153860189247
"WDR6",2.69249091488111,-0.652494298522725,3.81953711111489,0.000777965729666164,0.0590524880548704,-0.473643589172887
"RPS5",0.743162291102037,0.473900363021336,3.81944080249501,0.000778157476609992,0.0590524880548704,-0.473865694819626
"PARVA",0.421454520930256,1.28753870813711,3.83272553793888,0.000793995756851694,0.0590524880548704,-0.479851302509521
"RAB31",0.325469416599778,1.67609678541225,3.81179345823164,0.000793532270118307,0.0590524880548704,-0.491498202635139
"FCER1G",1.71084173406451,0.441743168050839,3.95088595742201,0.000842286248982245,0.0601014350506589,-0.498545105090345
"AK127910",0.380041382108707,1.84339487343899,3.80254789714231,0.00081251926508596,0.0592627240353642,-0.512805894552653
"RPS24",0.244517718731103,1.64708933716037,3.79226488225001,0.000834161336889586,0.0601014350506589,-0.536491730470122
"MIR16",0.120881458649021,2.01086427810149,3.78791612266293,0.000843483380825397,0.0601014350506589,-0.546504528569343
"HSP90B1",0.0940925238283152,2.51164179371412,3.78260309445208,0.000855011382676013,0.0604577896009764,-0.55873415812782
"HNRNPH3",0.175072337915771,2.20071872848975,3.77925232898198,0.00086236115324758,0.060515540625245,-0.566445108269558
"ID3",1.97006920125925,0.397801675527761,4.08915983121008,0.000747694668748525,0.0590524880548704,-0.566886541581797
"GTF2F2",0.375378408994232,1.28100818751338,3.76653030565467,0.000890835545755617,0.0620436816566487,-0.595708103957469
"PFKFB2",0.456468977879645,1.18979664953293,3.76267351015957,0.000899648686023473,0.0621898938704137,-0.604575160387792
"MAP2K4",-0.192058884372023,2.17315968783295,-3.75580016500781,0.000915567549221695,0.0626931330083563,-0.620372489383163
"MADD",-0.323989228240977,1.35109950028744,-3.75370920680055,0.000920464869819331,0.0626931330083563,-0.625176958101203
"FLT1",3.00868467152134,-0.11777583158918,3.80244953623518,0.000962809169958494,0.0638318533838181,-0.625757333576336
"KCNA3",2.1495241162992,-0.137763826211087,3.84966364740803,0.000984533759125474,0.0638318533838181,-0.626284985405117
"ERBB2IP",0.337470348923836,1.82772101185947,3.74757847570655,0.000934972547317282,0.0632164285094889,-0.639260294829248
"EFEMP1",1.14695076869524,0.716384328250025,3.77464692627414,0.000971289277762789,0.0638318533838181,-0.645353758764899
"TGM2",1.53316020248192,0.481457761180844,3.80832716024173,0.00101234048598209,0.0647943305826821,-0.6578524682031
"CST3",1.57978820647225,0.135462062958642,3.73237657312007,0.000971920754572875,0.0638318533838181,-0.674159143333457
"OLR1",2.3947771033755,0.34876944037868,3.77543896796771,0.00102825937554294,0.0647943305826821,-0.681622378908636
"LASS1",0.383264557289411,1.49086684516028,3.72766199718628,0.000983667725442298,0.0638318533838181,-0.684975744951048
