"Probe_ID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2203876","CCDC68",0.00583881708998923,6.59686972672718,0.697489070841278,0.485715502877847,0.638518578945812,-6.7833104481385
"ILMN_1721801","GDAP1",0.00577440026668707,6.5257056878316,0.697456129252833,0.485736099457158,0.638518578945812,-6.78333326151599
"ILMN_2400884","PCDHA3",0.00562535623313387,6.5408813452523,0.697434990641879,0.485749316527567,0.638518578945812,-6.78334790028914
"ILMN_1689525","PMAIP1",-0.00652708988094641,6.60525885304151,-0.697322896659013,0.485819407365019,0.638582573442254,-6.78342551947937
"ILMN_1811277","TRIM13",-0.00640695665926128,6.62518552039757,-0.697208636445486,0.485890858359595,0.638648350071237,-6.78350462584729
"ILMN_1657837","ZC3H8",0.00903729803082598,6.64494040842008,0.696993600690916,0.4860253433484,0.638796968279995,-6.78365346756121
"ILMN_1741021","CH25H",0.00644423162853158,6.56445632169025,0.696859447195706,0.486109254177918,0.63887910526181,-6.78374630161914
"ILMN_1661673","SNHG4",0.00523902520560515,6.55654657563335,0.696713047729424,0.486200833621075,0.638952632307332,-6.78384758951008
"ILMN_1671092","SOX17",-0.00543746847333182,6.55757180092339,-0.696695702642634,0.486211684371479,0.638952632307332,-6.7838595884685
"ILMN_1691295","PVRL1",0.00682156565513647,6.63703382579157,0.696667290546824,0.486229458711915,0.638952632307332,-6.78387924270126
"ILMN_1732555","B4GALT6",0.00659225379112272,6.56875149187381,0.696533699925291,0.486313036470049,0.639034193275649,-6.783971644062
"ILMN_1806052","UNC119",-0.0155583029218276,6.9826190863842,-0.696499602493627,0.486334369954535,0.639034193275649,-6.78399522558531
"ILMN_1727065","FLJ42289",0.0056979417795695,6.54478131208129,0.696341900349474,0.486433044867907,0.639135696974394,-6.78410427618706
"ILMN_1762103","WDR48",0.0182577860942228,8.44791903418247,0.69623897663785,0.486497450527478,0.639152162924432,-6.78417543435253
"ILMN_1785069","CAPN10",0.00509056654734508,6.57110987475062,0.696217670968531,0.486510783364501,0.639152162924432,-6.78419016309916
"ILMN_1727084","ADAMTSL1",-0.00621014003223674,6.57702504377743,-0.696185166631485,0.48653112457723,0.639152162924432,-6.78421263268986
"ILMN_2182656","APBA1",-0.00542254312460155,6.53953727335767,-0.696184913930053,0.48653128271958,0.639152162924432,-6.78421280737313
