"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"U01120_at",0.83542408212219,9.60361599982997,0.742611354098572,0.473277138046715,0.778155666509367,-6.04562380805974,"G6PC"
"M89914_s_at",0.929367628611717,4.91334385854936,0.742092539085381,0.473578935393031,0.77847083776534,-6.04601085609828,"LOC101930150 /// NF1"
"X86401_s_at",-0.86407218331761,9.53972620016325,-0.741783086926922,0.473759002782846,0.778581608026871,-6.0462415984811,"GATM"
"M12783_at",0.215851702753912,4.45928826936712,0.741538967451456,0.473901083984777,0.778581608026871,-6.04642356445318,"PDGFB"
"HG1723-HT1729_at",-0.253053974416151,11.4510823964658,-0.741409071914568,0.4739766960322,0.778581608026871,-6.04652036620855,""
"J04058_at",0.383325632720402,9.6662780956283,0.740827732842818,0.474315185556614,0.778956646198667,-6.046953408831,"ETFA"
"Z75330_at",0.962064524211228,6.10689490851669,0.739746894491682,0.47494491537279,0.779809696164799,-6.04775771683184,"STAG1"
"D00762_at",0.282238562027137,10.6614824954037,0.739077208910279,0.475335357544027,0.780104495649539,-6.04825553313245,"PSMA3"
"Y10209_at",-1.08020282186859,7.3725432593285,-0.739007151649529,0.475376214154525,0.780104495649539,-6.04830758727067,""
"U31929_s_at",-0.319070625487447,10.1319235145011,-0.738548293315384,0.475643869553104,0.780104495649539,-6.04864841935892,"NR0B1"
"D50310_at",0.246048223124602,14.2508176529387,0.738529528359782,0.475654817295013,0.780104495649539,-6.04866235357974,"CCNI"
"X71135_at",-1.12118464436201,5.96560504597587,-0.738492939552467,0.475676164178948,0.780104495649539,-6.04868952227062,"SOX3"
"X66610_at",-0.629792688112887,5.6298950836575,-0.736016098826675,0.477122612400345,0.781975792281806,-6.05052585284294,""
"U69140_s_at",0.779348370275478,9.21756684561256,0.735760959398424,0.477271767020814,0.781975792281806,-6.05071469684228,"FEZ2"
"D85429_at",-0.205215313128273,13.1362290480784,-0.735677904832037,0.477320327038013,0.781975792281806,-6.05077615775279,"DNAJB1"
"S57212_s_at",-0.33437391641008,10.9143127834926,-0.735574609839256,0.477380725452597,0.781975792281806,-6.05085258796521,"MEF2C"
"J03263_s_at",-0.564818791700155,10.4211318609811,-0.735544676664769,0.477398228802453,0.781975792281806,-6.0508747343608,"LAMP1"
"HG2999-HT4756_s_at",1.01966191562787,8.06609901180414,0.735403419745169,0.477480833844492,0.781975792281806,-6.05097923389611,""
"U55206_at",-0.743181355274767,7.98262881241028,-0.735177161545273,0.477613165021346,0.78201136560929,-6.05114657820039,"GGH"
"Z81326_at",-0.978432118193462,10.4579876183045,-0.73486325990488,0.477796793947806,0.782018819103251,-6.05137866801046,"SERPINI1"
"M64925_at",-0.3154119640699,10.574734228973,-0.734701885188344,0.477891213485787,0.782018819103251,-6.05149794896895,"MPP1"
"L41870_at",0.334197222748546,9.40721564519687,0.734418520343914,0.478057037004596,0.782018819103251,-6.05170734229789,"RB1"
"M28827_at",0.20470848675373,4.45219713191246,0.734379227266762,0.478080033926696,0.782018819103251,-6.05173637227752,"CD1C"
"M36118_s_at",-1.06284580458069,7.60240534313669,-0.734105792555862,0.478240085215205,0.782018819103251,-6.0519383487493,"GZMH"
"S39329_at",-0.812986827859557,5.88147266295652,-0.733996657569349,0.478303975224993,0.782018819103251,-6.05201894389681,"KLK2"
"Z67743_at",-0.361895356358811,10.9298979886328,-0.733617417716929,0.478526031918171,0.782018819103251,-6.05229892472779,"CLCN7"
"M98447_rna1_at",-1.10941925693232,7.92804602264306,-0.733602089596191,0.478535008359397,0.782018819103251,-6.05231023824701,"TGM1"
"M91036_rna1_at",1.21477396084489,6.72526802402647,0.733468551907729,0.47861321502967,0.782018819103251,-6.05240879192544,"HBG1 /// HBG2"
"J00209_f_at",0.74817719155739,5.67735977645355,0.733169493487709,0.47878838821638,0.782102113730271,-6.05262944463771,"IFNA10"
"D49410_at",-0.352409021334065,11.3715897580109,-0.732939828106016,0.478922941619173,0.782102113730271,-6.05279884223616,"IL3RA"
"M27160_at",-0.943063754849442,5.29036202984289,-0.73281503928784,0.478996061167196,0.782102113730271,-6.05289086440654,"TYR"
"L48516_at",0.987274987370868,6.18757772919581,0.732547794932168,0.479152675408844,0.782147492519497,-6.05308788895237,"PON3"
"M60314_at",-0.716527161522871,5.05601150144398,-0.73202188265577,0.479460970949347,0.782147492519497,-6.05347542539608,"BMP5"
"M77481_rna1_f_at",-0.520118409638745,4.85084943677926,-0.731970026840109,0.479491376085657,0.782147492519497,-6.05351362349907,"MAGEA1"
"U52373_s_at",0.861896319796248,5.72864742294037,0.731678896738688,0.479662099584061,0.782147492519497,-6.05372803073403,"DYRK1A"
"D49950_at",-0.617353856875596,9.52489334273222,-0.731659519813014,0.479673463876195,0.782147492519497,-6.05374229843136,"IL18"
"D79989_at",-1.17130510788841,8.30592637291368,-0.73148448035588,0.479776129631026,0.782147492519497,-6.05387116871912,"AGAP2"
"M34516_r_at",-0.361943212719298,11.2929764034502,-0.731446757930682,0.4797982567266,0.782147492519497,-6.05389893766156,"IGLL5"
"D13644_at",-1.08482171028699,5.50895158869466,-0.730838622994813,0.480155062156836,0.782486343017291,-6.05434643068732,"USP6NL /// USP6NL-IT1"
"U47634_at",-0.414394321761524,13.3988918093596,-0.730543434339041,0.480328314983494,0.782486343017291,-6.05456352242077,"TUBB3"
"U36922_at",-0.889369423390569,9.57140908978233,-0.730510261056412,0.480347787555354,0.782486343017291,-6.0545879142183,"FOXO1"
"X03689_s_at",1.13153279748071,13.6770222613999,0.73017447274045,0.480544921464731,0.782486343017291,-6.05483475773721,"EEF1A1"
"U89336_cds3_at",-0.37885880166678,11.0525376834963,-0.730149635010261,0.480559505145839,0.782486343017291,-6.05485301228414,"AGER"
"X77794_at",0.285502987277384,10.671184474702,0.729659448457457,0.480847378584926,0.782774802347554,-6.05521316108315,"CCNG1"
"U73191_at",0.669129502672839,5.59684616121919,0.728930532996238,0.481275649260815,0.783291629897321,-6.05574830363911,"KCNJ15"
"X07979_at",0.239257880738863,13.4829099242256,0.728516501817721,0.481519016720156,0.78350735286801,-6.05605205437128,"ITGB1"
"X56088_s_at",-0.656864136999254,5.36011560735548,-0.727532158317367,0.482097920402481,0.784268821271408,-6.05677358318252,"CYP7A1"
"D86550_at",-0.256383644303055,9.18969926950476,-0.726696514925586,0.482589710631112,0.784772941729498,-6.05738542098005,"DYRK1A"
"D64158_at",-0.34708970801473,10.1960625471181,-0.726628403361901,0.482629809142837,0.784772941729498,-6.05743526255379,"TXNDC9"
"M76482_at",0.788846477960339,8.7509623365818,0.726304006244191,0.48282081595301,0.784903005009836,-6.05767258655773,"DSG3"
"X54816_at",-1.15830837369983,8.68929185883772,-0.725466918286831,0.483313914378748,0.784939338337346,-6.05828454405905,"AMBP"
"M62810_at",-0.625481816063346,4.96737594493791,-0.725365556639173,0.483373644051587,0.784939338337346,-6.05835860163683,"TFAM"
"HG2238-HT2321_s_at",-0.250473843085182,12.2195722680853,-0.725215761415681,0.483461922689843,0.784939338337346,-6.05846802894261,""
"U18235_at",0.987119949775916,5.72617950060754,0.725154115871335,0.483498255084237,0.784939338337346,-6.05851305584707,"ABCA2"
"U25849_at",0.99245225204994,8.85915444529313,0.725068643505578,0.483548633229174,0.784939338337346,-6.05857548051194,"ACP1"
"D14664_at",1.05279746087104,8.33331722706318,0.724748376091579,0.483737430497066,0.784939338337346,-6.05880932824769,"CD302 /// LY75 /// LY75-CD302"
"M34065_at",-1.01538981035664,6.26217630995056,-0.724671920996154,0.483782507434211,0.784939338337346,-6.05886513916809,"CDC25C"
"X64037_at",0.904543658816358,10.2057497094206,0.724630869743889,0.483806711795523,0.784939338337346,-6.05889510368378,"GTF2F1"
"U64520_at",-0.942859941625983,7.93256949100551,-0.724570375451859,0.483842381396627,0.784939338337346,-6.05893925744295,"VAMP3"
"M38591_at",0.518567048487604,12.8600163597778,0.723965834347195,0.484198929898777,0.785216201582477,-6.05938031830421,"S100A10"
