Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TWIST2,0.112585138888889,4.34454880952381,2.48350117948374,0.0170149424122149,0.0612060588491014,-3.91025845295615
S100A2,0.0909843055555557,5.21053714285714,2.48340703714886,0.017018859146493,0.0612170255833993,-3.9104647501264
OTTHUMG00000164566;RP11-26J3.1,0.0981491666666656,3.91302023809524,2.48324681389103,0.0170255270202752,0.0612316043207647,-3.91081583919661
OR12D3,0.165753749999999,3.75277976190476,2.48319656286338,0.0170276187629443,0.0612316043207647,-3.91092594824281
MIR320D1,0.204025416666668,6.11339261904762,2.48318448230294,0.0170281216615691,0.0612316043207647,-3.91095241867783
HMGN2P25,-0.339878611111107,9.49019642857143,-2.48272755701513,0.0170471527983916,0.0612875385808,-3.91195354449456
TMOD1,0.259114027777776,7.12803404761905,2.48256160196067,0.0170540696799275,0.0613030305335404,-3.91231711898102
PRSS55,0.11095375,4.21743714285714,2.48245791224973,0.0170583926827595,0.0613154448096965,-3.91254427331196
TFEB,0.0622936111111096,4.6084669047619,2.48238288157873,0.0170615214614853,0.0613204402216047,-3.91270863952537
AC018705.5;LOC100129427;OTTHUMG00000155976,0.139326527777778,4.84970404761905,2.48232290218798,0.0170640229767548,0.0613263054777394,-3.91284003093676
CPB2,0.11973486111111,3.88013714285714,2.48217898877417,0.0170700264237375,0.0613416292219741,-3.91315527936108
ARHGDIA,0.0914794444444453,6.65885785714286,2.48179085525009,0.0170862272457432,0.0613904628108594,-3.91400543443434
KPNA6;LOC100652828;LOC100653335;OTTHUMG00000004332;RP4-622L5.2,-0.137079027777773,10.0262469047619,-2.48157097021445,0.0170954115156918,0.061410946735999,-3.91448701955543
OSBPL11,-0.150240972222223,8.74761690476191,-2.48144972611522,0.0171004776184542,0.0614260165581543,-3.91475255088591
BABAM1,-0.0893919444444471,9.47377833333333,-2.48099707238767,0.0171194034988954,0.0614760926906595,-3.91574380239917
POLR3B,-0.271055555555556,8.57760333333333,-2.4809512239856,0.0171213215245674,0.0614760926906595,-3.9158441967964
OTTHUMG00000014749;RP1-261G23.5,0.173340972222223,4.2094980952381,2.48044308336707,0.0171425921910639,0.061539680788516,-3.91695678146537
OAZ2,-0.197894583333332,7.84861738095238,-2.48026669892052,0.0171499812185542,0.0615568060604692,-3.91734293926905
ZNF25;ZNF33A,-0.177402638888889,9.45356928571429,-2.4802155466621,0.0171521246097054,0.0615613661687748,-3.91745492288956
HSPA12B,0.0705013888888892,5.02864261904762,2.4800526813862,0.0171589506403213,0.0615797588683122,-3.91781145958419
PPP3CA,0.178866805555556,9.73253904761905,2.47991116964701,0.0171648837016648,0.0615946213449603,-3.91812123600092
OTTHUMG00000017533;RP11-363N22.2,0.177770972222223,4.66496119047619,2.47969556853657,0.0171739266365008,0.0616176652516253,-3.91859317251841
PLA2G4D,0.0781269444444472,4.33964285714286,2.47924586812531,0.0171928022981038,0.0616635995459153,-3.91957743849345
CPNE1;RBM12,-0.112345833333329,11.6170357142857,-2.47923233520764,0.0171933706187641,0.0616635995459153,-3.91960705613018
CCDC117,-0.226513611111113,8.40378642857143,-2.47922391261518,0.0171937243377462,0.0616635995459153,-3.91962548943976
HSD3B7,0.0953693055555531,4.40742785714286,2.4790445152278,0.017201259960643,0.0616874882382112,-3.92001809946701
BATF,0.123135972222224,5.43866952380952,2.47848447085672,0.0172248040349138,0.0617536839289348,-3.92124361677434
BACE2,0.256107222222223,5.55399309523809,2.4784371743322,0.0172267937040135,0.0617570746435615,-3.92134710396429
PLEKHH1,0.191858055555553,6.66620095238095,2.47840633513916,0.0172280911588713,0.0617585865296132,-3.92141458088723
WDR88,0.105270138888889,4.37171714285714,2.47835689792474,0.0172301712477797,0.0617629036752652,-3.92152274943904
DNTTIP1,-0.0992501388888902,7.62666785714286,-2.47830646872709,0.0172322933096992,0.061764877353396,-3.92163308679211
TBCC,0.160881388888891,5.523795,2.47823975690576,0.0172351009094548,0.061764877353396,-3.92177904739617
LIPN,0.107600138888889,3.45144523809524,2.47797325345059,0.0172463209826002,0.0617932055808084,-3.92236210832461
SLC16A6,-0.618170277777777,7.54942261904762,-2.47788961986922,0.0172498434105121,0.0618020070534214,-3.92254507370584
GRIK1-AS1,0.11844625,3.93045023809524,2.47756941649798,0.0172633355788218,0.061847204217691,-3.92324554082585
UBE4A,-0.178108333333331,11.7847071428571,-2.4774372713955,0.0172689064700727,0.0618608772788611,-3.92353459775072
THNSL2,0.289234999999998,5.68138047619048,2.47720355287365,0.0172787634270696,0.0618825112567386,-3.92404581033342
LOC84931,0.154765277777778,3.35461952380952,2.47719004788524,0.0172793331490109,0.0618825112567386,-3.92407534869939
KIAA1217,-0.430982361111107,8.42770880952381,-2.47711497893067,0.0172825003216181,0.0618875683041269,-3.92423953874796
FAM66D,-0.317950416666664,7.67265404761905,-2.47706095137761,0.0172847800799,0.0618925892650311,-3.92435770496342
HMGB2,-0.4306375,8.47352309523809,-2.47677432697647,0.0172968791121058,0.0619246459346699,-3.92498456260909
RNY4P7,0.180407638888888,7.09771119047619,2.47676566495664,0.0172972448742547,0.0619246459346699,-3.92500350590932
RNF5;RNF5P1,0.247313611111109,9.17760761904762,2.47668289262893,0.0173007403698688,0.0619340158936171,-3.92518452136635
OTTHUMG00000163751;RP11-459E5.1,0.0843598611111123,4.30837952380952,2.47644165969697,0.0173109313540086,0.0619579177770374,-3.9257120498448
WDFY4,0.0577330555555569,3.96141642857143,2.47633198607274,0.0173155663631349,0.0619654891359366,-3.92595187159659
CALM1;CALM2;CALM3,-0.128305555555555,12.8956880952381,-2.47632923252799,0.0173156827474994,0.0619654891359366,-3.92595789263177
PTPMT1,-0.0884794444444408,7.9575980952381,-2.47604463401205,0.0173277157336009,0.0619991119574196,-3.92658018270028
TRBV7-4,0.168764027777778,4.30170047619048,2.47589351799449,0.0173341080893887,0.062018837440412,-3.92691058438163
DPM1,-0.0924166666666633,11.6221904761905,-2.47539052106522,0.0173554007785733,0.0620887195813589,-3.92801023393994
CERS6-AS1,0.180080277777776,6.10717523809524,2.47520700702242,0.0173631751403335,0.0621102308101313,-3.92841139000908
ANAPC4,-0.103127499999999,8.03654666666667,-2.47516126410003,0.0173651134788901,0.0621140138908383,-3.92851137918126
LOC647264,-0.349771111111113,4.2955919047619,-2.47513519159057,0.0173662183792329,0.0621148155783659,-3.92856837030246
CATSPER1,0.0795862499999989,3.60210619047619,2.47476076787211,0.0173820927416209,0.0621652886260628,-3.92938676256431
ZDHHC3,-0.111301111111112,7.52923880952381,-2.47453264904346,0.0173917707030556,0.0621904393718484,-3.92988532535701
AC140481.2;LOC646743;OTTHUMG00000153992;TISP43,0.0641095833333325,3.51137404761905,2.47426930921391,0.0174029490009093,0.0622223815366445,-3.93046082242359
CASP1,0.114633611111111,3.76633380952381,2.47409494997908,0.0174103538221665,0.0622411102854285,-3.93084183811872
CCDC27,0.0761958333333332,4.19636714285714,2.47388499007539,0.0174192743552584,0.0622603763294251,-3.93130062301758
