Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4,-2.21114222222222,8.75060111111111,-16.7900515765167,8.27335716573839e-19,6.944371355109229e-16,32.7776622791886
CNTN3,1.61811166666666,6.31359361111111,16.7840733077086,8.369915703873691e-19,6.944371355109229e-16,32.7662975587948
MFSD6,1.60359666666667,7.63454333333333,16.7018481031485,9.82140171242196e-19,8.05389201122249e-16,32.6096387986727
ANKDD1A,0.597680555555555,6.5577475,16.6919904256948,1.00119261367604e-18,8.115759390146559e-16,32.5908138726067
STXBP5-AS1,0.694815000000001,5.36104916666667,16.6374231320951,1.1137197586015399e-18,8.82504028492771e-16,32.4864384986521
GJC1,-0.901717222222225,7.55726083333333,-16.6171170595957,1.1588304889176e-18,8.873505953385269e-16,32.4475238272948
SH3D19,-1.28269388888889,6.74262361111111,-16.6151238016927,1.16335824348704e-18,8.873505953385269e-16,32.4437017820112
AKT3,0.981086666666673,9.83393444444444,16.6121417856311,1.17016583762011e-18,8.873505953385269e-16,32.4379830865998
ODAM,5.86223888888889,8.80400833333333,16.6046757488573,1.1873893741740599e-18,8.9083256207316e-16,32.4236614748385
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4,-3.24886333333333,5.02657777777778,-16.5583234784431,1.30028787291348e-18,9.55210433973721e-16,32.3346257390239
COMMD10,-0.57677888888889,7.07629666666667,-16.5490811308474,1.32408248735488e-18,9.61271236014083e-16,32.3168475796677
SLC16A7,1.28125277777778,6.93597583333333,16.5413878600413,1.3442287088158e-18,9.61271236014083e-16,32.30204280512
NBLA00301;OTTHUMG00000160783;RP11-471J12.1,1.16147277777778,4.55056861111111,16.5394207997683,1.3494300067409799e-18,9.61271236014083e-16,32.2982565077938
KRT18,-2.75912166666667,9.13734027777778,-16.4958641422465,1.4700360163882498e-18,1.0367134998374901e-15,32.2143196596582
NT5DC1,-0.961572777777777,7.64557305555556,-16.4555397324131,1.59152727628022e-18,1.10856501269589e-15,32.1364461522557
TPST1,1.43044555555556,8.63876,16.4470021192993,1.61854181628113e-18,1.10856501269589e-15,32.1199380760773
CENPE,-2.53539111111111,7.73966277777778,-16.4385292863342,1.6458156189985799e-18,1.1160370663330501e-15,32.1035481827687
TAPT1,1.27121444444444,8.43242055555556,16.4187167152163,1.71144324457406e-18,1.1494867803533e-15,32.0651951094168
C19orf82,-1.10163666666667,7.28237555555556,-16.402700076356,1.7664519670451e-18,1.1668951847403202e-15,32.0341619617276
CYTH1,0.772448888888888,7.64567444444444,16.4015545862633,1.77045481285842e-18,1.1668951847403202e-15,32.0319415419981
LOC100506453;OTTHUMG00000067421;RP11-706O15.5,-1.29591444444445,10.9350538888889,-16.3792248364437,1.85036699147817e-18,1.2082725124075502e-15,31.988631696735
C1orf126;TMEM51-AS1,1.11628722222222,4.70360805555556,16.3468098888391,1.97299522782576e-18,1.2765279124032701e-15,31.925673487718
EXD2,0.590628333333333,7.72281416666667,16.3036394158787,2.14934837522356e-18,1.3655720312242402e-15,31.8416639319016
GPR155,1.00869555555555,7.75148,16.2603197819629,2.3425656841877e-18,1.47504249773187e-15,31.757178342285
INSIG2,1.69860333333333,9.79560277777778,16.2552615127961,2.36625766694709e-18,1.4767751278416801e-15,31.7473011217402
ZNF93,-1.48282722222222,8.41573305555556,-16.248279127559,2.39936544236536e-18,1.4843021850169501e-15,31.7336625203922
AQP4,0.976538888888887,4.69154722222222,16.2236792924195,2.51983447203702e-18,1.53608362371918e-15,31.6855732989103
ANKEF1;ANKRD5,-0.838445555555556,6.17411722222222,-16.2073297542166,2.6033095789355598e-18,1.56917266183994e-15,31.6535788733259
HYDIN;LOC101060699,-0.994047222222222,5.0134175,-16.1905683630348,2.69182894405565e-18,1.59525926572804e-15,31.6207507882506
OTTHUMG00000014257;RP11-716O23.2,1.29595333333333,4.17215444444444,16.1683953370009,2.8136832233216598e-18,1.6264703439206002e-15,31.5772805754343
CRISPLD2,1.52401388888889,6.27182027777778,16.1426680207724,2.9621719984977798e-18,1.6983841939029201e-15,31.5267804875384
NSMCE4A,-0.922900555555553,7.82070527777778,-16.0928440432151,3.2729683974446497e-18,1.85813116227914e-15,31.4287922542144
MAP9,0.894279444444445,8.27212638888889,16.0897275327674,3.29348432830271e-18,1.85813116227914e-15,31.4226547562756
AC092168.2;OTTHUMG00000153029,2.72536833333334,6.29943027777778,16.0804538114238,3.3553151320858398e-18,1.87799118301659e-15,31.404385774719
NBN,-0.697470555555556,7.40682416666667,-16.0665460052317,3.4502780502716002e-18,1.91593668456145e-15,31.3769715312447
NR3C1,0.769539444444445,6.46069194444444,16.0460907486166,3.59497190179773e-18,1.96645567872406e-15,31.3366159001634
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4,-1.75813055555555,10.4052013888889,-16.0345556086838,3.67929183575458e-18,1.99595921640708e-15,31.3138399037146
OTTHUMG00000067420;RP11-706O15.7,-1.25676888888889,9.92506555555556,-16.0301885879883,3.7117398721579395e-18,1.99819107636789e-15,31.3052137651212
PNPLA8,0.890919999999997,8.43212277777778,15.9996297806769,3.94714975362956e-18,2.0964503099180203e-15,31.2447972387131
CACHD1,-1.16684666666667,9.85735444444444,-15.9988044265156,3.95371568451564e-18,2.0964503099180203e-15,31.2431641548006
CFH,6.21288888888889,8.43559888888889,15.9789592709172,4.11500098968339e-18,2.15159249723523e-15,31.2038768246309
ANKRD18A,-0.972475000000004,7.63776472222222,-15.9080777009529,4.7481523025431696e-18,2.4336165031472704e-15,31.0632264423778
PNRC2,-1.35097222222223,11.3543861111111,-15.907780256653,4.75100955881914e-18,2.4336165031472704e-15,31.0626351458433
ZNF630,-0.867159444444445,5.27860916666667,-15.9066252513976,4.76212125738161e-18,2.4336165031472704e-15,31.0603389981543
MPDU1,-0.781057222222227,8.80654138888889,-15.8722554380969,5.10523808741224e-18,2.5901921268962102e-15,30.9919495974871
LOC100996626;PNRC2,-1.21965,11.3932083333333,-15.8603295124866,5.23012373030769e-18,2.6346001130892103e-15,30.9681910706197
B4GALT5,1.482,12.3891666666667,15.8309735896108,5.55102686812075e-18,2.7764189207126203e-15,30.9096469387897
DHFR,-0.976444444444442,7.78840777777778,-15.818338709107,5.695282161823179e-18,2.82850974576237e-15,30.8844221824888
HIF1A,1.08045,14.1398361111111,15.7834236195822,6.1141980758518006e-18,3.0153258105125604e-15,30.8146311648275
CACNB2,1.07478055555556,6.59263138888889,15.7749307082607,6.2207834460203194e-18,3.04658549280341e-15,30.7976359232793
ATP6V1G2,1.02470777777778,7.99363666666667,15.7583478863324,6.4344115515423296e-18,3.1294759024097903e-15,30.7644304903525
TRIM71,-1.95696333333334,8.13488888888889,-15.7334852342596,6.76886602862356e-18,3.2695941023056105e-15,30.7145924429163
MAN2A2,0.751882222222227,8.28741944444444,15.6558593146454,7.9322101102709e-18,3.7797517135583405e-15,30.5585775932912
GAL,0.728617777777778,6.825045,15.6494835109344,8.03642446122407e-18,3.8037098139523806e-15,30.5457355777044
ERP27,-1.70780111111111,5.51200777777778,-15.6396823870139,8.19936659331802e-18,3.854959535070451e-15,30.5259861216306
HIST1H2BD,-1.92227444444445,8.23182555555556,-15.6092730874128,8.72676540188799e-18,4.0757462015718305e-15,30.4646472547354
TREM1,1.70400444444444,4.76483388888889,15.6012688434186,8.87127239031505e-18,4.115978570935451e-15,30.4484858296577
