"Gene_Symbol","logFC","adjPval"
"MICALL1",0.503245801005834,0.266026066851607
"RSU1",0.500635901792105,0.18568011661651
"SNX30",0.500472880129546,0.100171017920477
"VAV1",0.498934708352371,0.0935916716072622
"PLP1",0.497956639238959,0.382185293189493
"CALU",0.496956501292763,0.0615713788728533
"MMAA",0.496784011248128,0.082488908637415
"ANPEP",0.496401844155141,0.768938259397277
"C5AR1",0.493924387905772,0.136479312569207
"FCGRT",0.493689003220108,0.416268749492239
"CCL14",0.49290374646233,0.451510043039519
"GNG2",0.492659564379702,0.554889670928159
"CAV2",0.492617499433122,0.648112395518102
"ASS1",0.49258873897077,0.46938507268869
"KIF13B",0.492214193836528,0.237608071847969
"GSDMD",0.490840939680798,0.23758805395615
"MRC2",0.490621673738236,0.322848443940048
"TMEM178A",0.488983533105446,0.127215098071034
"GJC3",0.488557210255809,0.669526285257879
"DDX39A",0.486881276550292,0.099603346872245
"SCAMP2",0.484809148795001,0.0720856988627041
"F12",0.484315956769608,0.720749661826307
"DAG1",0.484237078797412,0.491598921362858
"PAQR8",0.483175184927052,0.136792801668405
"KNTC1",0.483055829978866,0.0525971734106764
"EFHD1",0.482891189106585,0.362177440141695
"HK2",0.48281406503072,0.214140401638372
"LACTB",0.480367546446876,0.169065499138568
"UTRN",0.480297627583772,0.36171527521218
"MYH9",0.47987246891314,0.276550164801263
"LTA4H",0.477514088477919,0.0391494929781274
"GIMAP4",0.477143229252581,0.218607645595177
"FMNL1",0.476965843728566,0.0238458464886946
"NFKBIA",0.47655590509392,0.230125014115377
"LGMN",0.476358680173018,0.438113971479743
"LILRB1",0.475826984583795,0.131428264152756
"ADHFE1",0.475395143354969,0.194926538516082
"YOD1",0.475195127947518,0.097284136624976
"GPD1",0.47311328346041,0.51582532079804
"STX3",0.472742213905105,0.0703280055689271
"MYO1F",0.472714023153516,0.11404868224268
"RARRES2",0.472070577244976,0.481379713822571
"AIF1",0.471871392411849,0.267476288509919
"PTMS",0.4711340939004,0.479037350587948
"CORO1C",0.47103814008689,0.107956593658813
"FAIM",0.470864063696498,0.130747460288946
"TOR1AIP2",0.470192185322736,0.00481601076149044
"PLA2G4A",0.470168336336974,0.11622617440133
"MMP2",0.46975743601977,0.458974530821066
"SNTB2",0.468808926916834,0.427241994218217
"IL18",0.468790591625922,0.359149104386261
"DDI2",0.468168267874635,0.374706421223817
"EXD2",0.46810011789308,0.00798666366872113
"CTSB",0.466642149597737,0.179161510674229
"GSTM3",0.465796252882292,0.54567939256263
"CMTM5",0.464907880171671,0.283886627965035
"LYAR",0.46439297506638,0.108953571943107
"TAGLN",0.463082266453455,0.816999572565101
"LPP",0.462872937790607,0.516677490606992
"CPS1",0.462232993794299,0.742081690670105
"BHMT",0.461285416933906,0.657449645722544
"RRBP1",0.4611031932352,0.250055577554182
"EBNA1BP2",0.460257310882436,0.12183723724232
"CORO1A",0.460237681022624,0.128318511945358
"LPCAT3",0.459918277922452,0.225138904984363
"F11R",0.459111867981193,0.266858928111606
"FCHO2",0.458167830519502,0.129111309456091
"MYL9",0.458071033615624,0.726481037402316
"GCLM",0.457871672209976,0.0257019987961915
"IGKV3D-7",0.457527870028632,0.364430390232175
"SYT12",0.456278089469576,0.635277755158832
"SLC25A35",0.455949794943143,0.183868556095308
"CBX1",0.455070465921803,0.110663479572443
"CYB5R3",0.454250067437371,0.147853105134244
"ADPRH",0.453213678920067,0.0927131442688106
"MFAP4",0.452876230737285,0.596642947439643
"CARHSP1",0.451828789592405,0.269050912340398
"PTPN12",0.450971747470492,0.0398949837009876
"SERPINA4",0.450947305064378,0.659797473898017
"TXNDC5",0.449814150646478,0.304435895718494
"MFAP2",0.44874493385834,0.711567978483414
"PPP1R21",0.448185333296902,0.0683903572959588
"CD2AP",0.447753086470936,0.0252017499979474
"KIF21B",0.446772259638292,0.14659716478252
"CA2",0.445744301912701,0.331251907076768
"FHL3",0.445694804425715,0.520126400433373
"AIF1L",0.444897048115036,0.375485682011185
