"Gene_Symbol","logFC","adjPval"
"IGLV3-10",1.93789834717729,0.0228391126459694
"COMP",1.93319340021002,0.174155153269933
"HBA1; HBA2",1.92863460926281,0.101746119308306
"SAA2",1.91100195158824,0.0275884784219273
"HBD",1.90964558772937,0.107378535752562
"ITIH2",1.90510427448124,0.0487918059629186
"EPB42",1.89008073104861,0.0906811378500342
"CD163",1.88600749155873,0.0485071335322683
"SVIP",1.87061480812542,0.0368437770590942
"COL1A2",1.86645292311367,0.380718383269855
"OMD",1.85692063415348,0.17003838237276
"HBB",1.85555095052155,0.0898501594117382
"APOC3",1.85273383509909,0.234753223186196
"C1R",1.85202486558077,0.00303217631874266
"ITIH1",1.85025415977477,0.0477956614581869
"BGN",1.84539107949277,0.376940477316777
"DPT",1.84466936271665,0.143984092016324
"FN1",1.84447797149415,0.151604801854853
"LAMB1",1.84344941459657,0.147770742429843
"ITPR3",1.83604194089055,0.0925254442483296
"FBN1",1.83074750657635,0.295705187848421
"TYMP",1.82815019864087,0.00174702637360266
"COL15A1",1.82715138497765,0.134841741202966
"NRIP2",1.81479732749012,0.0083180779039146
"PCOLCE",1.80643674794986,0.187860366824799
"CAMP",1.79389866743248,0.00682870442646546
"ADH1B",1.78933083080456,0.253980710204055
"IGLC2",1.75613266791665,0.084563619639991
"FBLN5",1.75552983289877,0.0864550345002396
"A2M",1.74875364957887,0.0182274671535435
"CP",1.7462942082686,0.0277021744006019
"HBZ",1.74604462951016,0.196938531755754
"S100A4",1.74061383160462,0.0599429941712559
"SERPIND1",1.73921239192998,0.148017348591209
"IQGAP2",1.73202749024678,0.0277021744006019
"RHAG",1.73194110173411,0.10936114859901
"TLR7",1.72210849629539,0.0845682882117851
"APOA2",1.71127567426727,0.205984053734796
"LAMA4",1.69025527956197,0.115376780185192
"CSTA",1.66859877020736,0.0319775314471863
"IGHG1",1.61511015715113,0.107865037895592
"APOC1",1.61327508813342,0.136595166809244
"CLEC3B",1.61279209675707,0.136728064029127
"CYB5R2",1.60095662294235,0.0156501394597101
"AZGP1",1.57861127625036,0.0969464313107127
"GPX3",1.57816152329276,0.186156880629257
"GJC3",1.57586659575949,0.0812512996754743
"GSTA1",1.56343381283072,0.330929313393839
"SPTB",1.55741580682718,0.0984471504932831
"COL6A3",1.54729595000177,0.342273158531572
"ANG",1.53863536360104,0.0906811378500342
"C2",1.53584184523393,0.0241108425504543
"CES1",1.52765141951772,0.237433029104904
"C4A",1.51893488491105,0.00755481266230676
"ANXA3",1.51446492599306,0.0641627998111294
"MFGE8",1.51045417031458,0.190773598442101
"ARG1",1.50611661759143,0.0442937361865673
"SOD3",1.50497487301514,0.183596020681056
"CD14",1.50477841313321,0.0259578444038274
"MYH2",1.4958339046508,0.131304032440894
"IGHG4",1.48333930956028,0.172548017690698
"LCN2",1.48050983077114,0.085019423700348
"ANK1",1.47338270458299,0.0825455927278891
"C1QB",1.46828353087151,0.0235986281006112
"COL6A1",1.46711620101238,0.334533840000435
"GSTZ1",1.46209632967343,0.0574837818016831
"IGHV3-30",1.46044299040156,0.1138884417848
"IGHV4-28",1.44594056792615,0.0555844986266036
"MLIP",1.44401258926595,0.150454642981173
"IGLL5",1.44079516046331,0.151423910676245
"VWA1",1.43876575203862,0.120935361689328
"BPI",1.43868111321024,0.143720417234885
"F13A1",1.43422113407654,0.0893664722181449
"C1QC",1.42812273327088,0.0326386746414463
"KLKB1",1.42428070470082,0.0360749620772819
"FERMT3",1.42343468380816,0.0182274671535435
"HBG1",1.41656425616173,0.591422469724243
"DSP",1.41225072317731,0.3029829722323
"ABI3BP",1.40520224722775,0.544605225273476
"CPN2",1.39579955177029,0.0176318058975753
"ANPEP",1.34215957937253,0.305077352000176
"APOL1",1.33921504863175,0.123592535500723
"LTBP2",1.33722322387526,0.344619085218934
"MAMDC2",1.33323145944813,0.174185127589381
"HSPG2",1.33240691723747,0.196938531755754
"PLEKHA4",1.32881003039167,0.101363347130985
"EMILIN1",1.32244756381147,0.213807474483246
"COL18A1",1.32150784807895,0.219837214788456
"SERPINA5",1.32086862818554,0.0608009254902553
"SLPI",1.3184331691743,0.139361954400356
"COL6A2",1.31811897816883,0.383925078140451
"PLIN3",1.31532462828498,0.00311113514067827
"TNNC1",1.31199714591445,0.0887681363303823
"CPM",1.30962199214811,0.00403052819915131
"FRZB",1.3077684108623,0.336513757134355
"EHD4",1.30355820917713,0.0151088278689231
