Gene_Symbol,logFC,adjPval,tissue,omic,direction
PSMB10,0.55222291999241,0.0161379117921236,cortex,protein,UP
MRPL20,-0.471731416362624,0.0161940405043605,cortex,protein,DOWN
PPBP,2.40683708828451,0.0161940405043605,cortex,protein,UP
MRPL22,-0.467812128897031,0.016254848131583,cortex,protein,DOWN
CTNNA2,-0.823604191516916,0.016254848131583,cortex,protein,DOWN
NADSYN1,-0.53605353891292,0.016254848131583,cortex,protein,DOWN
NUDT16L1,-0.384672064677645,0.016254848131583,cortex,protein,DOWN
PTGR3,-0.668922633479159,0.016254848131583,cortex,protein,DOWN
COQ9,-0.435155846431812,0.016254848131583,cortex,protein,DOWN
MARCHF5,-0.377386646261336,0.0163920021166835,cortex,protein,DOWN
PARVG,0.823270908688845,0.0165159722170213,cortex,protein,UP
NDUFB9,-0.757121301128882,0.0165612443614227,cortex,protein,DOWN
ACADSB,-0.654425390092998,0.0167150966674515,cortex,protein,DOWN
SLIRP,-0.618227299849574,0.0167641919381871,cortex,protein,DOWN
UBE2K,0.426872107999756,0.0171507974505567,cortex,protein,UP
RHBDD2,-0.656518518280724,0.0172986370738477,cortex,protein,DOWN
TKT,0.473847686892812,0.0172986370738477,cortex,protein,UP
AFG1L,-0.425420288671186,0.0173615989702687,cortex,protein,DOWN
SLC3A2,-0.469003013490367,0.0174015310085651,cortex,protein,DOWN
OXCT1,-0.636827240775466,0.0174015310085651,cortex,protein,DOWN
SLC22A5,-0.316251186070831,0.0174015310085651,cortex,protein,DOWN
ABAT,-0.859656242401574,0.0175403574853325,cortex,protein,DOWN
CPN2,1.39579955177029,0.0176318058975753,cortex,protein,UP
FOCAD,0.41223579175422,0.0176318058975753,cortex,protein,UP
SELENOP,0.801073789473367,0.0176318058975753,cortex,protein,UP
ITGB2,0.811135492785354,0.0176318058975753,cortex,protein,UP
A1BG,2.03656221204476,0.0177825489051728,cortex,protein,UP
NDUFS7,-0.633940385136427,0.017947266156143,cortex,protein,DOWN
POLDIP2,-0.387334427219178,0.017947266156143,cortex,protein,DOWN
SCPEP1,0.465444431071502,0.017947266156143,cortex,protein,UP
IGHV5-51,1.24698495648277,0.017947266156143,cortex,protein,UP
BIN2,0.472412307266605,0.0179809331061669,cortex,protein,UP
SOD1,0.344891286916818,0.0180413145239085,cortex,protein,UP
A2M,1.74875364957887,0.0182274671535435,cortex,protein,UP
GAN,-0.740398026267863,0.0182274671535435,cortex,protein,DOWN
NDUFA11,-0.869527391030371,0.0182274671535435,cortex,protein,DOWN
EFR3B,-0.733113801529623,0.0182274671535435,cortex,protein,DOWN
MRPL41,-0.466841389665078,0.0182274671535435,cortex,protein,DOWN
FERMT3,1.42343468380816,0.0182274671535435,cortex,protein,UP
LARS2,-1.24251848581383,0.0182744830366813,cortex,protein,DOWN
BCO2,-0.597321851855954,0.0184367917796886,cortex,protein,DOWN
CACYBP,0.507258890491872,0.018634738802142,cortex,protein,UP
F2,2.46314140023785,0.018634738802142,cortex,protein,UP
TTYH1,-0.727806571112541,0.01880989962554,cortex,protein,DOWN
HLA-DRA,1.16796387172725,0.0191366059493191,cortex,protein,UP
RWDD1,0.358255610617526,0.0196061689538429,cortex,protein,UP
AK4,-0.362497868859961,0.0196061689538429,cortex,protein,DOWN
API5,0.445815177789378,0.019642856867851,cortex,protein,UP
CHDH,-0.645932365660547,0.019642856867851,cortex,protein,DOWN
TAP1,0.63929552345779,0.0197396945806905,cortex,protein,UP
GRM3,-0.828829399829166,0.0198231295779057,cortex,protein,DOWN
MRPL3,-0.479751369451516,0.0199215749805239,cortex,protein,DOWN
AHCYL1,-0.500392218184787,0.019929702494858,cortex,protein,DOWN
PCCB,-0.515806287383157,0.0205174957186469,cortex,protein,DOWN
COL28A1,4.86990011523262,0.0206138305913943,cortex,protein,UP
JCHAIN,2.1193708012361,0.0206138305913943,cortex,protein,UP
ARSB,-0.573450400666676,0.0206138305913943,cortex,protein,DOWN
SDR39U1,-0.916206642625163,0.0206138305913943,cortex,protein,DOWN
FAHD2B,-0.507756863455063,0.0206138305913943,cortex,protein,DOWN
CDH1,2.27295737901461,0.0206138305913943,cortex,protein,UP
EHBP1,0.696898708932526,0.0206138305913943,cortex,protein,UP
FNTB,0.744572856133466,0.0207397927071133,cortex,protein,UP
MRPL39,-0.479533261097938,0.0209123575439307,cortex,protein,DOWN
AMBP,2.86412363940587,0.0209123575439307,cortex,protein,UP
ALDH2,-0.552554630359719,0.0209123575439307,cortex,protein,DOWN
DPP7,-0.716326568520013,0.0209793048193953,cortex,protein,DOWN
NDUFS5,-0.701185444734618,0.0209793048193953,cortex,protein,DOWN
PDK3,-0.522997777861637,0.0211495438545263,cortex,protein,DOWN
SCAMP5,-0.808552421050318,0.0211731672303862,cortex,protein,DOWN
MRPL15,-0.445079446720429,0.0211731672303862,cortex,protein,DOWN
GMFG,0.64551624575074,0.0212734032084455,cortex,protein,UP
TRMT10C,-0.469995455883032,0.0212734032084455,cortex,protein,DOWN
HRG,2.62766229922497,0.021570919985545,cortex,protein,UP
PREX2,-0.60147861535583,0.021570919985545,cortex,protein,DOWN
MON1B,-0.350868499015886,0.021570919985545,cortex,protein,DOWN
ADCY2,-0.740593834005653,0.021570919985545,cortex,protein,DOWN
LRPPRC,-0.636697952683088,0.021570919985545,cortex,protein,DOWN
GPHN,-0.545229484256302,0.0221617010178159,cortex,protein,DOWN
NIPSNAP2,-0.470950236845162,0.0221617010178159,cortex,protein,DOWN
MSI2,-0.378166747803519,0.0221617010178159,cortex,protein,DOWN
SLC25A27,-0.904818756271183,0.0221617010178159,cortex,protein,DOWN
INF2,0.790027671546174,0.0221617010178159,cortex,protein,UP
G6PD,0.360601353675158,0.0221617010178159,cortex,protein,UP
MERTK,-0.538039565936824,0.0221617010178159,cortex,protein,DOWN
FLNB,1.09910784037274,0.0226018981820816,cortex,protein,UP
CTNND2,-0.796335061270545,0.0226018981820816,cortex,protein,DOWN
UQCC1,-0.410948427867889,0.0226018981820816,cortex,protein,DOWN
ERP29,0.375707232480227,0.0226569733852354,cortex,protein,UP
ACAD9,-0.48252203429336,0.0226569733852354,cortex,protein,DOWN
SLC4A4,-0.675381922289104,0.0227003761058287,cortex,protein,DOWN
IGLV3-10,1.93789834717729,0.0228391126459694,cortex,protein,UP
NDUFA10,-0.731018035767105,0.0229195752833788,cortex,protein,DOWN
MAOA,-0.543797193428514,0.0233305681016138,cortex,protein,DOWN
COPS7B,0.423649834534411,0.0235102019458601,cortex,protein,UP
NDUFS2,-0.631388540610228,0.0235986281006112,cortex,protein,DOWN
C1QB,1.46828353087151,0.0235986281006112,cortex,protein,UP
MARS2,-0.524405437017411,0.0235986281006112,cortex,protein,DOWN
ENDOD1,0.453031968950659,0.0235986281006112,cortex,protein,UP
RAI14,0.640231574374376,0.0235986281006112,cortex,protein,UP
AACS,0.716077731591508,0.0235986281006112,cortex,protein,UP
PFN1,0.485779726029138,0.0235986281006112,cortex,protein,UP
PRG4,2.35619211399847,0.0236654470522675,cortex,protein,UP
TAP2,0.675597246116238,0.0236654470522675,cortex,protein,UP
SERPINA6,1.09588911121634,0.0239826465038422,cortex,protein,UP
NDUFV1,-0.736810844676176,0.0239826465038422,cortex,protein,DOWN
RASSF2,0.347346142176525,0.0239826465038422,cortex,protein,UP
PTPRF,-0.415109280271883,0.0239826465038422,cortex,protein,DOWN
IGHV3-7,1.96664775879928,0.0239826465038422,cortex,protein,UP
NDUFB3,-0.670974014775735,0.0239826465038422,cortex,protein,DOWN
MRPL27,-0.459845768995656,0.0239826465038422,cortex,protein,DOWN
FN3K,0.382666005834915,0.0240031880106323,cortex,protein,UP
GADD45GIP1,-0.484619523997496,0.0240801518600278,cortex,protein,DOWN
CCDC90B,-0.382813955513358,0.0240935318749102,cortex,protein,DOWN
C2,1.53584184523393,0.0241108425504543,cortex,protein,UP
ACTR1B,0.411355718338212,0.02418600747268,cortex,protein,UP
IDE,0.339691587549234,0.02441877135382,cortex,protein,UP
GJA1,-0.968472642121645,0.0246734578316408,cortex,protein,DOWN
SERPINF1,2.64143370660326,0.0249504308495506,cortex,protein,UP
PYCARD,0.770268686419751,0.0250504336234766,cortex,protein,UP
AKR1A1,0.40733638946269,0.0250778696991743,cortex,protein,UP
CBR4,-0.562578637474957,0.0250778696991743,cortex,protein,DOWN
SUCLG1,-0.490634265615521,0.025303074474445,cortex,protein,DOWN
EPHA5,-0.597347066980412,0.025303074474445,cortex,protein,DOWN
FBXL17,-0.372653184395686,0.0254310652474465,cortex,protein,DOWN
PROS1,1.20563507893898,0.025478408426238,cortex,protein,UP
YOD1,0.596264925237049,0.0257088507522969,cortex,protein,UP
TPCN1,-0.536615230186228,0.0259578444038274,cortex,protein,DOWN
CD14,1.50477841313321,0.0259578444038274,cortex,protein,UP
LYZ,3.11792356777663,0.0259578444038274,cortex,protein,UP
GPR37L1,-0.767411551098223,0.026218519605134,cortex,protein,DOWN
MRPL45,-0.481188652528429,0.026425922279937,cortex,protein,DOWN
RNASE3,2.4551039746812,0.026425922279937,cortex,protein,UP
NDUFS1,-0.636804368400847,0.0264464978569283,cortex,protein,DOWN
HDGF,0.672027655618777,0.0264464978569283,cortex,protein,UP
CA2,0.880621173070816,0.0264464978569283,cortex,protein,UP
PI4KA,-0.536706657388976,0.0264464978569283,cortex,protein,DOWN
PRKAA1,0.346090483446615,0.0264464978569283,cortex,protein,UP
MT-ND2,-0.796436581546185,0.0264464978569283,cortex,protein,DOWN
SNAP23,0.355886271764504,0.0265793862108339,cortex,protein,UP
DDX24,0.553260507325975,0.0266903338874547,cortex,protein,UP
PDHX,-0.59551280149479,0.0266903338874547,cortex,protein,DOWN
NDUFB7,-0.603692265823081,0.0273435039529694,cortex,protein,DOWN
SAA2,1.91100195158824,0.0275884784219273,cortex,protein,UP
DNAJC5,-0.544607835233267,0.0276753435099424,cortex,protein,DOWN
MRPL11,-0.541428821301382,0.0277021744006019,cortex,protein,DOWN
GIMAP8,0.617552001192777,0.0277021744006019,cortex,protein,UP
IQGAP2,1.73202749024678,0.0277021744006019,cortex,protein,UP
CP,1.7462942082686,0.0277021744006019,cortex,protein,UP
RIGI,-0.510971646680389,0.0279533127132597,cortex,protein,DOWN
RABEP2,0.422207611110069,0.0279533127132597,cortex,protein,UP
CTDSP1,-0.473546266365167,0.0279533127132597,cortex,protein,DOWN
EIF2AK4,0.398181999891062,0.0279533127132597,cortex,protein,UP
VARS2,-0.542864762862338,0.0279533127132597,cortex,protein,DOWN
PRXL2A,-0.423064174268172,0.0280134290821928,cortex,protein,DOWN
THNSL1,-0.502174568232116,0.0280134290821928,cortex,protein,DOWN
IGHV4-39,1.29985410304587,0.0280134290821928,cortex,protein,UP
SORL1,-0.588530949846069,0.0280134290821928,cortex,protein,DOWN
ATP9A,-0.460799906896995,0.0280134290821928,cortex,protein,DOWN
SLC32A1,-1.49208476207609,0.028476733104485,cortex,protein,DOWN
TNFAIP8,0.728584246224857,0.028476733104485,cortex,protein,UP
TIMM50,-0.385923298073118,0.0288121351559284,cortex,protein,DOWN
RTRAF,0.326447125577207,0.0288872143052013,cortex,protein,UP
COMMD2,1.16206320386137,0.0288872143052013,cortex,protein,UP
HPF1,0.382801936711289,0.0288872143052013,cortex,protein,UP
SLC2A5,-0.724147803282119,0.0288872143052013,cortex,protein,DOWN
VPS13D,-0.330316749374269,0.0288872143052013,cortex,protein,DOWN
TTC7B,-0.512788056696058,0.0292981539225626,cortex,protein,DOWN
NIPSNAP3B,-1.04568508031974,0.0299361636684348,cortex,protein,DOWN
FAM98A,0.401415031258004,0.0299361636684348,cortex,protein,UP
ADGRL1,-0.639379484722844,0.0299361636684348,cortex,protein,DOWN
MRPL19,-0.448428941694284,0.0299361636684348,cortex,protein,DOWN
TMT1A,-0.592206245136284,0.0300619215092451,cortex,protein,DOWN
TUBB,0.423255248933781,0.0300619215092451,cortex,protein,UP
SERPING1,2.05277326944198,0.0300619215092451,cortex,protein,UP
PLD1,0.804815660219516,0.0300619215092451,cortex,protein,UP
PDK2,-0.458277679742327,0.0300619215092451,cortex,protein,DOWN
SERINC3,-0.34616919673989,0.0301479917377461,cortex,protein,DOWN
TCIRG1,0.476850737794838,0.0301479917377461,cortex,protein,UP
NDUFA9,-0.627056105553594,0.0302356910353883,cortex,protein,DOWN
NDUFB8,-0.633315957968621,0.0302948661999883,cortex,protein,DOWN
NDUFA6,-0.570427897964784,0.0302948661999883,cortex,protein,DOWN
ADSS2,0.475232108168695,0.0302948661999883,cortex,protein,UP
BRAT1,-0.509651816810451,0.0303789836328575,cortex,protein,DOWN
LCP1,0.733083446166438,0.0303789836328575,cortex,protein,UP
RPA3,0.359106428638283,0.030400338088687,cortex,protein,UP
SLC25A18,-0.562593324119149,0.0306587186131027,cortex,protein,DOWN
IFT122,-0.408581226163562,0.0306840419040683,cortex,protein,DOWN
HSPA1B,0.40206799134616,0.0312407385753946,cortex,protein,UP
RHOT1,-0.374127742722104,0.0312407385753946,cortex,protein,DOWN
KIF1C,0.464552267510703,0.0312407385753946,cortex,protein,UP
SLC4A10,-0.697480288035912,0.0312407385753946,cortex,protein,DOWN
HSD17B7,0.47029417026538,0.0312407385753946,cortex,protein,UP
IGHG2,2.18137923914472,0.0312407385753946,cortex,protein,UP
RARS2,-0.339689472502003,0.0312407385753946,cortex,protein,DOWN
PHKA1,-1.15512549659391,0.0312407385753946,cortex,protein,DOWN
FCGBP,1.94376882321353,0.0316463950747703,cortex,protein,UP
FDFT1,-0.716450343629719,0.0316463950747703,cortex,protein,DOWN
MMAB,-0.857621947525674,0.0316463950747703,cortex,protein,DOWN
IVNS1ABP,0.443291039682744,0.0316475208153124,cortex,protein,UP
HMGCS1,-0.862592930035609,0.0316475208153124,cortex,protein,DOWN
GK,-0.489397662769443,0.0316475208153124,cortex,protein,DOWN
C2orf88,0.707645473260293,0.0318166146117414,cortex,protein,UP
NDUFB10,-0.659724821262893,0.0318254940606783,cortex,protein,DOWN
CSTA,1.66859877020736,0.0319775314471863,cortex,protein,UP
TVP23C,0.423947285837035,0.0321214800111816,cortex,protein,UP
FKBP3,0.530763903185994,0.032351166423185,cortex,protein,UP
MOCS2,-0.708964239157789,0.0323922075243224,cortex,protein,DOWN
SPARCL1,-0.797309549999534,0.0323922075243224,cortex,protein,DOWN
ATP1B2,-0.768470066253546,0.0323922075243224,cortex,protein,DOWN
FLAD1,0.612938009889305,0.0323922075243224,cortex,protein,UP
RPA1,0.400462543935053,0.0323922075243224,cortex,protein,UP
